Time (s),Voltage (V),Pressure
0.250587, 0.026760, 2.433414
0.256668, 0.026760, 2.433414
0.258652, 0.026760, 2.433414
0.260510, 0.026760, 2.433414
0.262907, 0.026760, 2.433414
0.264965, 0.024211, 2.201688
0.266603, 0.026760, 2.433414
0.268229, 0.024211, 2.201688
0.269893, 0.024211, 2.201688
0.271538, 0.026760, 2.433414
0.273729, 0.026760, 2.433414
0.275440, 0.026760, 2.433414
0.277064, 0.026760, 2.433414
0.278661, 0.024211, 2.201688
0.280425, 0.024211, 2.201688
0.282021, 0.026760, 2.433414
0.283706, 0.026760, 2.433414
0.287633, 0.026760, 2.433414
0.289361, 0.024211, 2.201688
0.291038, 0.026760, 2.433414
0.292693, 0.024211, 2.201688
0.294331, 0.026760, 2.433414
0.295984, 0.026760, 2.433414
0.297581, 0.026760, 2.433414
0.299187, 0.026760, 2.433414
0.300793, 0.026760, 2.433414
0.302503, 0.024211, 2.201688
0.304158, 0.026760, 2.433414
0.305918, 0.024211, 2.201688
0.307546, 0.024211, 2.201688
0.309278, 0.024211, 2.201688
0.310827, 0.026760, 2.433414
0.312404, 0.026760, 2.433414
0.313939, 0.026760, 2.433414
0.315868, 0.024211, 2.201688
0.317421, 0.024211, 2.201688
0.318972, 0.024211, 2.201688
0.320516, 0.026760, 2.433414
0.322228, 0.026760, 2.433414
0.323769, 0.026760, 2.433414
0.325572, 0.026760, 2.433414
0.327120, 0.026760, 2.433414
0.328653, 0.024211, 2.201688
0.330312, 0.026760, 2.433414
0.331828, 0.026760, 2.433414
0.333375, 0.026760, 2.433414
0.335101, 0.024211, 2.201688
0.336782, 0.026760, 2.433414
0.338444, 0.024211, 2.201688
0.340113, 0.024211, 2.201688
0.341714, 0.026760, 2.433414
0.343219, 0.026760, 2.433414
0.345109, 0.024211, 2.201688
0.346932, 0.026760, 2.433414
0.348489, 0.026760, 2.433414
0.350033, 0.024211, 2.201688
0.351577, 0.026760, 2.433414
0.353126, 0.026760, 2.433414
0.354666, 0.026760, 2.433414
0.356399, 0.026760, 2.433414
0.358150, 0.026760, 2.433414
0.359665, 0.026760, 2.433414
0.361203, 0.026760, 2.433414
0.362735, 0.024211, 2.201688
0.364254, 0.026760, 2.433414
0.365942, 0.026760, 2.433414
0.367492, 0.026760, 2.433414
0.368995, 0.026760, 2.433414
0.370487, 0.026760, 2.433414
0.372045, 0.024211, 2.201688
0.373723, 0.026760, 2.433414
0.375237, 0.026760, 2.433414
0.377002, 0.024211, 2.201688
0.378529, 0.026760, 2.433414
0.380068, 0.026760, 2.433414
0.381599, 0.024211, 2.201688
0.383114, 0.026760, 2.433414
0.384637, 0.026760, 2.433414
0.386262, 0.026760, 2.433414
0.387912, 0.024211, 2.201688
0.389528, 0.026760, 2.433414
0.391106, 0.024211, 2.201688
0.392663, 0.026760, 2.433414
0.394343, 0.026760, 2.433414
0.395925, 0.024211, 2.201688
0.397717, 0.026760, 2.433414
0.399277, 0.026760, 2.433414
0.400850, 0.026760, 2.433414
0.402562, 0.024211, 2.201688
0.404127, 0.026760, 2.433414
0.405719, 0.026760, 2.433414
0.407395, 0.026760, 2.433414
0.409314, 0.026760, 2.433414
0.410907, 0.024211, 2.201688
0.412445, 0.026760, 2.433414
0.413960, 0.026760, 2.433414
0.415467, 0.026760, 2.433414
0.416983, 0.026760, 2.433414
0.419528, 0.026760, 2.433414
0.422505, 0.026760, 2.433414
0.428722, 0.024211, 2.201688
