Time (s),Voltage (V),Pressure
0.999907, 0.067543, 6.141037
1.104303, 0.067543, 6.141037
1.158929, 0.067543, 6.141037
1.197795, 0.067543, 6.141037
1.282989, 0.067543, 6.141037
1.327982, 0.067543, 6.141037
1.333728, 0.067543, 6.141037
1.344947, 0.067543, 6.141037
1.350999, 0.067543, 6.141037
1.357584, 0.067543, 6.141037
1.363471, 0.070092, 6.372763
1.369830, 0.067543, 6.141037
1.375827, 0.067543, 6.141037
1.380739, 0.067543, 6.141037
1.383662, 0.067543, 6.141037
1.390078, 0.067543, 6.141037
1.395564, 0.067543, 6.141037
1.399557, 0.067543, 6.141037
1.403433, 0.067543, 6.141037
1.408705, 0.067543, 6.141037
1.423226, 0.067543, 6.141037
1.449724, 0.067543, 6.141037
1.463709, 0.067543, 6.141037
1.468175, 0.067543, 6.141037
1.471561, 0.067543, 6.141037
1.474451, 0.067543, 6.141037
1.477517, 0.067543, 6.141037
1.480991, 0.067543, 6.141037
1.485140, 0.067543, 6.141037
1.489384, 0.067543, 6.141037
1.493495, 0.067543, 6.141037
1.497950, 0.067543, 6.141037
1.503119, 0.067543, 6.141037
1.509273, 0.067543, 6.141037
1.515704, 0.067543, 6.141037
1.522077, 0.067543, 6.141037
1.528065, 0.067543, 6.141037
1.533247, 0.067543, 6.141037
1.537877, 0.067543, 6.141037
1.542018, 0.067543, 6.141037
1.545995, 0.067543, 6.141037
1.549922, 0.067543, 6.141037
1.554180, 0.067543, 6.141037
1.559173, 0.067543, 6.141037
1.563999, 0.067543, 6.141037
1.568609, 0.067543, 6.141037
1.573319, 0.067543, 6.141037
1.578135, 0.067543, 6.141037
1.582554, 0.067543, 6.141037
1.587139, 0.067543, 6.141037
1.590142, 0.067543, 6.141037
1.593189, 0.067543, 6.141037
1.600957, 0.067543, 6.141037
1.605867, 0.067543, 6.141037
1.609500, 0.067543, 6.141037
1.613682, 0.067543, 6.141037
1.618721, 0.067543, 6.141037
1.622310, 0.067543, 6.141037
1.625211, 0.067543, 6.141037
1.629380, 0.067543, 6.141037
1.632686, 0.067543, 6.141037
1.635146, 0.067543, 6.141037
1.637744, 0.067543, 6.141037
1.640589, 0.067543, 6.141037
1.643809, 0.067543, 6.141037
1.647021, 0.067543, 6.141037
1.650260, 0.067543, 6.141037
1.652900, 0.067543, 6.141037
1.655343, 0.067543, 6.141037
1.658713, 0.067543, 6.141037
1.661142, 0.067543, 6.141037
1.663662, 0.067543, 6.141037
1.666527, 0.067543, 6.141037
1.669450, 0.067543, 6.141037
1.672730, 0.067543, 6.141037
1.676809, 0.067543, 6.141037
1.679940, 0.067543, 6.141037
1.682989, 0.067543, 6.141037
1.685976, 0.067543, 6.141037
1.688931, 0.067543, 6.141037
1.692220, 0.067543, 6.141037
1.695274, 0.067543, 6.141037
1.698293, 0.067543, 6.141037
1.701496, 0.067543, 6.141037
1.704580, 0.067543, 6.141037
1.707570, 0.067543, 6.141037
1.710845, 0.067543, 6.141037
1.715286, 0.067543, 6.141037
1.718438, 0.067543, 6.141037
