Time (s),Voltage (V),Pressure
0.848449, 0.057672, 5.243432
0.963696, 0.057672, 5.243432
1.050551, 0.057672, 5.243432
1.090167, 0.057672, 5.243432
1.187406, 0.057672, 5.243432
1.207734, 0.057672, 5.243432
1.213071, 0.057672, 5.243432
1.216635, 0.057672, 5.243432
1.220189, 0.057672, 5.243432
1.223437, 0.057672, 5.243432
1.227021, 0.057672, 5.243432
1.231470, 0.057672, 5.243432
1.235723, 0.057672, 5.243432
1.238999, 0.057672, 5.243432
1.242461, 0.057672, 5.243432
1.250642, 0.057672, 5.243432
1.254256, 0.057672, 5.243432
1.261374, 0.057672, 5.243432
1.269134, 0.057672, 5.243432
1.275367, 0.057672, 5.243432
1.281507, 0.057672, 5.243432
1.287754, 0.057672, 5.243432
1.293511, 0.057672, 5.243432
1.298800, 0.057672, 5.243432
1.303427, 0.057672, 5.243432
1.307879, 0.057672, 5.243432
1.312153, 0.057672, 5.243432
1.316354, 0.057672, 5.243432
1.320595, 0.055122, 5.011607
1.324992, 0.057672, 5.243432
1.330060, 0.057672, 5.243432
1.334971, 0.057672, 5.243432
1.339703, 0.057672, 5.243432
1.343941, 0.057672, 5.243432
1.347941, 0.057672, 5.243432
1.351799, 0.057672, 5.243432
1.355503, 0.057672, 5.243432
1.359350, 0.057672, 5.243432
1.363251, 0.057672, 5.243432
1.367233, 0.057672, 5.243432
1.371163, 0.057672, 5.243432
1.375339, 0.057672, 5.243432
1.379580, 0.057672, 5.243432
1.383882, 0.057672, 5.243432
1.388058, 0.057672, 5.243432
1.392116, 0.057672, 5.243432
1.395983, 0.057672, 5.243432
1.399838, 0.057672, 5.243432
1.404045, 0.057672, 5.243432
1.408252, 0.057672, 5.243432
1.412540, 0.055122, 5.011607
1.416770, 0.057672, 5.243432
1.420653, 0.057672, 5.243432
1.423868, 0.057672, 5.243432
1.429033, 0.057672, 5.243432
1.432362, 0.057672, 5.243432
1.436715, 0.055122, 5.011607
1.441239, 0.055122, 5.011607
1.445456, 0.055122, 5.011607
1.449385, 0.057672, 5.243432
1.453553, 0.057672, 5.243432
1.457358, 0.057672, 5.243432
1.461344, 0.057672, 5.243432
1.465427, 0.057672, 5.243432
1.469360, 0.057672, 5.243432
1.473605, 0.057672, 5.243432
1.476855, 0.057672, 5.243432
1.479546, 0.057672, 5.243432
1.482441, 0.057672, 5.243432
1.485804, 0.057672, 5.243432
1.489216, 0.057672, 5.243432
1.492521, 0.057672, 5.243432
1.495983, 0.057672, 5.243432
1.499451, 0.057672, 5.243432
1.503809, 0.057672, 5.243432
1.507742, 0.057672, 5.243432
1.511035, 0.057672, 5.243432
1.514359, 0.055122, 5.011607
1.517581, 0.057672, 5.243432
1.521062, 0.057672, 5.243432
1.524711, 0.057672, 5.243432
1.528349, 0.057672, 5.243432
1.532027, 0.057672, 5.243432
1.536486, 0.057672, 5.243432
1.540040, 0.057672, 5.243432
1.543542, 0.057672, 5.243432
1.547013, 0.057672, 5.243432
1.551305, 0.057672, 5.243432
1.554789, 0.057672, 5.243432
1.558815, 0.057672, 5.243432
1.561926, 0.057672, 5.243432
1.565122, 0.057672, 5.243432
1.568024, 0.057672, 5.243432
1.573100, 0.060222, 5.475256
1.577875, 0.055122, 5.011607
1.582858, 0.057672, 5.243432
1.587211, 0.057672, 5.243432
1.590588, 0.060222, 5.475256
1.594584, 0.057672, 5.243432
1.600880, 0.055122, 5.011607
1.745623, 0.060222, 5.475256
1.752022, 0.057672, 5.243432
1.764586, 0.057672, 5.243432
1.770256, 0.057672, 5.243432
1.774836, 0.057672, 5.243432
1.777346, 0.057672, 5.243432
1.779697, 0.057672, 5.243432
1.782378, 0.057672, 5.243432
1.786599, 0.057672, 5.243432
1.790333, 0.057672, 5.243432
1.792975, 0.057672, 5.243432
1.796951, 0.055122, 5.011607
1.800596, 0.057672, 5.243432
1.804591, 0.057672, 5.243432
