Time (s),Voltage (V),Pressure
0.987927, 0.078072, 7.098029
1.093436, 0.078072, 7.098029
1.151715, 0.078072, 7.098029
1.192923, 0.078072, 7.098029
1.285572, 0.078072, 7.098029
1.308552, 0.078072, 7.098029
1.314569, 0.080622, 7.329853
1.319792, 0.078072, 7.098029
1.323201, 0.078072, 7.098029
1.326907, 0.078072, 7.098029
1.330127, 0.078072, 7.098029
1.334315, 0.078072, 7.098029
1.338847, 0.078072, 7.098029
1.344707, 0.078072, 7.098029
1.347808, 0.075522, 6.866204
1.355367, 0.078072, 7.098029
1.361285, 0.078072, 7.098029
1.364372, 0.078072, 7.098029
1.367423, 0.078072, 7.098029
1.370631, 0.078072, 7.098029
1.373944, 0.078072, 7.098029
1.378778, 0.078072, 7.098029
1.381848, 0.078072, 7.098029
1.384689, 0.078072, 7.098029
1.387837, 0.078072, 7.098029
1.391330, 0.078072, 7.098029
1.400203, 0.078072, 7.098029
1.405515, 0.078072, 7.098029
1.411492, 0.078072, 7.098029
1.419379, 0.078072, 7.098029
1.427024, 0.078072, 7.098029
1.433339, 0.078072, 7.098029
1.439525, 0.078072, 7.098029
1.445893, 0.078072, 7.098029
1.452145, 0.078072, 7.098029
1.458009, 0.078072, 7.098029
1.463691, 0.078072, 7.098029
1.469103, 0.078072, 7.098029
1.474578, 0.078072, 7.098029
1.479880, 0.078072, 7.098029
1.485554, 0.078072, 7.098029
1.491572, 0.078072, 7.098029
1.497933, 0.078072, 7.098029
1.504224, 0.078072, 7.098029
1.509873, 0.078072, 7.098029
1.515340, 0.078072, 7.098029
1.521222, 0.075522, 6.866204
1.525107, 0.078072, 7.098029
1.528625, 0.078072, 7.098029
1.533595, 0.078072, 7.098029
1.538783, 0.078072, 7.098029
1.543096, 0.078072, 7.098029
1.547982, 0.078072, 7.098029
1.553077, 0.078072, 7.098029
1.558484, 0.078072, 7.098029
1.563987, 0.078072, 7.098029
1.569138, 0.078072, 7.098029
1.573754, 0.078072, 7.098029
1.578734, 0.078072, 7.098029
1.583023, 0.078072, 7.098029
1.587503, 0.078072, 7.098029
1.591644, 0.075522, 6.866204
1.595416, 0.078072, 7.098029
1.598946, 0.080622, 7.329853
1.602601, 0.078072, 7.098029
1.606163, 0.078072, 7.098029
1.609753, 0.078072, 7.098029
1.613355, 0.078072, 7.098029
1.617380, 0.078072, 7.098029
1.621260, 0.078072, 7.098029
1.625247, 0.078072, 7.098029
1.629029, 0.078072, 7.098029
1.632644, 0.078072, 7.098029
1.636095, 0.075522, 6.866204
1.639423, 0.078072, 7.098029
1.642957, 0.078072, 7.098029
1.646571, 0.078072, 7.098029
1.650188, 0.078072, 7.098029
1.654137, 0.078072, 7.098029
1.657272, 0.075522, 6.866204
1.660397, 0.078072, 7.098029
1.663743, 0.078072, 7.098029
1.667145, 0.078072, 7.098029
1.670627, 0.078072, 7.098029
1.674406, 0.075522, 6.866204
1.678981, 0.075522, 6.866204
1.683107, 0.078072, 7.098029
1.687127, 0.078072, 7.098029
1.690800, 0.078072, 7.098029
1.694470, 0.078072, 7.098029
1.697904, 0.078072, 7.098029
1.701288, 0.078072, 7.098029
1.704619, 0.078072, 7.098029
1.708128, 0.078072, 7.098029
1.711846, 0.078072, 7.098029
1.715389, 0.078072, 7.098029
1.718841, 0.075522, 6.866204
1.722219, 0.078072, 7.098029
1.726594, 0.078072, 7.098029
1.733260, 0.078072, 7.098029
1.866708, 0.078072, 7.098029
1.872124, 0.078072, 7.098029
1.877042, 0.078072, 7.098029
1.881770, 0.078072, 7.098029
1.886645, 0.078072, 7.098029
1.891095, 0.078072, 7.098029
1.895814, 0.078072, 7.098029
1.900478, 0.078072, 7.098029
1.905550, 0.078072, 7.098029
1.910814, 0.078072, 7.098029
1.915976, 0.078072, 7.098029
1.920685, 0.078072, 7.098029
1.925212, 0.078072, 7.098029
1.929773, 0.078072, 7.098029
1.933970, 0.080622, 7.329853
1.938139, 0.078072, 7.098029
1.942192, 0.078072, 7.098029
1.946212, 0.078072, 7.098029
1.950080, 0.078072, 7.098029
1.953837, 0.078072, 7.098029
1.957714, 0.078072, 7.098029
1.962843, 0.078072, 7.098029
1.968507, 0.078072, 7.098029
1.973701, 0.078072, 7.098029
1.978515, 0.078072, 7.098029
1.983120, 0.078072, 7.098029
1.987351, 0.078072, 7.098029
1.991577, 0.078072, 7.098029
1.996423, 0.078072, 7.098029
2.003155, 0.078072, 7.098029
2.009044, 0.078072, 7.098029
2.014275, 0.078072, 7.098029
2.018860, 0.078072, 7.098029
2.023189, 0.078072, 7.098029
2.027177, 0.078072, 7.098029
2.030973, 0.075522, 6.866204
2.034671, 0.078072, 7.098029
2.038208, 0.078072, 7.098029
2.041741, 0.078072, 7.098029
2.044703, 0.078072, 7.098029
2.047621, 0.078072, 7.098029
2.050774, 0.078072, 7.098029
2.054035, 0.078072, 7.098029
2.057952, 0.078072, 7.098029
2.061562, 0.078072, 7.098029
2.065017, 0.078072, 7.098029
2.068518, 0.078072, 7.098029
2.072249, 0.078072, 7.098029
2.075893, 0.078072, 7.098029
2.083389, 0.078072, 7.098029
2.090212, 0.078072, 7.098029
2.095801, 0.078072, 7.098029
2.100580, 0.078072, 7.098029
2.104784, 0.078072, 7.098029
2.108148, 0.078072, 7.098029
2.110698, 0.078072, 7.098029
2.113200, 0.078072, 7.098029
2.115849, 0.078072, 7.098029
2.118966, 0.078072, 7.098029
2.125598, 0.078072, 7.098029
2.131510, 0.078072, 7.098029
2.137849, 0.075522, 6.866204
2.143515, 0.078072, 7.098029
2.147960, 0.075522, 6.866204
2.151860, 0.078072, 7.098029
2.155604, 0.078072, 7.098029
2.159459, 0.078072, 7.098029
2.164010, 0.075522, 6.866204
2.169825, 0.078072, 7.098029
2.174141, 0.080622, 7.329853
2.179656, 0.078072, 7.098029
2.182934, 0.078072, 7.098029
2.188917, 0.078072, 7.098029
2.192554, 0.078072, 7.098029
2.194844, 0.078072, 7.098029
2.197333, 0.078072, 7.098029
2.200108, 0.078072, 7.098029
2.203896, 0.078072, 7.098029
2.207714, 0.078072, 7.098029
2.211260, 0.078072, 7.098029
2.215179, 0.078072, 7.098029
2.220008, 0.078072, 7.098029
2.223334, 0.078072, 7.098029
2.226576, 0.078072, 7.098029
2.229229, 0.078072, 7.098029
2.231976, 0.078072, 7.098029
2.235008, 0.078072, 7.098029
2.238333, 0.078072, 7.098029
2.241675, 0.078072, 7.098029
2.245008, 0.078072, 7.098029
2.247657, 0.078072, 7.098029
2.250605, 0.080622, 7.329853
2.253814, 0.078072, 7.098029
2.257594, 0.078072, 7.098029
2.261205, 0.078072, 7.098029
2.264656, 0.078072, 7.098029
2.268358, 0.078072, 7.098029
2.272029, 0.078072, 7.098029
2.276346, 0.078072, 7.098029
2.280577, 0.078072, 7.098029
2.286127, 0.078072, 7.098029
2.290163, 0.078072, 7.098029
2.294739, 0.078072, 7.098029
2.297636, 0.078072, 7.098029
2.300609, 0.078072, 7.098029
2.303889, 0.078072, 7.098029
2.307343, 0.078072, 7.098029
2.311221, 0.078072, 7.098029
2.313485, 0.078072, 7.098029
2.318009, 0.078072, 7.098029
2.321245, 0.078072, 7.098029
2.324562, 0.078072, 7.098029
2.331419, 0.078072, 7.098029
2.337904, 0.078072, 7.098029
2.343044, 0.078072, 7.098029
2.347700, 0.078072, 7.098029
2.351968, 0.078072, 7.098029
2.355972, 0.078072, 7.098029
2.359748, 0.078072, 7.098029
2.363508, 0.078072, 7.098029
2.366973, 0.078072, 7.098029
2.370349, 0.078072, 7.098029
2.373733, 0.078072, 7.098029
2.377357, 0.078072, 7.098029
2.380585, 0.078072, 7.098029
2.383897, 0.078072, 7.098029
2.387286, 0.078072, 7.098029
2.390440, 0.078072, 7.098029
2.394055, 0.078072, 7.098029
2.397581, 0.078072, 7.098029
2.401274, 0.078072, 7.098029
2.404665, 0.078072, 7.098029
2.408041, 0.078072, 7.098029
2.411334, 0.078072, 7.098029
2.415388, 0.078072, 7.098029
2.418914, 0.078072, 7.098029
2.422177, 0.078072, 7.098029
2.425691, 0.078072, 7.098029
2.429477, 0.078072, 7.098029
2.432938, 0.080622, 7.329853
2.436380, 0.078072, 7.098029
2.439834, 0.078072, 7.098029
2.443368, 0.078072, 7.098029
2.446649, 0.078072, 7.098029
2.449897, 0.078072, 7.098029
2.453059, 0.078072, 7.098029
2.456316, 0.078072, 7.098029
2.459930, 0.078072, 7.098029
2.463682, 0.078072, 7.098029
2.467888, 0.078072, 7.098029
2.472803, 0.078072, 7.098029
2.478492, 0.075522, 6.866204
2.481796, 0.078072, 7.098029
2.485131, 0.078072, 7.098029
2.489397, 0.078072, 7.098029
2.497045, 0.078072, 7.098029
2.503728, 0.078072, 7.098029
2.509812, 0.078072, 7.098029
2.514753, 0.078072, 7.098029
2.519009, 0.078072, 7.098029
2.522937, 0.078072, 7.098029
2.526836, 0.078072, 7.098029
2.530876, 0.078072, 7.098029
2.534583, 0.075522, 6.866204
2.538236, 0.078072, 7.098029
2.541864, 0.078072, 7.098029
2.545600, 0.075522, 6.866204
2.548978, 0.078072, 7.098029
2.552274, 0.078072, 7.098029
2.555526, 0.078072, 7.098029
2.559153, 0.078072, 7.098029
2.562931, 0.078072, 7.098029
2.566877, 0.075522, 6.866204
2.570500, 0.078072, 7.098029
2.574021, 0.075522, 6.866204
2.576804, 0.078072, 7.098029
2.580445, 0.078072, 7.098029
2.584116, 0.078072, 7.098029
2.587126, 0.078072, 7.098029
2.590368, 0.080622, 7.329853
2.593900, 0.080622, 7.329853
2.597118, 0.078072, 7.098029
2.600470, 0.078072, 7.098029
2.603683, 0.078072, 7.098029
2.606878, 0.078072, 7.098029
2.610199, 0.078072, 7.098029
2.613712, 0.078072, 7.098029
2.616829, 0.078072, 7.098029
2.620059, 0.078072, 7.098029
2.623696, 0.078072, 7.098029
2.627253, 0.078072, 7.098029
2.630667, 0.078072, 7.098029
2.634351, 0.078072, 7.098029
2.637190, 0.075522, 6.866204
2.639938, 0.078072, 7.098029
2.643261, 0.075522, 6.866204
2.646574, 0.078072, 7.098029
2.649928, 0.078072, 7.098029
2.653129, 0.078072, 7.098029
2.656578, 0.075522, 6.866204
2.662603, 0.078072, 7.098029
2.666229, 0.078072, 7.098029
2.669790, 0.078072, 7.098029
2.673009, 0.078072, 7.098029
2.677504, 0.078072, 7.098029
2.681006, 0.078072, 7.098029
2.684845, 0.080622, 7.329853
2.688362, 0.078072, 7.098029
2.692038, 0.078072, 7.098029
2.695556, 0.078072, 7.098029
2.699034, 0.078072, 7.098029
2.702477, 0.078072, 7.098029
2.705823, 0.078072, 7.098029
2.709322, 0.078072, 7.098029
2.712767, 0.078072, 7.098029
2.716308, 0.078072, 7.098029
2.719756, 0.078072, 7.098029
2.722988, 0.078072, 7.098029
2.726624, 0.078072, 7.098029
2.730061, 0.080622, 7.329853
2.733207, 0.078072, 7.098029
2.736408, 0.078072, 7.098029
2.739865, 0.078072, 7.098029
2.743302, 0.078072, 7.098029
2.746839, 0.078072, 7.098029
2.750288, 0.078072, 7.098029
2.753658, 0.078072, 7.098029
2.757106, 0.078072, 7.098029
2.760691, 0.078072, 7.098029
2.764038, 0.078072, 7.098029
2.767311, 0.075522, 6.866204
2.770893, 0.078072, 7.098029
2.775393, 0.078072, 7.098029
2.785693, 0.078072, 7.098029
2.795259, 0.078072, 7.098029
2.803432, 0.078072, 7.098029
2.811818, 0.078072, 7.098029
2.820634, 0.078072, 7.098029
2.828793, 0.078072, 7.098029
2.836461, 0.078072, 7.098029
2.841321, 0.078072, 7.098029
2.844112, 0.075522, 6.866204
2.846863, 0.078072, 7.098029
2.849741, 0.075522, 6.866204
2.852581, 0.078072, 7.098029
2.855557, 0.078072, 7.098029
2.858365, 0.080622, 7.329853
2.861387, 0.075522, 6.866204
2.864332, 0.078072, 7.098029
2.867223, 0.078072, 7.098029
2.870271, 0.075522, 6.866204
2.873191, 0.078072, 7.098029
2.876165, 0.078072, 7.098029
2.879018, 0.078072, 7.098029
2.883118, 0.078072, 7.098029
2.885803, 0.080622, 7.329853
2.889974, 0.078072, 7.098029
2.894690, 0.078072, 7.098029
2.897586, 0.078072, 7.098029
2.900715, 0.078072, 7.098029
2.904234, 0.078072, 7.098029
2.906914, 0.078072, 7.098029
2.910851, 0.078072, 7.098029
2.915078, 0.078072, 7.098029
2.919044, 0.078072, 7.098029
2.927264, 0.078072, 7.098029
2.936502, 0.078072, 7.098029
2.942977, 0.078072, 7.098029
2.947886, 0.078072, 7.098029
2.952020, 0.078072, 7.098029
2.955950, 0.078072, 7.098029
2.959850, 0.078072, 7.098029
2.962604, 0.078072, 7.098029
2.965433, 0.078072, 7.098029
2.968544, 0.075522, 6.866204
2.972427, 0.078072, 7.098029
2.976295, 0.078072, 7.098029
2.979034, 0.078072, 7.098029
2.981567, 0.078072, 7.098029
2.984409, 0.078072, 7.098029
2.987208, 0.078072, 7.098029
2.990670, 0.078072, 7.098029
2.993756, 0.078072, 7.098029
2.996861, 0.078072, 7.098029
3.000016, 0.078072, 7.098029
3.003695, 0.080622, 7.329853
3.007719, 0.078072, 7.098029
3.012123, 0.078072, 7.098029
3.016038, 0.078072, 7.098029
3.023215, 0.078072, 7.098029
3.030983, 0.078072, 7.098029
3.041502, 0.075522, 6.866204
3.051456, 0.078072, 7.098029
3.056396, 0.078072, 7.098029
3.060058, 0.078072, 7.098029
3.062986, 0.078072, 7.098029
3.066023, 0.078072, 7.098029
3.069317, 0.078072, 7.098029
3.072382, 0.078072, 7.098029
3.075139, 0.078072, 7.098029
3.090865, 0.078072, 7.098029
3.097729, 0.078072, 7.098029
3.103031, 0.078072, 7.098029
3.108052, 0.078072, 7.098029
3.112374, 0.078072, 7.098029
3.115931, 0.078072, 7.098029
3.118536, 0.078072, 7.098029
3.121332, 0.078072, 7.098029
3.125761, 0.078072, 7.098029
3.130532, 0.078072, 7.098029
3.135208, 0.078072, 7.098029
3.138184, 0.078072, 7.098029
3.140916, 0.078072, 7.098029
3.144129, 0.078072, 7.098029
3.148685, 0.078072, 7.098029
3.151551, 0.078072, 7.098029
3.155821, 0.078072, 7.098029
3.159774, 0.078072, 7.098029
3.162689, 0.078072, 7.098029
3.167364, 0.078072, 7.098029
3.172586, 0.080622, 7.329853
3.177592, 0.078072, 7.098029
3.182434, 0.078072, 7.098029
3.187187, 0.078072, 7.098029
3.190527, 0.078072, 7.098029
3.195671, 0.078072, 7.098029
3.201799, 0.078072, 7.098029
3.206869, 0.078072, 7.098029
3.211846, 0.075522, 6.866204
3.216226, 0.078072, 7.098029
3.220299, 0.078072, 7.098029
3.224247, 0.078072, 7.098029
3.228467, 0.078072, 7.098029
3.232119, 0.078072, 7.098029
3.235445, 0.078072, 7.098029
3.238855, 0.078072, 7.098029
3.242495, 0.078072, 7.098029
3.245158, 0.075522, 6.866204
3.248623, 0.078072, 7.098029
3.251555, 0.078072, 7.098029
3.254554, 0.078072, 7.098029
3.258213, 0.078072, 7.098029
