Time (s),Voltage (V),Pressure
0.920878, 4.500144, 409.113229
1.086708, 4.497595, 408.881503
1.142525, 4.497595, 408.881503
1.188453, 4.497595, 408.881503
1.274636, 4.497595, 408.881503
1.300988, 4.500144, 409.113229
1.304760, 4.497595, 408.881503
1.308439, 4.500144, 409.113229
1.312410, 4.500144, 409.113229
1.315068, 4.500144, 409.113229
1.318628, 4.497595, 408.881503
1.322112, 4.497595, 408.881503
1.325896, 4.497595, 408.881503
1.329883, 4.497595, 408.881503
1.336331, 4.500144, 409.113229
1.340715, 4.500144, 409.113229
1.343371, 4.500144, 409.113229
1.346386, 4.500144, 409.113229
1.349854, 4.500144, 409.113229
1.353836, 4.500144, 409.113229
1.366945, 4.500144, 409.113229
1.390792, 4.497595, 408.881503
1.396088, 4.497595, 408.881503
1.400429, 4.497595, 408.881503
1.403264, 4.500144, 409.113229
1.405985, 4.500144, 409.113229
1.409078, 4.500144, 409.113229
1.412547, 4.500144, 409.113229
1.416713, 4.500144, 409.113229
1.421283, 4.497595, 408.881503
1.425333, 4.497595, 408.881503
1.428242, 4.497595, 408.881503
1.431328, 4.497595, 408.881503
1.436576, 4.500144, 409.113229
1.441480, 4.500144, 409.113229
1.446265, 4.500144, 409.113229
1.450403, 4.500144, 409.113229
1.453984, 4.500144, 409.113229
1.458538, 4.497595, 408.881503
1.463098, 4.497595, 408.881503
1.468355, 4.497595, 408.881503
1.472422, 4.497595, 408.881503
1.476728, 4.497595, 408.881503
1.482381, 4.500144, 409.113229
1.485564, 4.500144, 409.113229
1.488250, 4.500144, 409.113229
1.494940, 4.500144, 409.113229
1.498553, 4.497595, 408.881503
1.501961, 4.497595, 408.881503
1.505019, 4.497595, 408.881503
1.508215, 4.497595, 408.881503
1.512034, 4.500144, 409.113229
1.517490, 4.500144, 409.113229
1.520875, 4.500144, 409.113229
1.523983, 4.500144, 409.113229
1.529703, 4.497595, 408.881503
1.535469, 4.497595, 408.881503
1.539946, 4.497595, 408.881503
1.543042, 4.497595, 408.881503
1.545861, 4.497595, 408.881503
1.548867, 4.500144, 409.113229
1.551347, 4.500144, 409.113229
1.556064, 4.500144, 409.113229
1.561495, 4.500144, 409.113229
1.565843, 4.500144, 409.113229
1.570076, 4.497595, 408.881503
1.573231, 4.497595, 408.881503
1.576284, 4.500144, 409.113229
1.578913, 4.497595, 408.881503
1.582112, 4.500144, 409.113229
1.585309, 4.500144, 409.113229
1.589481, 4.500144, 409.113229
1.593291, 4.497595, 408.881503
1.598186, 4.497595, 408.881503
1.602128, 4.497595, 408.881503
1.606868, 4.497595, 408.881503
1.611442, 4.497595, 408.881503
1.615992, 4.497595, 408.881503
1.620224, 4.500144, 409.113229
1.624552, 4.500144, 409.113229
1.629092, 4.500144, 409.113229
1.633984, 4.500144, 409.113229
1.638520, 4.497595, 408.881503
1.640930, 4.497595, 408.881503
1.643477, 4.497595, 408.881503
1.646946, 4.497595, 408.881503
1.654549, 4.497595, 408.881503
1.661245, 4.500144, 409.113229
1.663933, 4.500144, 409.113229
1.667466, 4.500144, 409.113229
1.670254, 4.500144, 409.113229
1.673172, 4.500144, 409.113229
1.676313, 4.500144, 409.113229
1.680424, 4.497595, 408.881503
1.686667, 4.497595, 408.881503
1.693742, 4.497595, 408.881503
1.699532, 4.500144, 409.113229
1.704741, 4.500144, 409.113229
1.710603, 4.500144, 409.113229
1.718223, 4.500144, 409.113229
1.838167, 4.497595, 408.881503
1.842904, 4.497595, 408.881503
1.846952, 4.497595, 408.881503
1.850858, 4.497595, 408.881503
1.854212, 4.497595, 408.881503
1.857192, 4.500144, 409.113229
1.860289, 4.500144, 409.113229
1.863549, 4.500144, 409.113229
1.867194, 4.497595, 408.881503
1.871574, 4.497595, 408.881503
1.876500, 4.497595, 408.881503
1.881303, 4.497595, 408.881503
1.886562, 4.497595, 408.881503
1.891187, 4.497595, 408.881503
1.895323, 4.497595, 408.881503
1.901332, 4.497595, 408.881503
1.905100, 4.500144, 409.113229
1.909919, 4.500144, 409.113229
1.913215, 4.497595, 408.881503
1.916392, 4.500144, 409.113229
1.919967, 4.500144, 409.113229
1.924323, 4.497595, 408.881503
1.929569, 4.497595, 408.881503
1.933724, 4.497595, 408.881503
1.939089, 4.500144, 409.113229
1.944679, 4.500144, 409.113229
1.951707, 4.500144, 409.113229
1.956387, 4.500144, 409.113229
1.959513, 4.497595, 408.881503
1.962315, 4.497595, 408.881503
1.966932, 4.497595, 408.881503
1.972468, 4.497595, 408.881503
1.977140, 4.497595, 408.881503
1.981309, 4.497595, 408.881503
1.985566, 4.500144, 409.113229
1.989723, 4.500144, 409.113229
1.993765, 4.497595, 408.881503
1.997586, 4.497595, 408.881503
2.001555, 4.497595, 408.881503
2.005220, 4.497595, 408.881503
2.008861, 4.497595, 408.881503
2.012387, 4.500144, 409.113229
2.016362, 4.500144, 409.113229
2.020389, 4.500144, 409.113229
2.024315, 4.500144, 409.113229
2.027891, 4.497595, 408.881503
2.032472, 4.497595, 408.881503
2.036275, 4.497595, 408.881503
2.039860, 4.497595, 408.881503
2.043248, 4.497595, 408.881503
2.047164, 4.497595, 408.881503
2.051011, 4.497595, 408.881503
2.054076, 4.500144, 409.113229
2.057151, 4.497595, 408.881503
2.060438, 4.497595, 408.881503
2.064133, 4.497595, 408.881503
2.067694, 4.497595, 408.881503
2.070716, 4.495047, 408.649777
2.073882, 4.497595, 408.881503
2.078544, 4.497595, 408.881503
2.082263, 4.497595, 408.881503
2.086696, 4.500144, 409.113229
2.090667, 4.497595, 408.881503
2.092965, 4.500144, 409.113229
2.096918, 4.497595, 408.881503
2.101946, 4.497595, 408.881503
2.107852, 4.497595, 408.881503
2.114683, 4.497595, 408.881503
2.120966, 4.497595, 408.881503
2.125985, 4.500144, 409.113229
2.130562, 4.500144, 409.113229
2.137590, 4.500144, 409.113229
2.146659, 4.497595, 408.881503
2.151528, 4.497595, 408.881503
2.156124, 4.497595, 408.881503
2.160195, 4.497595, 408.881503
2.164524, 4.497595, 408.881503
2.168543, 4.497595, 408.881503
2.171261, 4.497595, 408.881503
2.173848, 4.500144, 409.113229
2.177995, 4.500144, 409.113229
2.183742, 4.497595, 408.881503
2.189176, 4.497595, 408.881503
2.194113, 4.497595, 408.881503
2.199637, 4.495047, 408.649777
2.204975, 4.497595, 408.881503
2.211040, 4.497595, 408.881503
2.215247, 4.497595, 408.881503
2.219523, 4.497595, 408.881503
2.223388, 4.497595, 408.881503
2.227189, 4.497595, 408.881503
2.230950, 4.497595, 408.881503
2.234740, 4.497595, 408.881503
2.238613, 4.497595, 408.881503
2.242139, 4.497595, 408.881503
2.245543, 4.497595, 408.881503
2.249974, 4.497595, 408.881503
2.252156, 4.497595, 408.881503
2.254545, 4.497595, 408.881503
2.258033, 4.497595, 408.881503
2.264060, 4.497595, 408.881503
2.269066, 4.497595, 408.881503
2.272188, 4.495047, 408.649777
2.275463, 4.495047, 408.649777
2.278921, 4.497595, 408.881503
2.281896, 4.497595, 408.881503
2.284187, 4.497595, 408.881503
2.287022, 4.497595, 408.881503
2.289779, 4.497595, 408.881503
2.292723, 4.497595, 408.881503
2.296813, 4.497595, 408.881503
2.301272, 4.495047, 408.649777
2.304953, 4.497595, 408.881503
2.308914, 4.497595, 408.881503
2.312644, 4.497595, 408.881503
2.318013, 4.497595, 408.881503
2.321705, 4.497595, 408.881503
2.324504, 4.497595, 408.881503
2.327594, 4.497595, 408.881503
2.330931, 4.495047, 408.649777
2.334425, 4.495047, 408.649777
2.337789, 4.497595, 408.881503
2.343702, 4.497595, 408.881503
2.348565, 4.497595, 408.881503
2.351786, 4.497595, 408.881503
2.355008, 4.497595, 408.881503
2.357858, 4.497595, 408.881503
2.364000, 4.497595, 408.881503
2.368924, 4.497595, 408.881503
2.371547, 4.495047, 408.649777
2.374468, 4.495047, 408.649777
2.377339, 4.497595, 408.881503
2.381067, 4.497595, 408.881503
2.385841, 4.497595, 408.881503
2.392954, 4.500144, 409.113229
2.398074, 4.500144, 409.113229
2.401501, 4.497595, 408.881503
2.404520, 4.497595, 408.881503
2.407306, 4.495047, 408.649777
2.410302, 4.495047, 408.649777
2.413436, 4.497595, 408.881503
2.416984, 4.497595, 408.881503
2.421793, 4.500144, 409.113229
2.425538, 4.497595, 408.881503
2.429634, 4.500144, 409.113229
2.435040, 4.497595, 408.881503
2.439185, 4.497595, 408.881503
2.443247, 4.495047, 408.649777
2.448438, 4.495047, 408.649777
2.453390, 4.495047, 408.649777
2.457767, 4.497595, 408.881503
