Time (s),Voltage (V),Pressure
0.581687, -2.614687, -237.708754
0.652453, -2.617237, -237.940579
0.701773, -2.614687, -237.708754
0.741882, -2.617237, -237.940579
0.831205, -2.617237, -237.940579
0.862776, -2.614687, -237.708754
0.869123, -2.614687, -237.708754
0.874092, -2.614687, -237.708754
0.877085, -2.614687, -237.708754
0.879954, -2.614687, -237.708754
0.882925, -2.617237, -237.940579
0.886528, -2.614687, -237.708754
0.892613, -2.614687, -237.708754
0.900745, -2.617237, -237.940579
0.905822, -2.614687, -237.708754
0.909903, -2.617237, -237.940579
0.913643, -2.617237, -237.940579
0.917595, -2.614687, -237.708754
0.921946, -2.617237, -237.940579
0.924978, -2.614687, -237.708754
0.928682, -2.617237, -237.940579
0.932303, -2.617237, -237.940579
0.935485, -2.614687, -237.708754
0.938986, -2.614687, -237.708754
0.942450, -2.614687, -237.708754
0.946700, -2.617237, -237.940579
0.951028, -2.614687, -237.708754
0.954938, -2.614687, -237.708754
0.958401, -2.617237, -237.940579
0.962178, -2.617237, -237.940579
0.966332, -2.617237, -237.940579
0.970921, -2.614687, -237.708754
0.974856, -2.614687, -237.708754
0.977745, -2.614687, -237.708754
0.980674, -2.614687, -237.708754
0.983795, -2.614687, -237.708754
0.986872, -2.614687, -237.708754
0.989951, -2.614687, -237.708754
0.993135, -2.617237, -237.940579
0.996522, -2.617237, -237.940579
0.999722, -2.617237, -237.940579
1.002983, -2.617237, -237.940579
1.006052, -2.614687, -237.708754
1.008476, -2.614687, -237.708754
1.011469, -2.614687, -237.708754
1.015238, -2.614687, -237.708754
1.020136, -2.614687, -237.708754
1.024959, -2.617237, -237.940579
1.029869, -2.614687, -237.708754
1.034931, -2.617237, -237.940579
1.039759, -2.617237, -237.940579
1.044284, -2.617237, -237.940579
1.048491, -2.617237, -237.940579
1.052893, -2.614687, -237.708754
1.057134, -2.617237, -237.940579
1.060996, -2.617237, -237.940579
1.064688, -2.614687, -237.708754
1.068089, -2.617237, -237.940579
1.072659, -2.614687, -237.708754
1.075434, -2.614687, -237.708754
1.078032, -2.614687, -237.708754
1.080388, -2.614687, -237.708754
1.082767, -2.617237, -237.940579
1.085172, -2.614687, -237.708754
1.087656, -2.617237, -237.940579
1.090247, -2.617237, -237.940579
1.093565, -2.617237, -237.940579
1.098380, -2.614687, -237.708754
1.102678, -2.614687, -237.708754
1.105113, -2.614687, -237.708754
1.108076, -2.614687, -237.708754
1.111109, -2.614687, -237.708754
1.113479, -2.614687, -237.708754
1.115877, -2.614687, -237.708754
1.118435, -2.617237, -237.940579
1.121879, -2.617237, -237.940579
1.124373, -2.617237, -237.940579
1.126885, -2.617237, -237.940579
1.129929, -2.617237, -237.940579
1.132688, -2.617237, -237.940579
1.135069, -2.614687, -237.708754
1.137856, -2.614687, -237.708754
1.140476, -2.614687, -237.708754
1.143854, -2.617237, -237.940579
1.146133, -2.614687, -237.708754
1.148543, -2.617237, -237.940579
1.151151, -2.614687, -237.708754
1.154615, -2.614687, -237.708754
1.157389, -2.614687, -237.708754
1.160653, -2.614687, -237.708754
1.163129, -2.617237, -237.940579
1.165615, -2.617237, -237.940579
1.168227, -2.614687, -237.708754
1.170883, -2.617237, -237.940579
1.173803, -2.617237, -237.940579
1.176572, -2.614687, -237.708754
1.179265, -2.614687, -237.708754
1.181912, -2.614687, -237.708754
1.185221, -2.614687, -237.708754
1.190233, -2.614687, -237.708754
1.289535, -2.614687, -237.708754
1.293113, -2.614687, -237.708754
1.299543, -2.617237, -237.940579
1.304808, -2.617237, -237.940579
1.307471, -2.617237, -237.940579
1.310385, -2.614687, -237.708754
1.313163, -2.614687, -237.708754
1.316358, -2.614687, -237.708754
1.319412, -2.614687, -237.708754
1.322087, -2.614687, -237.708754
1.325123, -2.617237, -237.940579
1.328733, -2.614687, -237.708754
1.331386, -2.617237, -237.940579
1.334074, -2.617237, -237.940579
1.336808, -2.614687, -237.708754
1.340305, -2.614687, -237.708754
1.344550, -2.614687, -237.708754
1.348222, -2.617237, -237.940579
1.353242, -2.614687, -237.708754
1.357675, -2.617237, -237.940579
1.360546, -2.617237, -237.940579
1.363151, -2.614687, -237.708754
1.365804, -2.617237, -237.940579
1.368502, -2.614687, -237.708754
1.371343, -2.614687, -237.708754
1.374625, -2.617237, -237.940579
1.380089, -2.614687, -237.708754
1.386292, -2.617237, -237.940579
1.392539, -2.614687, -237.708754
