Time (s),Voltage (V),Pressure
0.247422, 0.070092, 6.372763
0.260808, 0.070092, 6.372763
0.262883, 0.070092, 6.372763
0.264937, 0.067543, 6.141037
0.266707, 0.067543, 6.141037
0.269780, 0.067543, 6.141037
0.271463, 0.070092, 6.372763
0.273183, 0.070092, 6.372763
0.274973, 0.067543, 6.141037
0.276635, 0.070092, 6.372763
0.278325, 0.070092, 6.372763
0.280227, 0.070092, 6.372763
0.282041, 0.070092, 6.372763
0.283846, 0.070092, 6.372763
0.286891, 0.070092, 6.372763
0.288530, 0.070092, 6.372763
0.292329, 0.067543, 6.141037
0.294275, 0.070092, 6.372763
0.295881, 0.070092, 6.372763
0.297431, 0.070092, 6.372763
0.298964, 0.070092, 6.372763
0.300734, 0.067543, 6.141037
0.302544, 0.067543, 6.141037
0.304373, 0.070092, 6.372763
0.306196, 0.070092, 6.372763
0.307974, 0.070092, 6.372763
0.309854, 0.070092, 6.372763
0.311623, 0.070092, 6.372763
0.313323, 0.070092, 6.372763
0.315034, 0.070092, 6.372763
0.316596, 0.067543, 6.141037
0.318376, 0.067543, 6.141037
0.320740, 0.070092, 6.372763
0.322396, 0.070092, 6.372763
0.324091, 0.070092, 6.372763
0.325712, 0.070092, 6.372763
0.327308, 0.067543, 6.141037
0.329083, 0.067543, 6.141037
0.330887, 0.070092, 6.372763
0.332617, 0.070092, 6.372763
0.334377, 0.070092, 6.372763
0.336302, 0.070092, 6.372763
0.338184, 0.067543, 6.141037
0.340249, 0.070092, 6.372763
0.341937, 0.070092, 6.372763
0.343479, 0.070092, 6.372763
0.345027, 0.070092, 6.372763
0.346587, 0.070092, 6.372763
0.348138, 0.070092, 6.372763
0.349685, 0.070092, 6.372763
0.352025, 0.070092, 6.372763
0.353878, 0.067543, 6.141037
0.356264, 0.070092, 6.372763
0.358251, 0.070092, 6.372763
0.360446, 0.070092, 6.372763
0.362186, 0.067543, 6.141037
0.363897, 0.070092, 6.372763
0.365541, 0.070092, 6.372763
0.367307, 0.067543, 6.141037
0.369129, 0.070092, 6.372763
0.371133, 0.067543, 6.141037
0.372815, 0.067543, 6.141037
0.374391, 0.070092, 6.372763
0.375995, 0.070092, 6.372763
0.377678, 0.067543, 6.141037
0.379411, 0.070092, 6.372763
0.381528, 0.070092, 6.372763
0.383130, 0.067543, 6.141037
0.384790, 0.070092, 6.372763
0.386453, 0.067543, 6.141037
0.388070, 0.070092, 6.372763
0.389680, 0.067543, 6.141037
0.391641, 0.067543, 6.141037
0.393345, 0.070092, 6.372763
0.395014, 0.070092, 6.372763
0.396684, 0.070092, 6.372763
0.398648, 0.067543, 6.141037
0.400351, 0.070092, 6.372763
0.402184, 0.070092, 6.372763
0.403808, 0.070092, 6.372763
0.405401, 0.070092, 6.372763
0.406967, 0.070092, 6.372763
0.408596, 0.070092, 6.372763
0.410322, 0.070092, 6.372763
0.412124, 0.070092, 6.372763
0.413880, 0.070092, 6.372763
0.415719, 0.070092, 6.372763
0.417555, 0.067543, 6.141037
0.419390, 0.070092, 6.372763
0.421627, 0.070092, 6.372763
0.423413, 0.067543, 6.141037
0.425124, 0.067543, 6.141037
0.426833, 0.067543, 6.141037
0.428646, 0.070092, 6.372763
0.430361, 0.070092, 6.372763
0.432185, 0.070092, 6.372763
0.434005, 0.070092, 6.372763
0.436116, 0.070092, 6.372763
0.437954, 0.067543, 6.141037
0.439811, 0.070092, 6.372763
0.445757, 0.070092, 6.372763
0.447659, 0.070092, 6.372763
0.449335, 0.067543, 6.141037
0.451063, 0.070092, 6.372763
0.453662, 0.067543, 6.141037
