Time (s),Voltage (V),Pressure
0.499130, 1.400637, 154.070104
0.539880, 1.400637, 154.070104
0.565659, 1.400637, 154.070104
0.586877, 1.400637, 154.070104
0.632521, 1.400637, 154.070104
0.645974, 1.400637, 154.070104
0.648676, 1.400637, 154.070104
0.650787, 1.400637, 154.070104
0.652951, 1.398088, 153.789721
0.655651, 1.400637, 154.070104
0.659140, 1.398088, 153.789721
0.662760, 1.398088, 153.789721
0.665358, 1.398088, 153.789721
0.668394, 1.398088, 153.789721
0.671366, 1.398088, 153.789721
0.674058, 1.400637, 154.070104
0.676946, 1.400637, 154.070104
0.681181, 1.403186, 154.350487
0.683254, 1.400637, 154.070104
0.685404, 1.400637, 154.070104
0.687670, 1.400637, 154.070104
0.689762, 1.400637, 154.070104
0.691744, 1.400637, 154.070104
0.693734, 1.400637, 154.070104
0.695952, 1.400637, 154.070104
0.698313, 1.398088, 153.789721
0.700591, 1.400637, 154.070104
0.702947, 1.400637, 154.070104
0.705269, 1.398088, 153.789721
0.707401, 1.398088, 153.789721
0.709634, 1.400637, 154.070104
0.711872, 1.398088, 153.789721
0.713865, 1.400637, 154.070104
0.715855, 1.400637, 154.070104
0.717895, 1.400637, 154.070104
0.720237, 1.400637, 154.070104
0.722514, 1.400637, 154.070104
0.724680, 1.403186, 154.350487
0.726662, 1.400637, 154.070104
0.728636, 1.400637, 154.070104
0.730603, 1.400637, 154.070104
0.732563, 1.400637, 154.070104
0.734620, 1.398088, 153.789721
0.736681, 1.398088, 153.789721
0.738818, 1.398088, 153.789721
0.741015, 1.398088, 153.789721
0.742976, 1.400637, 154.070104
0.744933, 1.398088, 153.789721
0.747066, 1.400637, 154.070104
0.749192, 1.400637, 154.070104
0.751304, 1.400637, 154.070104
0.754262, 1.400637, 154.070104
0.756593, 1.400637, 154.070104
0.758801, 1.400637, 154.070104
0.760951, 1.400637, 154.070104
0.763090, 1.400637, 154.070104
0.765240, 1.400637, 154.070104
0.767495, 1.400637, 154.070104
0.769882, 1.398088, 153.789721
0.771959, 1.398088, 153.789721
0.774046, 1.398088, 153.789721
0.776252, 1.398088, 153.789721
0.778486, 1.398088, 153.789721
0.780787, 1.398088, 153.789721
0.782948, 1.400637, 154.070104
0.785095, 1.400637, 154.070104
0.787300, 1.400637, 154.070104
0.789500, 1.400637, 154.070104
0.791673, 1.400637, 154.070104
0.793653, 1.400637, 154.070104
0.795624, 1.400637, 154.070104
0.797593, 1.400637, 154.070104
0.799558, 1.400637, 154.070104
0.801807, 1.400637, 154.070104
0.804518, 1.398088, 153.789721
0.806770, 1.400637, 154.070104
0.808859, 1.398088, 153.789721
0.810895, 1.398088, 153.789721
0.812873, 1.398088, 153.789721
0.814847, 1.398088, 153.789721
0.816942, 1.398088, 153.789721
0.819304, 1.398088, 153.789721
0.821598, 1.400637, 154.070104
0.823692, 1.400637, 154.070104
0.825663, 1.400637, 154.070104
0.827636, 1.400637, 154.070104
0.829601, 1.400637, 154.070104
0.831712, 1.400637, 154.070104
0.833698, 1.400637, 154.070104
0.835732, 1.400637, 154.070104
0.837948, 1.400637, 154.070104
0.840083, 1.400637, 154.070104
0.842701, 1.398088, 153.789721
0.844741, 1.398088, 153.789721
0.846718, 1.398088, 153.789721
0.848647, 1.400637, 154.070104
0.850673, 1.398088, 153.789721
0.852794, 1.400637, 154.070104
0.855267, 1.400637, 154.070104
0.858976, 1.398088, 153.789721
0.919882, 1.400637, 154.070104
0.922468, 1.400637, 154.070104
0.924815, 1.400637, 154.070104
0.927109, 1.403186, 154.350487
0.929175, 1.400637, 154.070104
0.931154, 1.400637, 154.070104
0.933315, 1.400637, 154.070104
0.935429, 1.400637, 154.070104
0.937902, 1.400637, 154.070104
0.940077, 1.398088, 153.789721
0.942392, 1.398088, 153.789721
0.944708, 1.398088, 153.789721
0.946721, 1.398088, 153.789721
0.948694, 1.398088, 153.789721
0.950667, 1.400637, 154.070104
0.952695, 1.398088, 153.789721
0.954899, 1.400637, 154.070104
0.957221, 1.400637, 154.070104
0.959334, 1.400637, 154.070104
0.961295, 1.400637, 154.070104
0.963262, 1.400637, 154.070104
0.965740, 1.400637, 154.070104
0.968176, 1.400637, 154.070104
0.970595, 1.400637, 154.070104
0.972657, 1.400637, 154.070104
0.974851, 1.400637, 154.070104
0.976951, 1.398088, 153.789721
0.978947, 1.398088, 153.789721
0.980857, 1.398088, 153.789721
0.982772, 1.398088, 153.789721
0.985105, 1.398088, 153.789721
0.987489, 1.400637, 154.070104
0.989791, 1.400637, 154.070104
0.991897, 1.400637, 154.070104
0.993881, 1.400637, 154.070104
0.996138, 1.400637, 154.070104
0.998324, 1.400637, 154.070104
1.000385, 1.400637, 154.070104
1.002405, 1.400637, 154.070104
1.004503, 1.400637, 154.070104
1.006976, 1.400637, 154.070104
1.009052, 1.400637, 154.070104
1.011184, 1.398088, 153.789721
1.013144, 1.400637, 154.070104
1.015246, 1.398088, 153.789721
1.017348, 1.400637, 154.070104
1.020028, 1.398088, 153.789721
1.022358, 1.398088, 153.789721
