Time (s),Voltage (V),Pressure
0.491542, -0.335022, -36.852423
0.532731, -0.335022, -36.852423
0.559481, -0.335022, -36.852423
0.580551, -0.335022, -36.852423
0.630833, -0.332472, -36.571927
0.643826, -0.335022, -36.852423
0.646498, -0.335022, -36.852423
0.648972, -0.335022, -36.852423
0.651336, -0.335022, -36.852423
0.653520, -0.335022, -36.852423
0.655847, -0.335022, -36.852423
0.657940, -0.335022, -36.852423
0.660235, -0.335022, -36.852423
0.662396, -0.332472, -36.571927
0.664559, -0.335022, -36.852423
0.666552, -0.335022, -36.852423
0.670855, -0.337572, -37.132918
0.673169, -0.335022, -36.852423
0.675400, -0.335022, -36.852423
0.677402, -0.335022, -36.852423
0.679581, -0.332472, -36.571927
0.681689, -0.335022, -36.852423
0.683785, -0.335022, -36.852423
0.685724, -0.335022, -36.852423
0.687778, -0.335022, -36.852423
0.690015, -0.335022, -36.852423
0.692113, -0.335022, -36.852423
0.694171, -0.335022, -36.852423
0.696081, -0.335022, -36.852423
0.698008, -0.332472, -36.571927
0.699942, -0.335022, -36.852423
0.702150, -0.332472, -36.571927
0.704390, -0.335022, -36.852423
0.706815, -0.335022, -36.852423
0.708899, -0.335022, -36.852423
0.710934, -0.335022, -36.852423
0.713088, -0.335022, -36.852423
0.715247, -0.335022, -36.852423
0.717207, -0.335022, -36.852423
0.719158, -0.332472, -36.571927
0.721704, -0.335022, -36.852423
0.724005, -0.335022, -36.852423
0.726331, -0.335022, -36.852423
0.728383, -0.332472, -36.571927
0.730534, -0.335022, -36.852423
0.733314, -0.335022, -36.852423
0.735825, -0.332472, -36.571927
0.738258, -0.332472, -36.571927
0.740406, -0.332472, -36.571927
0.742501, -0.335022, -36.852423
0.744410, -0.335022, -36.852423
0.747166, -0.335022, -36.852423
0.750454, -0.335022, -36.852423
0.753979, -0.335022, -36.852423
0.756733, -0.332472, -36.571927
0.758887, -0.335022, -36.852423
0.761129, -0.332472, -36.571927
0.763439, -0.335022, -36.852423
0.765672, -0.335022, -36.852423
0.767777, -0.335022, -36.852423
0.769886, -0.335022, -36.852423
0.772107, -0.335022, -36.852423
0.774381, -0.335022, -36.852423
0.776737, -0.335022, -36.852423
0.779057, -0.335022, -36.852423
0.781171, -0.335022, -36.852423
0.783380, -0.335022, -36.852423
0.785615, -0.335022, -36.852423
0.788005, -0.335022, -36.852423
0.790251, -0.335022, -36.852423
0.792609, -0.335022, -36.852423
0.794805, -0.335022, -36.852423
0.796904, -0.332472, -36.571927
0.798868, -0.335022, -36.852423
0.800837, -0.332472, -36.571927
0.803996, -0.335022, -36.852423
0.806235, -0.335022, -36.852423
0.808379, -0.335022, -36.852423
0.810501, -0.332472, -36.571927
0.812587, -0.335022, -36.852423
0.814508, -0.335022, -36.852423
0.816405, -0.335022, -36.852423
0.818312, -0.335022, -36.852423
0.820249, -0.332472, -36.571927
0.822470, -0.335022, -36.852423
0.824639, -0.335022, -36.852423
0.826738, -0.335022, -36.852423
0.828829, -0.335022, -36.852423
0.830761, -0.335022, -36.852423
0.833114, -0.335022, -36.852423
0.835156, -0.332472, -36.571927
0.837295, -0.335022, -36.852423
0.839399, -0.332472, -36.571927
0.841435, -0.335022, -36.852423
0.843724, -0.335022, -36.852423
0.845853, -0.335022, -36.852423
