Time (s),Voltage (V),Pressure
0.530677, 2.643332, 290.766567
0.574893, 2.643332, 290.766567
0.603957, 2.643332, 290.766567
0.627313, 2.643332, 290.766567
0.678593, 2.643332, 290.766567
0.692601, 2.643332, 290.766567
0.695688, 2.643332, 290.766567
0.698256, 2.643332, 290.766567
0.700980, 2.643332, 290.766567
0.703453, 2.643332, 290.766567
0.705971, 2.643332, 290.766567
0.708332, 2.643332, 290.766567
0.710718, 2.645882, 291.047063
0.713213, 2.645882, 291.047063
0.715597, 2.643332, 290.766567
0.717773, 2.643332, 290.766567
0.722427, 2.643332, 290.766567
0.725685, 2.643332, 290.766567
0.727837, 2.643332, 290.766567
0.729996, 2.643332, 290.766567
0.732200, 2.643332, 290.766567
0.734261, 2.645882, 291.047063
0.736558, 2.643332, 290.766567
0.738743, 2.643332, 290.766567
0.741377, 2.643332, 290.766567
0.743408, 2.643332, 290.766567
0.745396, 2.643332, 290.766567
0.747418, 2.643332, 290.766567
0.749445, 2.643332, 290.766567
0.752061, 2.645882, 291.047063
0.754465, 2.643332, 290.766567
0.756602, 2.643332, 290.766567
0.758787, 2.645882, 291.047063
0.761027, 2.643332, 290.766567
0.763212, 2.643332, 290.766567
0.765415, 2.643332, 290.766567
0.767512, 2.643332, 290.766567
0.769735, 2.645882, 291.047063
0.772308, 2.643332, 290.766567
0.774764, 2.645882, 291.047063
0.777233, 2.645882, 291.047063
0.779387, 2.645882, 291.047063
0.781643, 2.643332, 290.766567
0.783917, 2.643332, 290.766567
0.786297, 2.645882, 291.047063
0.788686, 2.643332, 290.766567
0.790971, 2.643332, 290.766567
0.793193, 2.643332, 290.766567
0.795462, 2.643332, 290.766567
0.797699, 2.645882, 291.047063
0.799821, 2.645882, 291.047063
0.802763, 2.645882, 291.047063
0.805368, 2.645882, 291.047063
0.807704, 2.643332, 290.766567
0.810014, 2.645882, 291.047063
0.812533, 2.643332, 290.766567
0.814707, 2.645882, 291.047063
0.816991, 2.645882, 291.047063
0.819222, 2.645882, 291.047063
0.821254, 2.645882, 291.047063
0.823867, 2.643332, 290.766567
0.825925, 2.645882, 291.047063
0.827971, 2.643332, 290.766567
0.830002, 2.645882, 291.047063
0.832521, 2.645882, 291.047063
0.834733, 2.645882, 291.047063
0.837039, 2.645882, 291.047063
0.839205, 2.645882, 291.047063
0.841369, 2.645882, 291.047063
0.843632, 2.645882, 291.047063
0.845914, 2.643332, 290.766567
0.848201, 2.643332, 290.766567
0.850335, 2.643332, 290.766567
0.852625, 2.645882, 291.047063
0.855008, 2.645882, 291.047063
0.857346, 2.645882, 291.047063
0.859600, 2.645882, 291.047063
0.861645, 2.645882, 291.047063
0.863825, 2.645882, 291.047063
0.866039, 2.645882, 291.047063
0.868213, 2.645882, 291.047063
0.870347, 2.645882, 291.047063
0.872549, 2.645882, 291.047063
0.874956, 2.645882, 291.047063
