Time (s),Voltage (V),Pressure
0.570079, -1.870099, -205.710840
0.617754, -1.870099, -205.710840
0.648342, -1.870099, -205.710840
0.672084, -1.870099, -205.710840
0.729202, -1.872649, -205.991336
0.745334, -1.870099, -205.710840
0.748383, -1.870099, -205.710840
0.751240, -1.870099, -205.710840
0.754452, -1.870099, -205.710840
0.757193, -1.870099, -205.710840
0.759611, -1.870099, -205.710840
0.762327, -1.870099, -205.710840
0.764744, -1.870099, -205.710840
0.767142, -1.872649, -205.991336
0.769660, -1.870099, -205.710840
0.773579, -1.870099, -205.710840
0.776344, -1.870099, -205.710840
0.779191, -1.870099, -205.710840
0.781569, -1.870099, -205.710840
0.783924, -1.870099, -205.710840
0.786603, -1.872649, -205.991336
0.789730, -1.870099, -205.710840
0.792675, -1.872649, -205.991336
0.795243, -1.870099, -205.710840
0.799323, -1.870099, -205.710840
0.802239, -1.870099, -205.710840
0.804955, -1.870099, -205.710840
0.808131, -1.870099, -205.710840
0.811095, -1.870099, -205.710840
0.813482, -1.870099, -205.710840
0.815787, -1.870099, -205.710840
0.818228, -1.870099, -205.710840
0.820932, -1.872649, -205.991336
0.823798, -1.870099, -205.710840
0.826595, -1.870099, -205.710840
0.829561, -1.870099, -205.710840
0.832143, -1.870099, -205.710840
0.834459, -1.870099, -205.710840
0.837166, -1.870099, -205.710840
0.840291, -1.870099, -205.710840
0.843117, -1.870099, -205.710840
0.845684, -1.870099, -205.710840
0.848478, -1.870099, -205.710840
0.851426, -1.870099, -205.710840
0.854439, -1.872649, -205.991336
0.857979, -1.870099, -205.710840
0.860934, -1.870099, -205.710840
0.863482, -1.872649, -205.991336
0.866320, -1.870099, -205.710840
0.869244, -1.870099, -205.710840
0.871916, -1.870099, -205.710840
0.875705, -1.870099, -205.710840
0.879111, -1.870099, -205.710840
0.881702, -1.870099, -205.710840
0.884814, -1.870099, -205.710840
0.888269, -1.870099, -205.710840
0.891877, -1.870099, -205.710840
0.894628, -1.870099, -205.710840
0.896922, -1.870099, -205.710840
0.899287, -1.870099, -205.710840
0.901721, -1.870099, -205.710840
0.904143, -1.870099, -205.710840
0.906756, -1.870099, -205.710840
0.909475, -1.870099, -205.710840
0.912336, -1.870099, -205.710840
0.915932, -1.870099, -205.710840
0.919369, -1.870099, -205.710840
0.922437, -1.870099, -205.710840
0.925066, -1.870099, -205.710840
0.927552, -1.870099, -205.710840
0.930193, -1.870099, -205.710840
0.933038, -1.870099, -205.710840
0.935819, -1.870099, -205.710840
0.939578, -1.870099, -205.710840
0.943354, -1.872649, -205.991336
0.947073, -1.870099, -205.710840
0.950413, -1.867549, -205.430345
0.953269, -1.870099, -205.710840
0.956043, -1.870099, -205.710840
0.958655, -1.870099, -205.710840
0.961312, -1.870099, -205.710840
0.963940, -1.870099, -205.710840
0.966355, -1.870099, -205.710840
0.968859, -1.870099, -205.710840
0.971363, -1.870099, -205.710840
0.973963, -1.870099, -205.710840
0.976513, -1.870099, -205.710840
0.979090, -1.870099, -205.710840
0.981629, -1.870099, -205.710840
0.984111, -1.870099, -205.710840
0.986439, -1.870099, -205.710840
0.988774, -1.870099, -205.710840
0.991450, -1.870099, -205.710840
0.994057, -1.870099, -205.710840
0.996474, -1.870099, -205.710840
0.998786, -1.870099, -205.710840
1.001370, -1.870099, -205.710840
1.003821, -1.870099, -205.710840
1.006910, -1.870099, -205.710840
1.011666, -1.870099, -205.710840
1.082843, -1.870099, -205.710840
1.085800, -1.870099, -205.710840
1.088239, -1.870099, -205.710840
1.091288, -1.870099, -205.710840
1.093954, -1.870099, -205.710840
1.096334, -1.870099, -205.710840
1.098850, -1.870099, -205.710840
1.101324, -1.870099, -205.710840
1.103869, -1.870099, -205.710840
1.106426, -1.870099, -205.710840
1.108872, -1.870099, -205.710840
1.111498, -1.870099, -205.710840
1.113830, -1.870099, -205.710840
1.116112, -1.870099, -205.710840
1.118393, -1.870099, -205.710840
1.120806, -1.870099, -205.710840
1.123329, -1.867549, -205.430345
1.125896, -1.870099, -205.710840
1.128428, -1.870099, -205.710840
1.130810, -1.870099, -205.710840
1.133334, -1.870099, -205.710840
1.135751, -1.867549, -205.430345
1.138023, -1.870099, -205.710840
1.140448, -1.870099, -205.710840
1.143181, -1.870099, -205.710840
1.145577, -1.870099, -205.710840
1.147805, -1.870099, -205.710840
1.150238, -1.870099, -205.710840
1.152760, -1.870099, -205.710840
1.155152, -1.870099, -205.710840
1.157575, -1.870099, -205.710840
1.159971, -1.867549, -205.430345
1.162722, -1.867549, -205.430345
1.165002, -1.870099, -205.710840
1.167446, -1.870099, -205.710840
1.169933, -1.870099, -205.710840
1.172517, -1.870099, -205.710840
1.174952, -1.870099, -205.710840
1.177465, -1.870099, -205.710840
1.179726, -1.870099, -205.710840
1.182078, -1.867549, -205.430345
1.184564, -1.870099, -205.710840
1.187056, -1.870099, -205.710840
1.189524, -1.867549, -205.430345
1.192300, -1.870099, -205.710840
1.194829, -1.867549, -205.430345
1.197343, -1.870099, -205.710840
1.199652, -1.867549, -205.430345
1.202170, -1.870099, -205.710840
1.204660, -1.870099, -205.710840
1.207367, -1.870099, -205.710840
1.209823, -1.870099, -205.710840
1.212557, -1.870099, -205.710840
1.215008, -1.870099, -205.710840
1.217509, -1.870099, -205.710840
1.219799, -1.870099, -205.710840
1.223226, -1.870099, -205.710840
