Time (s),Voltage (V),Pressure
0.667762, 0.690062, 75.906853
0.712583, 0.687512, 75.626357
0.740298, 0.687512, 75.626357
0.761286, 0.687512, 75.626357
0.809971, 0.687512, 75.626357
0.822690, 0.687512, 75.626357
0.825051, 0.690062, 75.906853
0.827052, 0.690062, 75.906853
0.830003, 0.687512, 75.626357
0.831939, 0.687512, 75.626357
0.833922, 0.690062, 75.906853
0.835781, 0.690062, 75.906853
0.837656, 0.687512, 75.626357
0.839522, 0.690062, 75.906853
0.842606, 0.690062, 75.906853
0.844341, 0.690062, 75.906853
0.845974, 0.687512, 75.626357
0.847726, 0.687512, 75.626357
0.849519, 0.687512, 75.626357
0.851153, 0.690062, 75.906853
0.852753, 0.690062, 75.906853
0.854732, 0.690062, 75.906853
0.856450, 0.687512, 75.626357
0.858311, 0.687512, 75.626357
0.859950, 0.690062, 75.906853
0.861524, 0.687512, 75.626357
0.863087, 0.690062, 75.906853
0.864772, 0.690062, 75.906853
0.866598, 0.687512, 75.626357
0.868458, 0.687512, 75.626357
0.870120, 0.687512, 75.626357
0.871768, 0.687512, 75.626357
0.873405, 0.690062, 75.906853
0.875034, 0.690062, 75.906853
0.876905, 0.687512, 75.626357
0.878716, 0.687512, 75.626357
0.880496, 0.690062, 75.906853
0.882248, 0.690062, 75.906853
0.884096, 0.687512, 75.626357
0.886027, 0.687512, 75.626357
0.887847, 0.687512, 75.626357
0.889731, 0.687512, 75.626357
0.891323, 0.690062, 75.906853
0.892973, 0.687512, 75.626357
0.894533, 0.687512, 75.626357
0.896215, 0.687512, 75.626357
0.897995, 0.690062, 75.906853
0.900626, 0.690062, 75.906853
0.902974, 0.690062, 75.906853
0.904832, 0.687512, 75.626357
0.906634, 0.690062, 75.906853
0.908675, 0.687512, 75.626357
0.911440, 0.690062, 75.906853
0.915657, 0.690062, 75.906853
0.919770, 0.687512, 75.626357
0.922983, 0.687512, 75.626357
0.925682, 0.687512, 75.626357
0.928286, 0.690062, 75.906853
0.931160, 0.690062, 75.906853
0.933755, 0.690062, 75.906853
0.936195, 0.687512, 75.626357
0.938754, 0.687512, 75.626357
0.940758, 0.687512, 75.626357
0.943360, 0.687512, 75.626357
0.945746, 0.690062, 75.906853
0.947863, 0.687512, 75.626357
0.949848, 0.690062, 75.906853
0.952638, 0.690062, 75.906853
0.955179, 0.687512, 75.626357
0.957128, 0.687512, 75.626357
0.959053, 0.687512, 75.626357
0.960887, 0.687512, 75.626357
0.962930, 0.690062, 75.906853
0.965423, 0.687512, 75.626357
0.967803, 0.687512, 75.626357
0.969684, 0.690062, 75.906853
0.971683, 0.687512, 75.626357
0.973988, 0.687512, 75.626357
0.976054, 0.690062, 75.906853
0.978090, 0.687512, 75.626357
0.980025, 0.687512, 75.626357
0.982371, 0.687512, 75.626357
0.984329, 0.690062, 75.906853
0.986294, 0.687512, 75.626357
0.988129, 0.690062, 75.906853
0.989900, 0.687512, 75.626357
0.991679, 0.690062, 75.906853
0.993424, 0.690062, 75.906853
0.995149, 0.687512, 75.626357
0.996899, 0.690062, 75.906853
0.998598, 0.690062, 75.906853
1.000293, 0.690062, 75.906853
1.002117, 0.690062, 75.906853
1.003919, 0.687512, 75.626357
1.005666, 0.687512, 75.626357
1.007350, 0.690062, 75.906853
1.009014, 0.687512, 75.626357
1.010690, 0.690062, 75.906853
1.013586, 0.687512, 75.626357
1.018302, 0.687512, 75.626357
1.096871, 0.690062, 75.906853
1.099276, 0.690062, 75.906853
1.102841, 0.687512, 75.626357
1.105223, 0.690062, 75.906853
1.106985, 0.687512, 75.626357
1.108771, 0.687512, 75.626357
1.110291, 0.690062, 75.906853
1.111926, 0.687512, 75.626357
1.113520, 0.690062, 75.906853
1.115179, 0.687512, 75.626357
1.116856, 0.687512, 75.626357
1.118506, 0.690062, 75.906853
1.120257, 0.690062, 75.906853
1.122007, 0.687512, 75.626357
1.123586, 0.687512, 75.626357
1.125150, 0.690062, 75.906853
1.126708, 0.690062, 75.906853
1.128240, 0.690062, 75.906853
1.129785, 0.687512, 75.626357
1.131337, 0.687512, 75.626357
1.133158, 0.690062, 75.906853
1.134997, 0.687512, 75.626357
1.136742, 0.690062, 75.906853
1.138369, 0.687512, 75.626357
1.141081, 0.690062, 75.906853
1.143110, 0.690062, 75.906853
1.144665, 0.690062, 75.906853
1.146353, 0.690062, 75.906853
1.147961, 0.687512, 75.626357
1.149518, 0.687512, 75.626357
1.151108, 0.690062, 75.906853
1.152976, 0.687512, 75.626357
1.154795, 0.690062, 75.906853
1.156510, 0.687512, 75.626357
1.158248, 0.690062, 75.906853
1.159790, 0.687512, 75.626357
1.161409, 0.690062, 75.906853
1.163099, 0.687512, 75.626357
1.164728, 0.690062, 75.906853
1.166488, 0.690062, 75.906853
1.168148, 0.690062, 75.906853
1.169870, 0.687512, 75.626357
1.171577, 0.687512, 75.626357
1.173220, 0.687512, 75.626357
1.174903, 0.690062, 75.906853
1.176613, 0.690062, 75.906853
1.178282, 0.690062, 75.906853
1.179821, 0.687512, 75.626357
1.181354, 0.687512, 75.626357
1.182899, 0.687512, 75.626357
1.184731, 0.690062, 75.906853
1.186408, 0.690062, 75.906853
1.188228, 0.690062, 75.906853
1.189834, 0.690062, 75.906853
1.191484, 0.690062, 75.906853
1.193006, 0.690062, 75.906853
1.194861, 0.687512, 75.626357
1.196500, 0.687512, 75.626357
1.198302, 0.687512, 75.626357
1.199855, 0.690062, 75.906853
1.201516, 0.687512, 75.626357
1.203228, 0.690062, 75.906853
1.205046, 0.687512, 75.626357
1.206813, 0.690062, 75.906853
1.208478, 0.687512, 75.626357
1.210084, 0.690062, 75.906853
1.211703, 0.690062, 75.906853
1.213259, 0.690062, 75.906853
1.214914, 0.690062, 75.906853
1.216559, 0.687512, 75.626357
1.218217, 0.687512, 75.626357
1.219841, 0.687512, 75.626357
1.221378, 0.687512, 75.626357
1.222937, 0.687512, 75.626357
1.224725, 0.687512, 75.626357
1.226360, 0.687512, 75.626357
1.227943, 0.687512, 75.626357
1.229517, 0.687512, 75.626357
1.231097, 0.687512, 75.626357
1.232662, 0.690062, 75.906853
1.235077, 0.690062, 75.906853
1.236967, 0.687512, 75.626357
1.238672, 0.687512, 75.626357
1.240223, 0.690062, 75.906853
1.241818, 0.687512, 75.626357
1.243373, 0.690062, 75.906853
1.245133, 0.690062, 75.906853
1.246706, 0.690062, 75.906853
1.248286, 0.690062, 75.906853
1.249934, 0.690062, 75.906853
1.251756, 0.687512, 75.626357
1.253413, 0.690062, 75.906853
1.255565, 0.690062, 75.906853
1.257149, 0.690062, 75.906853
1.258698, 0.687512, 75.626357
1.260375, 0.687512, 75.626357
1.261909, 0.687512, 75.626357
1.263449, 0.687512, 75.626357
1.265026, 0.687512, 75.626357
1.267867, 0.687512, 75.626357
1.270753, 0.690062, 75.906853
1.272448, 0.687512, 75.626357
1.274019, 0.690062, 75.906853
1.275810, 0.687512, 75.626357
1.277477, 0.690062, 75.906853
1.279149, 0.687512, 75.626357
1.280810, 0.687512, 75.626357
1.282362, 0.687512, 75.626357
1.284091, 0.687512, 75.626357
1.285806, 0.690062, 75.906853
1.287407, 0.690062, 75.906853
1.289059, 0.687512, 75.626357
1.290801, 0.687512, 75.626357
1.292439, 0.690062, 75.906853
1.294125, 0.687512, 75.626357
1.295898, 0.690062, 75.906853
1.297603, 0.687512, 75.626357
1.299314, 0.690062, 75.906853
1.300979, 0.690062, 75.906853
1.302660, 0.687512, 75.626357
1.304369, 0.690062, 75.906853
1.306119, 0.690062, 75.906853
1.307829, 0.687512, 75.626357
1.309475, 0.690062, 75.906853
1.311002, 0.687512, 75.626357
1.312551, 0.687512, 75.626357
1.314160, 0.690062, 75.906853
1.315803, 0.690062, 75.906853
