Time (s),Voltage (V),Pressure
0.498735, -0.329922, -36.291431
0.539110, -0.332472, -36.571927
0.565891, -0.332472, -36.571927
0.588036, -0.329922, -36.291431
0.635581, -0.332472, -36.571927
0.647401, -0.329922, -36.291431
0.649667, -0.329922, -36.291431
0.651774, -0.332472, -36.571927
0.654251, -0.332472, -36.571927
0.656041, -0.332472, -36.571927
0.658036, -0.332472, -36.571927
0.659705, -0.332472, -36.571927
0.661356, -0.332472, -36.571927
0.663289, -0.332472, -36.571927
0.665008, -0.332472, -36.571927
0.666589, -0.332472, -36.571927
0.668680, -0.332472, -36.571927
0.670461, -0.332472, -36.571927
0.672108, -0.332472, -36.571927
0.673750, -0.332472, -36.571927
0.675363, -0.332472, -36.571927
0.676968, -0.332472, -36.571927
0.678686, -0.332472, -36.571927
0.680555, -0.332472, -36.571927
0.682262, -0.332472, -36.571927
0.683866, -0.332472, -36.571927
0.685454, -0.332472, -36.571927
0.687234, -0.332472, -36.571927
0.688988, -0.332472, -36.571927
0.690612, -0.332472, -36.571927
0.692269, -0.332472, -36.571927
0.693869, -0.332472, -36.571927
0.695459, -0.332472, -36.571927
0.697246, -0.332472, -36.571927
0.698986, -0.332472, -36.571927
0.700558, -0.332472, -36.571927
0.702280, -0.332472, -36.571927
0.703893, -0.332472, -36.571927
0.705503, -0.332472, -36.571927
0.707423, -0.329922, -36.291431
0.709110, -0.329922, -36.291431
0.710704, -0.332472, -36.571927
0.712625, -0.332472, -36.571927
0.714645, -0.332472, -36.571927
0.716328, -0.332472, -36.571927
0.717981, -0.332472, -36.571927
0.719872, -0.332472, -36.571927
0.721650, -0.332472, -36.571927
0.723265, -0.329922, -36.291431
0.725081, -0.329922, -36.291431
0.726897, -0.332472, -36.571927
0.728625, -0.329922, -36.291431
0.731680, -0.332472, -36.571927
0.734017, -0.332472, -36.571927
0.735821, -0.332472, -36.571927
0.737487, -0.332472, -36.571927
0.739125, -0.332472, -36.571927
0.740952, -0.332472, -36.571927
0.742733, -0.332472, -36.571927
0.744387, -0.332472, -36.571927
0.745970, -0.332472, -36.571927
0.747568, -0.332472, -36.571927
0.749147, -0.332472, -36.571927
0.750710, -0.332472, -36.571927
0.752286, -0.332472, -36.571927
0.753847, -0.329922, -36.291431
0.755414, -0.332472, -36.571927
0.757017, -0.329922, -36.291431
0.758698, -0.332472, -36.571927
0.760271, -0.332472, -36.571927
0.761826, -0.332472, -36.571927
0.763389, -0.332472, -36.571927
0.764947, -0.332472, -36.571927
0.766503, -0.332472, -36.571927
0.768115, -0.329922, -36.291431
0.769686, -0.332472, -36.571927
0.771267, -0.332472, -36.571927
0.772844, -0.332472, -36.571927
0.774444, -0.332472, -36.571927
0.776015, -0.332472, -36.571927
0.777581, -0.332472, -36.571927
0.779215, -0.332472, -36.571927
0.780782, -0.329922, -36.291431
0.782337, -0.329922, -36.291431
0.783874, -0.332472, -36.571927
0.785433, -0.332472, -36.571927
0.786999, -0.332472, -36.571927
0.788576, -0.332472, -36.571927
0.790117, -0.332472, -36.571927
0.791711, -0.332472, -36.571927
0.793268, -0.332472, -36.571927
0.794898, -0.332472, -36.571927
0.796466, -0.332472, -36.571927
0.798015, -0.332472, -36.571927
0.799702, -0.332472, -36.571927
0.801324, -0.332472, -36.571927
0.802928, -0.332472, -36.571927
0.804541, -0.332472, -36.571927
0.807175, -0.332472, -36.571927
0.810928, -0.332472, -36.571927
0.869795, -0.329922, -36.291431
0.871785, -0.329922, -36.291431
0.873352, -0.332472, -36.571927
0.874932, -0.332472, -36.571927
0.876504, -0.332472, -36.571927
0.878065, -0.332472, -36.571927
0.879619, -0.332472, -36.571927
0.881213, -0.332472, -36.571927
0.882873, -0.329922, -36.291431
0.884424, -0.332472, -36.571927
0.885983, -0.332472, -36.571927
0.887520, -0.332472, -36.571927
0.889064, -0.332472, -36.571927
0.890688, -0.332472, -36.571927
0.892281, -0.329922, -36.291431
0.893844, -0.329922, -36.291431
0.895382, -0.329922, -36.291431
0.896930, -0.332472, -36.571927
0.898474, -0.329922, -36.291431
0.900024, -0.332472, -36.571927
0.901662, -0.332472, -36.571927
0.903214, -0.332472, -36.571927
0.904784, -0.332472, -36.571927
0.906386, -0.332472, -36.571927
0.908012, -0.332472, -36.571927
0.909585, -0.332472, -36.571927
0.911303, -0.332472, -36.571927
0.913007, -0.332472, -36.571927
0.914695, -0.332472, -36.571927
0.916382, -0.332472, -36.571927
0.917969, -0.332472, -36.571927
0.919566, -0.332472, -36.571927
0.921258, -0.332472, -36.571927
0.922886, -0.332472, -36.571927
0.924479, -0.332472, -36.571927
0.926158, -0.332472, -36.571927
0.927703, -0.332472, -36.571927
0.929241, -0.332472, -36.571927
0.930874, -0.332472, -36.571927
0.932488, -0.332472, -36.571927
0.934056, -0.332472, -36.571927
0.935594, -0.332472, -36.571927
0.937140, -0.332472, -36.571927
0.938689, -0.332472, -36.571927
0.940240, -0.332472, -36.571927
0.941972, -0.332472, -36.571927
0.943511, -0.332472, -36.571927
0.945060, -0.332472, -36.571927
0.946609, -0.332472, -36.571927
0.948156, -0.329922, -36.291431
0.949689, -0.332472, -36.571927
0.951335, -0.329922, -36.291431
0.952918, -0.332472, -36.571927
0.954473, -0.332472, -36.571927
0.956021, -0.332472, -36.571927
0.957594, -0.332472, -36.571927
0.959147, -0.332472, -36.571927
0.960696, -0.332472, -36.571927
0.962295, -0.332472, -36.571927
0.963839, -0.332472, -36.571927
0.965368, -0.332472, -36.571927
0.966910, -0.332472, -36.571927
0.968457, -0.332472, -36.571927
0.970019, -0.332472, -36.571927
0.971617, -0.332472, -36.571927
0.973257, -0.332472, -36.571927
0.974862, -0.332472, -36.571927
0.976468, -0.332472, -36.571927
0.978052, -0.332472, -36.571927
0.979631, -0.332472, -36.571927
