Time (s),Voltage (V),Pressure
0.508828, 0.463116, 50.942735
0.549967, 0.460566, 50.662239
0.576012, 0.460566, 50.662239
0.597439, 0.460566, 50.662239
0.641512, 0.460566, 50.662239
0.654236, 0.460566, 50.662239
0.659045, 0.463116, 50.942735
0.662616, 0.460566, 50.662239
0.665729, 0.460566, 50.662239
0.668614, 0.460566, 50.662239
0.671211, 0.460566, 50.662239
0.673856, 0.463116, 50.942735
0.677304, 0.460566, 50.662239
0.680827, 0.463116, 50.942735
0.683117, 0.463116, 50.942735
0.685227, 0.463116, 50.942735
0.688025, 0.460566, 50.662239
0.690184, 0.460566, 50.662239
0.692880, 0.463116, 50.942735
0.695744, 0.460566, 50.662239
0.699000, 0.460566, 50.662239
0.702176, 0.463116, 50.942735
0.704766, 0.463116, 50.942735
0.707580, 0.460566, 50.662239
0.710572, 0.460566, 50.662239
0.713211, 0.460566, 50.662239
0.716016, 0.460566, 50.662239
0.718506, 0.463116, 50.942735
0.720860, 0.460566, 50.662239
0.723328, 0.460566, 50.662239
0.726077, 0.460566, 50.662239
0.728723, 0.463116, 50.942735
0.730944, 0.460566, 50.662239
0.733099, 0.460566, 50.662239
0.735236, 0.463116, 50.942735
0.737612, 0.460566, 50.662239
0.739897, 0.460566, 50.662239
0.742882, 0.460566, 50.662239
0.745145, 0.460566, 50.662239
0.747631, 0.460566, 50.662239
0.750648, 0.460566, 50.662239
0.753102, 0.463116, 50.942735
0.755160, 0.460566, 50.662239
0.758265, 0.460566, 50.662239
0.760609, 0.463116, 50.942735
0.763409, 0.460566, 50.662239
0.765694, 0.460566, 50.662239
0.768070, 0.460566, 50.662239
0.770349, 0.463116, 50.942735
0.772453, 0.463116, 50.942735
0.774394, 0.463116, 50.942735
0.776770, 0.463116, 50.942735
0.778979, 0.460566, 50.662239
0.781173, 0.460566, 50.662239
0.783237, 0.460566, 50.662239
0.785181, 0.460566, 50.662239
0.787330, 0.460566, 50.662239
0.789335, 0.460566, 50.662239
0.791572, 0.463116, 50.942735
0.793671, 0.460566, 50.662239
0.795705, 0.460566, 50.662239
0.797926, 0.460566, 50.662239
0.800027, 0.463116, 50.942735
0.801974, 0.460566, 50.662239
0.803892, 0.460566, 50.662239
0.806000, 0.463116, 50.942735
0.808546, 0.460566, 50.662239
0.810967, 0.460566, 50.662239
0.812967, 0.460566, 50.662239
0.814918, 0.460566, 50.662239
0.816801, 0.460566, 50.662239
0.819135, 0.460566, 50.662239
0.821526, 0.460566, 50.662239
0.823793, 0.460566, 50.662239
0.825754, 0.460566, 50.662239
0.827931, 0.460566, 50.662239
0.829841, 0.463116, 50.942735
0.831645, 0.460566, 50.662239
0.833442, 0.463116, 50.942735
0.835229, 0.460566, 50.662239
0.837000, 0.463116, 50.942735
0.838866, 0.460566, 50.662239
0.840642, 0.460566, 50.662239
0.842647, 0.460566, 50.662239
0.844586, 0.460566, 50.662239
0.846361, 0.463116, 50.942735
0.848292, 0.463116, 50.942735
0.850175, 0.460566, 50.662239
0.851971, 0.460566, 50.662239
0.853744, 0.460566, 50.662239
0.855518, 0.463116, 50.942735
0.857279, 0.463116, 50.942735
0.859259, 0.460566, 50.662239
0.861118, 0.460566, 50.662239
0.862899, 0.463116, 50.942735
0.864664, 0.463116, 50.942735
0.866409, 0.463116, 50.942735
0.868159, 0.460566, 50.662239
0.870613, 0.460566, 50.662239
0.874167, 0.460566, 50.662239
0.934058, 0.463116, 50.942735
0.936396, 0.463116, 50.942735
0.938312, 0.463116, 50.942735
0.940049, 0.463116, 50.942735
0.941781, 0.463116, 50.942735
0.943554, 0.460566, 50.662239
0.945296, 0.460566, 50.662239
0.947020, 0.460566, 50.662239
0.948745, 0.460566, 50.662239
0.950496, 0.460566, 50.662239
0.952225, 0.463116, 50.942735
0.953935, 0.463116, 50.942735
0.955656, 0.463116, 50.942735
0.957384, 0.463116, 50.942735
0.959114, 0.463116, 50.942735
0.960930, 0.463116, 50.942735
0.962673, 0.460566, 50.662239
0.964413, 0.463116, 50.942735
0.966150, 0.460566, 50.662239
0.967870, 0.463116, 50.942735
0.969601, 0.460566, 50.662239
0.971323, 0.460566, 50.662239
0.973058, 0.463116, 50.942735
0.974791, 0.463116, 50.942735
0.976563, 0.463116, 50.942735
0.978308, 0.460566, 50.662239
0.980062, 0.463116, 50.942735
0.981819, 0.463116, 50.942735
0.983524, 0.463116, 50.942735
0.985240, 0.463116, 50.942735
0.986976, 0.463116, 50.942735
0.988699, 0.460566, 50.662239
0.990540, 0.463116, 50.942735
0.992386, 0.460566, 50.662239
0.994134, 0.460566, 50.662239
0.995865, 0.460566, 50.662239
0.997648, 0.463116, 50.942735
0.999456, 0.463116, 50.942735
1.001369, 0.463116, 50.942735
1.003094, 0.460566, 50.662239
1.004814, 0.460566, 50.662239
1.006527, 0.460566, 50.662239
1.008286, 0.463116, 50.942735
1.010313, 0.463116, 50.942735
1.012145, 0.463116, 50.942735
1.014147, 0.463116, 50.942735
1.016078, 0.463116, 50.942735
1.017829, 0.463116, 50.942735
1.019546, 0.463116, 50.942735
1.021592, 0.463116, 50.942735
1.023404, 0.463116, 50.942735
1.025881, 0.463116, 50.942735
1.027788, 0.460566, 50.662239
1.030676, 0.460566, 50.662239
1.033181, 0.463116, 50.942735
1.035658, 0.463116, 50.942735
1.037741, 0.460566, 50.662239
1.039730, 0.460566, 50.662239
1.041723, 0.463116, 50.942735
1.043731, 0.463116, 50.942735
1.045701, 0.463116, 50.942735
1.047711, 0.463116, 50.942735
1.049460, 0.463116, 50.942735
1.051162, 0.463116, 50.942735
1.052957, 0.463116, 50.942735
1.054724, 0.460566, 50.662239
1.057244, 0.460566, 50.662239
1.059556, 0.463116, 50.942735
1.061711, 0.463116, 50.942735
1.063713, 0.463116, 50.942735
1.065660, 0.463116, 50.942735
1.067421, 0.463116, 50.942735
1.069165, 0.463116, 50.942735
1.070917, 0.463116, 50.942735
1.072735, 0.463116, 50.942735
1.074489, 0.463116, 50.942735
1.076458, 0.463116, 50.942735
1.078149, 0.463116, 50.942735
1.079840, 0.460566, 50.662239
1.081527, 0.460566, 50.662239
1.083462, 0.463116, 50.942735
1.085213, 0.463116, 50.942735
1.086951, 0.463116, 50.942735
1.088689, 0.463116, 50.942735
1.090420, 0.463116, 50.942735
1.093573, 0.463116, 50.942735
1.096081, 0.460566, 50.662239
1.097822, 0.463116, 50.942735
1.099544, 0.460566, 50.662239
1.101257, 0.463116, 50.942735
1.103052, 0.463116, 50.942735
1.104743, 0.463116, 50.942735
1.106426, 0.463116, 50.942735
1.108124, 0.460566, 50.662239
1.109843, 0.463116, 50.942735
1.111528, 0.463116, 50.942735
1.113357, 0.463116, 50.942735
1.115138, 0.463116, 50.942735
1.116889, 0.463116, 50.942735
1.119022, 0.463116, 50.942735
1.122057, 0.460566, 50.662239
1.124049, 0.460566, 50.662239
1.125937, 0.463116, 50.942735
1.127793, 0.460566, 50.662239
1.129526, 0.463116, 50.942735
1.131246, 0.460566, 50.662239
1.133100, 0.460566, 50.662239
1.135051, 0.463116, 50.942735
1.136839, 0.460566, 50.662239
1.138573, 0.463116, 50.942735
1.140286, 0.463116, 50.942735
1.142095, 0.463116, 50.942735
1.144076, 0.463116, 50.942735
1.145879, 0.460566, 50.662239
1.147625, 0.463116, 50.942735
1.149365, 0.463116, 50.942735
1.151088, 0.463116, 50.942735
1.152826, 0.463116, 50.942735
1.154913, 0.463116, 50.942735
1.156723, 0.463116, 50.942735
1.158679, 0.460566, 50.662239
1.160512, 0.463116, 50.942735
1.162278, 0.463116, 50.942735
1.164129, 0.460566, 50.662239
1.165927, 0.463116, 50.942735
1.167721, 0.463116, 50.942735
1.169501, 0.463116, 50.942735
1.171250, 0.463116, 50.942735
1.173009, 0.463116, 50.942735
1.174989, 0.463116, 50.942735
1.176950, 0.463116, 50.942735
1.178924, 0.463116, 50.942735
1.180842, 0.460566, 50.662239
1.182557, 0.463116, 50.942735
1.184355, 0.463116, 50.942735
1.186111, 0.463116, 50.942735
1.187830, 0.463116, 50.942735
1.189541, 0.460566, 50.662239
1.191388, 0.463116, 50.942735
1.193138, 0.463116, 50.942735
1.194931, 0.460566, 50.662239
1.197055, 0.463116, 50.942735
1.199186, 0.463116, 50.942735
1.201463, 0.463116, 50.942735
1.203795, 0.463116, 50.942735
1.205901, 0.460566, 50.662239
1.208210, 0.460566, 50.662239
1.211053, 0.460566, 50.662239
1.213812, 0.460566, 50.662239
1.216857, 0.460566, 50.662239
1.219660, 0.463116, 50.942735
1.222262, 0.463116, 50.942735
1.224991, 0.463116, 50.942735
1.227588, 0.463116, 50.942735
1.230131, 0.460566, 50.662239
1.232522, 0.463116, 50.942735
1.234643, 0.463116, 50.942735
1.236663, 0.460566, 50.662239
1.238393, 0.463116, 50.942735
1.240120, 0.460566, 50.662239
1.241907, 0.463116, 50.942735
1.244038, 0.460566, 50.662239
1.246172, 0.460566, 50.662239
1.248246, 0.463116, 50.942735
1.250167, 0.463116, 50.942735
1.251988, 0.460566, 50.662239
1.253751, 0.463116, 50.942735
1.255790, 0.463116, 50.942735
1.257828, 0.463116, 50.942735
1.259623, 0.463116, 50.942735
1.261488, 0.463116, 50.942735
1.263224, 0.460566, 50.662239
1.264932, 0.460566, 50.662239
1.266765, 0.463116, 50.942735
1.268505, 0.460566, 50.662239
1.270225, 0.460566, 50.662239
1.271946, 0.463116, 50.942735
1.273667, 0.463116, 50.942735
1.275478, 0.463116, 50.942735
1.277276, 0.463116, 50.942735
1.278984, 0.463116, 50.942735
1.280701, 0.460566, 50.662239
1.282424, 0.463116, 50.942735
1.284148, 0.463116, 50.942735
1.285932, 0.460566, 50.662239
1.287681, 0.460566, 50.662239
1.289405, 0.463116, 50.942735
1.291232, 0.463116, 50.942735
1.292989, 0.463116, 50.942735
1.294728, 0.463116, 50.942735
1.296781, 0.463116, 50.942735
1.299078, 0.463116, 50.942735
1.301317, 0.463116, 50.942735
1.304030, 0.463116, 50.942735
1.305878, 0.460566, 50.662239
1.309010, 0.460566, 50.662239
1.311436, 0.463116, 50.942735
1.313991, 0.463116, 50.942735
1.316101, 0.460566, 50.662239
1.319042, 0.463116, 50.942735
1.323144, 0.463116, 50.942735
1.325122, 0.460566, 50.662239
1.326995, 0.463116, 50.942735
1.328800, 0.460566, 50.662239
1.330542, 0.463116, 50.942735
1.332298, 0.460566, 50.662239
1.334007, 0.460566, 50.662239
1.335704, 0.463116, 50.942735
1.337483, 0.460566, 50.662239
1.339445, 0.460566, 50.662239
1.341369, 0.463116, 50.942735
1.343213, 0.463116, 50.942735
1.345017, 0.460566, 50.662239
1.346902, 0.460566, 50.662239
1.348758, 0.463116, 50.942735
1.350514, 0.460566, 50.662239
1.352265, 0.460566, 50.662239
1.354014, 0.463116, 50.942735
1.355753, 0.463116, 50.942735
1.358032, 0.463116, 50.942735
1.360051, 0.460566, 50.662239
1.361938, 0.460566, 50.662239
1.363781, 0.460566, 50.662239
1.365672, 0.460566, 50.662239
1.367641, 0.463116, 50.942735
1.369566, 0.463116, 50.942735
1.371705, 0.463116, 50.942735
1.373781, 0.463116, 50.942735
1.375844, 0.460566, 50.662239
1.377942, 0.460566, 50.662239
1.379915, 0.463116, 50.942735
1.381972, 0.460566, 50.662239
1.384145, 0.463116, 50.942735
1.386446, 0.463116, 50.942735
1.389077, 0.460566, 50.662239
1.391698, 0.460566, 50.662239
1.395021, 0.460566, 50.662239
1.397561, 0.463116, 50.942735
1.400619, 0.463116, 50.942735
1.402999, 0.463116, 50.942735
1.405072, 0.463116, 50.942735
1.407042, 0.463116, 50.942735
1.410046, 0.463116, 50.942735
1.412241, 0.460566, 50.662239
1.414165, 0.460566, 50.662239
1.416067, 0.460566, 50.662239
1.417971, 0.460566, 50.662239
1.419973, 0.460566, 50.662239
1.421854, 0.463116, 50.942735
1.423731, 0.460566, 50.662239
1.426024, 0.460566, 50.662239
1.428050, 0.460566, 50.662239
1.430070, 0.460566, 50.662239
1.432034, 0.463116, 50.942735
1.433914, 0.460566, 50.662239
1.435968, 0.463116, 50.942735
1.437936, 0.463116, 50.942735
1.440162, 0.460566, 50.662239
1.442503, 0.463116, 50.942735
1.444598, 0.463116, 50.942735
1.446644, 0.463116, 50.942735
1.448673, 0.463116, 50.942735
1.450888, 0.463116, 50.942735
1.452889, 0.463116, 50.942735
1.454942, 0.463116, 50.942735
1.457011, 0.460566, 50.662239
1.459247, 0.460566, 50.662239
1.461689, 0.463116, 50.942735
1.463791, 0.463116, 50.942735
1.465754, 0.463116, 50.942735
1.467691, 0.463116, 50.942735
1.470022, 0.463116, 50.942735
1.472929, 0.463116, 50.942735
1.475745, 0.463116, 50.942735
1.478597, 0.463116, 50.942735
1.480843, 0.460566, 50.662239
1.482701, 0.463116, 50.942735
1.484692, 0.460566, 50.662239
1.486570, 0.460566, 50.662239
1.488308, 0.460566, 50.662239
1.490075, 0.460566, 50.662239
1.491828, 0.460566, 50.662239
1.493561, 0.463116, 50.942735
1.495368, 0.463116, 50.942735
1.497288, 0.463116, 50.942735
1.498978, 0.463116, 50.942735
1.500801, 0.460566, 50.662239
1.502636, 0.460566, 50.662239
1.504518, 0.460566, 50.662239
1.506212, 0.460566, 50.662239
1.507903, 0.460566, 50.662239
1.509653, 0.460566, 50.662239
