Time (s),Voltage (V),Pressure
0.254747, 1.398088, 153.789721
0.260394, 1.400637, 154.070104
0.262500, 1.400637, 154.070104
0.264445, 1.400637, 154.070104
0.267117, 1.398088, 153.789721
0.269032, 1.398088, 153.789721
0.270781, 1.400637, 154.070104
0.272496, 1.398088, 153.789721
0.274199, 1.398088, 153.789721
0.275889, 1.398088, 153.789721
0.277556, 1.400637, 154.070104
0.279383, 1.398088, 153.789721
0.281054, 1.400637, 154.070104
0.282712, 1.400637, 154.070104
0.284394, 1.400637, 154.070104
0.286035, 1.400637, 154.070104
0.287673, 1.400637, 154.070104
0.290960, 1.400637, 154.070104
0.292759, 1.400637, 154.070104
0.294311, 1.400637, 154.070104
0.295827, 1.400637, 154.070104
0.297363, 1.400637, 154.070104
0.298967, 1.400637, 154.070104
0.300512, 1.400637, 154.070104
0.302029, 1.400637, 154.070104
0.303548, 1.400637, 154.070104
0.305052, 1.398088, 153.789721
0.306540, 1.398088, 153.789721
0.308047, 1.398088, 153.789721
0.309651, 1.398088, 153.789721
0.311174, 1.400637, 154.070104
0.312704, 1.398088, 153.789721
0.314239, 1.400637, 154.070104
0.315754, 1.400637, 154.070104
0.317291, 1.398088, 153.789721
0.318791, 1.400637, 154.070104
0.320318, 1.400637, 154.070104
0.321851, 1.398088, 153.789721
0.323355, 1.400637, 154.070104
0.324864, 1.398088, 153.789721
0.326377, 1.400637, 154.070104
0.327903, 1.400637, 154.070104
0.329505, 1.400637, 154.070104
0.331070, 1.400637, 154.070104
0.332594, 1.400637, 154.070104
0.334294, 1.398088, 153.789721
0.335857, 1.400637, 154.070104
0.337436, 1.400637, 154.070104
0.339234, 1.400637, 154.070104
0.341010, 1.398088, 153.789721
0.342664, 1.400637, 154.070104
0.344291, 1.400637, 154.070104
0.345922, 1.400637, 154.070104
0.347518, 1.398088, 153.789721
0.349281, 1.398088, 153.789721
0.351033, 1.400637, 154.070104
0.352605, 1.400637, 154.070104
0.354210, 1.398088, 153.789721
0.355739, 1.400637, 154.070104
0.357275, 1.400637, 154.070104
0.358786, 1.398088, 153.789721
0.360378, 1.400637, 154.070104
0.361887, 1.400637, 154.070104
0.363408, 1.400637, 154.070104
0.364921, 1.400637, 154.070104
0.366444, 1.400637, 154.070104
0.367960, 1.400637, 154.070104
0.369485, 1.400637, 154.070104
0.371131, 1.400637, 154.070104
0.372672, 1.400637, 154.070104
0.374211, 1.400637, 154.070104
0.375793, 1.398088, 153.789721
0.377373, 1.398088, 153.789721
0.378921, 1.398088, 153.789721
0.380619, 1.398088, 153.789721
0.382313, 1.400637, 154.070104
0.384158, 1.398088, 153.789721
0.385698, 1.400637, 154.070104
0.387261, 1.400637, 154.070104
0.388786, 1.398088, 153.789721
0.390467, 1.400637, 154.070104
0.392108, 1.400637, 154.070104
0.393649, 1.398088, 153.789721
0.395217, 1.400637, 154.070104
0.396752, 1.400637, 154.070104
0.398285, 1.398088, 153.789721
0.399812, 1.398088, 153.789721
0.401495, 1.398088, 153.789721
0.403059, 1.400637, 154.070104
0.404596, 1.400637, 154.070104
0.406132, 1.398088, 153.789721
0.407655, 1.398088, 153.789721
0.409177, 1.400637, 154.070104
0.410794, 1.400637, 154.070104
0.412473, 1.400637, 154.070104
0.414055, 1.400637, 154.070104
0.415635, 1.400637, 154.070104
0.418215, 1.400637, 154.070104
0.421252, 1.400637, 154.070104
0.425538, 1.400637, 154.070104
0.432388, 1.398088, 153.789721
0.434348, 1.400637, 154.070104
0.436214, 1.400637, 154.070104
0.438062, 1.400637, 154.070104
0.439659, 1.400637, 154.070104
0.441247, 1.400637, 154.070104
0.442866, 1.400637, 154.070104
0.444411, 1.400637, 154.070104
0.445944, 1.400637, 154.070104
0.447544, 1.400637, 154.070104
0.449138, 1.400637, 154.070104
0.450729, 1.400637, 154.070104
0.452330, 1.398088, 153.789721
0.453892, 1.398088, 153.789721
0.455451, 1.400637, 154.070104
0.457063, 1.400637, 154.070104
0.458656, 1.400637, 154.070104
0.460272, 1.398088, 153.789721
0.461821, 1.400637, 154.070104
0.463405, 1.400637, 154.070104
0.464943, 1.400637, 154.070104
0.466498, 1.400637, 154.070104
0.468086, 1.400637, 154.070104
0.469606, 1.398088, 153.789721
0.471143, 1.400637, 154.070104
0.472716, 1.400637, 154.070104
0.474255, 1.398088, 153.789721
0.475770, 1.398088, 153.789721
0.477289, 1.400637, 154.070104
0.478823, 1.400637, 154.070104
0.480353, 1.400637, 154.070104
0.481856, 1.400637, 154.070104
0.483434, 1.398088, 153.789721
0.484968, 1.400637, 154.070104
0.486504, 1.398088, 153.789721
0.488009, 1.398088, 153.789721
0.489522, 1.398088, 153.789721
0.491048, 1.398088, 153.789721
0.492567, 1.400637, 154.070104
0.494076, 1.398088, 153.789721
0.496108, 1.400637, 154.070104
0.497768, 1.400637, 154.070104
0.499321, 1.398088, 153.789721
0.500881, 1.400637, 154.070104
0.502449, 1.398088, 153.789721
0.504035, 1.398088, 153.789721
0.505588, 1.398088, 153.789721
0.507141, 1.398088, 153.789721
0.508700, 1.400637, 154.070104
0.510243, 1.400637, 154.070104
0.511796, 1.400637, 154.070104
0.513401, 1.400637, 154.070104
0.514930, 1.400637, 154.070104
0.516505, 1.400637, 154.070104
0.518115, 1.398088, 153.789721
0.519674, 1.400637, 154.070104
0.521206, 1.400637, 154.070104
0.522941, 1.400637, 154.070104
0.524539, 1.398088, 153.789721
0.526079, 1.398088, 153.789721
0.527585, 1.398088, 153.789721
0.529099, 1.398088, 153.789721
0.530640, 1.398088, 153.789721
0.532319, 1.398088, 153.789721
0.533999, 1.400637, 154.070104
0.535568, 1.400637, 154.070104
0.537128, 1.398088, 153.789721
0.538684, 1.400637, 154.070104
0.540236, 1.398088, 153.789721
0.541773, 1.400637, 154.070104
0.543453, 1.398088, 153.789721
0.545022, 1.400637, 154.070104
0.546582, 1.398088, 153.789721
0.548174, 1.400637, 154.070104
0.549759, 1.398088, 153.789721
0.551329, 1.400637, 154.070104
0.553040, 1.400637, 154.070104
0.554607, 1.400637, 154.070104
0.556154, 1.398088, 153.789721
0.557684, 1.400637, 154.070104
0.559201, 1.398088, 153.789721
0.560737, 1.398088, 153.789721
0.562442, 1.400637, 154.070104
0.563982, 1.398088, 153.789721
0.565515, 1.400637, 154.070104
0.567126, 1.400637, 154.070104
0.568661, 1.400637, 154.070104
0.570195, 1.400637, 154.070104
0.571880, 1.400637, 154.070104
0.573446, 1.400637, 154.070104
0.574973, 1.400637, 154.070104
0.576503, 1.400637, 154.070104
0.578028, 1.400637, 154.070104
0.579552, 1.398088, 153.789721
0.581056, 1.400637, 154.070104
0.582757, 1.398088, 153.789721
0.584331, 1.398088, 153.789721
0.585865, 1.400637, 154.070104
0.587400, 1.398088, 153.789721
0.588932, 1.400637, 154.070104
0.590831, 1.400637, 154.070104
0.592623, 1.400637, 154.070104
0.594979, 1.400637, 154.070104
0.596694, 1.400637, 154.070104
0.598271, 1.398088, 153.789721
0.599890, 1.400637, 154.070104
0.601487, 1.400637, 154.070104
0.603520, 1.400637, 154.070104
0.605195, 1.400637, 154.070104
0.606778, 1.400637, 154.070104
0.608342, 1.400637, 154.070104
0.609904, 1.398088, 153.789721
0.611450, 1.400637, 154.070104
0.613219, 1.398088, 153.789721
0.615149, 1.400637, 154.070104
0.617375, 1.398088, 153.789721
0.619079, 1.398088, 153.789721
