Time (s),Voltage (V),Pressure
0.641434, 1.398088, 153.789721
0.687307, 1.400637, 154.070104
0.713074, 1.398088, 153.789721
0.733679, 1.398088, 153.789721
0.780425, 1.398088, 153.789721
0.792474, 1.400637, 154.070104
0.794767, 1.398088, 153.789721
0.796762, 1.400637, 154.070104
0.799364, 1.398088, 153.789721
0.801164, 1.400637, 154.070104
0.802872, 1.400637, 154.070104
0.804559, 1.400637, 154.070104
0.806245, 1.398088, 153.789721
0.808025, 1.400637, 154.070104
0.809757, 1.400637, 154.070104
0.811410, 1.398088, 153.789721
0.813035, 1.398088, 153.789721
0.816423, 1.400637, 154.070104
0.818393, 1.400637, 154.070104
0.820039, 1.400637, 154.070104
0.821704, 1.400637, 154.070104
0.823368, 1.398088, 153.789721
0.825032, 1.398088, 153.789721
0.826853, 1.398088, 153.789721
0.828829, 1.400637, 154.070104
0.830543, 1.400637, 154.070104
0.832170, 1.398088, 153.789721
0.834130, 1.400637, 154.070104
0.835731, 1.400637, 154.070104
0.837292, 1.400637, 154.070104
0.838847, 1.400637, 154.070104
0.840376, 1.398088, 153.789721
0.842649, 1.398088, 153.789721
0.844682, 1.400637, 154.070104
0.846444, 1.400637, 154.070104
0.848164, 1.400637, 154.070104
0.849679, 1.398088, 153.789721
0.851182, 1.398088, 153.789721
0.852685, 1.398088, 153.789721
0.854223, 1.400637, 154.070104
0.855739, 1.400637, 154.070104
0.857418, 1.400637, 154.070104
0.859538, 1.400637, 154.070104
0.861229, 1.400637, 154.070104
0.862823, 1.400637, 154.070104
0.864421, 1.400637, 154.070104
0.865993, 1.398088, 153.789721
0.867592, 1.400637, 154.070104
0.869171, 1.400637, 154.070104
0.870733, 1.400637, 154.070104
0.872395, 1.400637, 154.070104
0.874404, 1.400637, 154.070104
0.876605, 1.400637, 154.070104
0.878327, 1.400637, 154.070104
0.879955, 1.400637, 154.070104
0.881547, 1.400637, 154.070104
0.883084, 1.400637, 154.070104
0.884714, 1.400637, 154.070104
0.886341, 1.398088, 153.789721
0.887894, 1.400637, 154.070104
0.889426, 1.400637, 154.070104
0.890971, 1.400637, 154.070104
0.892520, 1.398088, 153.789721
0.894060, 1.400637, 154.070104
0.895693, 1.400637, 154.070104
0.897229, 1.398088, 153.789721
0.898772, 1.400637, 154.070104
0.900314, 1.398088, 153.789721
0.901853, 1.400637, 154.070104
0.903385, 1.400637, 154.070104
0.904915, 1.400637, 154.070104
0.906526, 1.400637, 154.070104
0.908070, 1.400637, 154.070104
0.909633, 1.398088, 153.789721
0.911181, 1.398088, 153.789721
0.912905, 1.400637, 154.070104
0.914686, 1.398088, 153.789721
0.916378, 1.400637, 154.070104
0.917986, 1.400637, 154.070104
0.919819, 1.400637, 154.070104
0.921351, 1.398088, 153.789721
0.922887, 1.400637, 154.070104
0.924436, 1.400637, 154.070104
0.926232, 1.400637, 154.070104
0.927831, 1.400637, 154.070104
0.929535, 1.400637, 154.070104
0.931278, 1.400637, 154.070104
0.932824, 1.398088, 153.789721
0.934365, 1.400637, 154.070104
0.936202, 1.400637, 154.070104
0.937887, 1.398088, 153.789721
0.939600, 1.400637, 154.070104
0.941386, 1.400637, 154.070104
0.943044, 1.400637, 154.070104
0.944773, 1.400637, 154.070104
0.946530, 1.400637, 154.070104
0.948180, 1.400637, 154.070104
0.949981, 1.400637, 154.070104
0.952634, 1.400637, 154.070104
0.957059, 1.400637, 154.070104
1.028709, 1.400637, 154.070104
1.031030, 1.398088, 153.789721
1.032841, 1.400637, 154.070104
1.034705, 1.398088, 153.789721
1.036481, 1.400637, 154.070104
1.038467, 1.400637, 154.070104
1.040296, 1.400637, 154.070104
1.043676, 1.398088, 153.789721
1.046402, 1.400637, 154.070104
1.047969, 1.398088, 153.789721
1.049504, 1.400637, 154.070104
1.051032, 1.398088, 153.789721
1.052533, 1.398088, 153.789721
1.054251, 1.400637, 154.070104
1.056019, 1.398088, 153.789721
1.057681, 1.400637, 154.070104
1.059400, 1.400637, 154.070104
1.061070, 1.398088, 153.789721
1.062708, 1.398088, 153.789721
1.064382, 1.398088, 153.789721
1.066247, 1.400637, 154.070104
1.067876, 1.400637, 154.070104
1.069513, 1.400637, 154.070104
1.071276, 1.400637, 154.070104
1.072863, 1.400637, 154.070104
1.074526, 1.400637, 154.070104
1.076287, 1.400637, 154.070104
1.077875, 1.400637, 154.070104
1.079437, 1.398088, 153.789721
1.080997, 1.400637, 154.070104
1.082536, 1.400637, 154.070104
1.084322, 1.400637, 154.070104
1.086657, 1.398088, 153.789721
1.089089, 1.400637, 154.070104
1.090676, 1.400637, 154.070104
1.092272, 1.398088, 153.789721
1.093857, 1.400637, 154.070104
1.095736, 1.400637, 154.070104
1.097340, 1.400637, 154.070104
1.098949, 1.400637, 154.070104
1.100532, 1.400637, 154.070104
1.102094, 1.400637, 154.070104
1.103810, 1.400637, 154.070104
1.105430, 1.400637, 154.070104
1.106996, 1.400637, 154.070104
1.108592, 1.400637, 154.070104
1.110316, 1.398088, 153.789721
1.111899, 1.400637, 154.070104
1.113481, 1.398088, 153.789721
1.115153, 1.400637, 154.070104
1.116792, 1.400637, 154.070104
1.118569, 1.400637, 154.070104
1.120149, 1.400637, 154.070104
1.121684, 1.398088, 153.789721
1.123240, 1.400637, 154.070104
1.125188, 1.400637, 154.070104
1.126975, 1.400637, 154.070104
1.128698, 1.400637, 154.070104
1.130322, 1.400637, 154.070104
1.132078, 1.400637, 154.070104
1.133805, 1.400637, 154.070104
1.135770, 1.398088, 153.789721
1.137476, 1.400637, 154.070104
1.139288, 1.398088, 153.789721
1.141087, 1.400637, 154.070104
1.143074, 1.400637, 154.070104
1.144770, 1.400637, 154.070104
1.146725, 1.398088, 153.789721
1.148425, 1.400637, 154.070104
1.150118, 1.400637, 154.070104
1.151758, 1.400637, 154.070104
1.153541, 1.400637, 154.070104
1.155159, 1.400637, 154.070104
1.156913, 1.398088, 153.789721
1.158568, 1.400637, 154.070104
1.160370, 1.400637, 154.070104
1.161995, 1.398088, 153.789721
1.163693, 1.398088, 153.789721
1.165275, 1.400637, 154.070104
1.166990, 1.400637, 154.070104
1.168772, 1.400637, 154.070104
1.170373, 1.398088, 153.789721
1.171971, 1.400637, 154.070104
1.173523, 1.398088, 153.789721
1.175301, 1.400637, 154.070104
1.177128, 1.400637, 154.070104
1.178861, 1.400637, 154.070104
1.180533, 1.400637, 154.070104
1.182297, 1.400637, 154.070104
1.184064, 1.400637, 154.070104
1.185912, 1.400637, 154.070104
1.187667, 1.400637, 154.070104
1.189404, 1.400637, 154.070104
1.191248, 1.398088, 153.789721
1.193127, 1.400637, 154.070104
1.195028, 1.400637, 154.070104
1.197064, 1.400637, 154.070104
1.198840, 1.400637, 154.070104
1.200412, 1.400637, 154.070104
1.202746, 1.398088, 153.789721
1.205888, 1.400637, 154.070104
1.207745, 1.400637, 154.070104
1.209361, 1.400637, 154.070104
1.211124, 1.400637, 154.070104
1.212706, 1.400637, 154.070104
1.214449, 1.398088, 153.789721
1.216199, 1.398088, 153.789721
1.218093, 1.400637, 154.070104
1.219810, 1.400637, 154.070104
1.221390, 1.400637, 154.070104
1.223126, 1.400637, 154.070104
1.225043, 1.398088, 153.789721
1.226651, 1.398088, 153.789721
1.228626, 1.400637, 154.070104
1.230380, 1.400637, 154.070104
1.232249, 1.400637, 154.070104
1.233780, 1.398088, 153.789721
1.235372, 1.400637, 154.070104
1.237035, 1.400637, 154.070104
1.239115, 1.400637, 154.070104
1.240750, 1.398088, 153.789721
1.242459, 1.398088, 153.789721
1.244008, 1.400637, 154.070104
1.245768, 1.400637, 154.070104
1.247627, 1.400637, 154.070104
1.249426, 1.400637, 154.070104
1.251338, 1.400637, 154.070104
1.253049, 1.398088, 153.789721
1.254777, 1.400637, 154.070104
1.256333, 1.398088, 153.789721
1.257910, 1.400637, 154.070104
1.259599, 1.398088, 153.789721
1.261193, 1.400637, 154.070104
1.263005, 1.398088, 153.789721
1.264587, 1.400637, 154.070104
1.266307, 1.400637, 154.070104
1.267897, 1.400637, 154.070104
1.269556, 1.400637, 154.070104
1.271148, 1.400637, 154.070104
1.272830, 1.398088, 153.789721
1.274567, 1.400637, 154.070104
1.276183, 1.398088, 153.789721
1.277816, 1.400637, 154.070104
1.279675, 1.400637, 154.070104
1.281484, 1.400637, 154.070104
1.283179, 1.400637, 154.070104
1.284946, 1.400637, 154.070104
1.286695, 1.400637, 154.070104
1.288323, 1.398088, 153.789721
1.290029, 1.400637, 154.070104
1.291997, 1.398088, 153.789721
1.294561, 1.400637, 154.070104
1.296928, 1.400637, 154.070104
1.299297, 1.400637, 154.070104
1.301846, 1.400637, 154.070104
1.304259, 1.400637, 154.070104
1.306945, 1.400637, 154.070104
1.309542, 1.398088, 153.789721
1.312382, 1.400637, 154.070104
1.315028, 1.400637, 154.070104
1.316875, 1.400637, 154.070104
1.318849, 1.398088, 153.789721
1.320531, 1.400637, 154.070104
1.322179, 1.398088, 153.789721
1.323910, 1.398088, 153.789721
1.325747, 1.400637, 154.070104
1.327392, 1.400637, 154.070104
1.329023, 1.400637, 154.070104
1.330619, 1.400637, 154.070104
1.332264, 1.400637, 154.070104
1.333928, 1.400637, 154.070104
1.335821, 1.400637, 154.070104
1.337726, 1.400637, 154.070104
1.339705, 1.400637, 154.070104
1.341367, 1.398088, 153.789721
1.343020, 1.400637, 154.070104
1.344739, 1.400637, 154.070104
1.346844, 1.398088, 153.789721
1.348557, 1.400637, 154.070104
1.350384, 1.400637, 154.070104
1.352063, 1.400637, 154.070104
1.353908, 1.398088, 153.789721
1.355614, 1.400637, 154.070104
1.357282, 1.400637, 154.070104
1.358872, 1.400637, 154.070104
1.360590, 1.400637, 154.070104
1.362525, 1.398088, 153.789721
1.364277, 1.400637, 154.070104
1.366155, 1.400637, 154.070104
1.367986, 1.398088, 153.789721
1.369800, 1.400637, 154.070104
1.371696, 1.400637, 154.070104
1.373520, 1.400637, 154.070104
1.375585, 1.398088, 153.789721
1.377245, 1.400637, 154.070104
1.379173, 1.400637, 154.070104
1.380911, 1.400637, 154.070104
1.383052, 1.398088, 153.789721
1.384876, 1.400637, 154.070104
1.387149, 1.400637, 154.070104
1.391032, 1.400637, 154.070104
1.393475, 1.400637, 154.070104
1.395409, 1.400637, 154.070104
1.397208, 1.398088, 153.789721
1.398980, 1.400637, 154.070104
1.400740, 1.400637, 154.070104
1.402511, 1.398088, 153.789721
1.404395, 1.400637, 154.070104
1.405978, 1.400637, 154.070104
1.407683, 1.398088, 153.789721
1.409467, 1.400637, 154.070104
1.411205, 1.400637, 154.070104
1.412982, 1.400637, 154.070104
1.414609, 1.400637, 154.070104
1.416216, 1.400637, 154.070104
1.417805, 1.400637, 154.070104
1.419460, 1.400637, 154.070104
1.421032, 1.400637, 154.070104
1.422717, 1.400637, 154.070104
1.424433, 1.400637, 154.070104
1.426003, 1.400637, 154.070104
1.427522, 1.400637, 154.070104
1.429111, 1.400637, 154.070104
1.430743, 1.400637, 154.070104
1.432322, 1.400637, 154.070104
1.433881, 1.400637, 154.070104
1.435539, 1.400637, 154.070104
1.437190, 1.400637, 154.070104
1.438801, 1.400637, 154.070104
1.440478, 1.400637, 154.070104
1.442138, 1.400637, 154.070104
1.443896, 1.400637, 154.070104
1.445710, 1.400637, 154.070104
1.447726, 1.400637, 154.070104
1.450026, 1.400637, 154.070104
1.452374, 1.400637, 154.070104
1.454554, 1.400637, 154.070104
1.456625, 1.400637, 154.070104
1.459150, 1.400637, 154.070104
1.461723, 1.398088, 153.789721
1.464190, 1.400637, 154.070104
1.466560, 1.398088, 153.789721
1.468926, 1.400637, 154.070104
1.471794, 1.400637, 154.070104
1.474442, 1.398088, 153.789721
1.477219, 1.398088, 153.789721
1.479770, 1.400637, 154.070104
1.483192, 1.400637, 154.070104
1.487254, 1.400637, 154.070104
1.491052, 1.400637, 154.070104
1.495428, 1.400637, 154.070104
1.499358, 1.398088, 153.789721
1.503002, 1.400637, 154.070104
1.505319, 1.400637, 154.070104
1.507600, 1.400637, 154.070104
1.509908, 1.400637, 154.070104
1.512136, 1.398088, 153.789721
1.514309, 1.398088, 153.789721
1.516277, 1.398088, 153.789721
1.518239, 1.400637, 154.070104
1.520229, 1.400637, 154.070104
1.522784, 1.398088, 153.789721
1.525215, 1.398088, 153.789721
1.527521, 1.400637, 154.070104
1.529618, 1.400637, 154.070104
1.531457, 1.400637, 154.070104
1.533382, 1.400637, 154.070104
1.535177, 1.400637, 154.070104
1.536986, 1.400637, 154.070104
1.538754, 1.400637, 154.070104
1.540487, 1.400637, 154.070104
1.542517, 1.400637, 154.070104
1.544325, 1.398088, 153.789721
1.546039, 1.400637, 154.070104
1.547720, 1.400637, 154.070104
1.549378, 1.400637, 154.070104
1.551111, 1.400637, 154.070104
1.552792, 1.400637, 154.070104
1.554403, 1.400637, 154.070104
1.556014, 1.400637, 154.070104
1.557612, 1.400637, 154.070104
1.559237, 1.400637, 154.070104
1.560837, 1.400637, 154.070104
1.562473, 1.400637, 154.070104
1.564049, 1.400637, 154.070104
1.565616, 1.400637, 154.070104
1.567163, 1.398088, 153.789721
1.568689, 1.400637, 154.070104
1.570232, 1.400637, 154.070104
1.571841, 1.400637, 154.070104
1.573394, 1.398088, 153.789721
1.574960, 1.398088, 153.789721
1.576491, 1.400637, 154.070104
1.578026, 1.400637, 154.070104
1.579555, 1.400637, 154.070104
1.581076, 1.398088, 153.789721
1.582655, 1.400637, 154.070104
1.584257, 1.400637, 154.070104
1.585817, 1.400637, 154.070104
1.587403, 1.398088, 153.789721
1.593470, 1.398088, 153.789721
1.595243, 1.400637, 154.070104
1.596884, 1.400637, 154.070104
1.598495, 1.400637, 154.070104
1.600107, 1.400637, 154.070104
1.601684, 1.400637, 154.070104
1.603343, 1.400637, 154.070104
1.604907, 1.398088, 153.789721
1.606484, 1.398088, 153.789721
1.608363, 1.400637, 154.070104
1.610138, 1.398088, 153.789721
1.611931, 1.398088, 153.789721
1.613937, 1.400637, 154.070104
1.615695, 1.400637, 154.070104
1.617531, 1.400637, 154.070104
1.619046, 1.400637, 154.070104
1.620567, 1.398088, 153.789721
1.622084, 1.400637, 154.070104
1.625632, 1.398088, 153.789721
1.628174, 1.400637, 154.070104
1.630030, 1.400637, 154.070104
1.631778, 1.398088, 153.789721
1.633815, 1.400637, 154.070104
1.635743, 1.400637, 154.070104
1.637799, 1.398088, 153.789721
1.639806, 1.400637, 154.070104
1.642064, 1.398088, 153.789721
1.644152, 1.400637, 154.070104
1.646144, 1.400637, 154.070104
1.648766, 1.400637, 154.070104
1.650953, 1.400637, 154.070104
1.652840, 1.400637, 154.070104
1.655353, 1.400637, 154.070104
1.657821, 1.398088, 153.789721
1.660238, 1.398088, 153.789721
1.662178, 1.398088, 153.789721
1.664037, 1.400637, 154.070104
1.665858, 1.398088, 153.789721
1.667622, 1.400637, 154.070104
1.669356, 1.400637, 154.070104
1.671106, 1.400637, 154.070104
1.672834, 1.400637, 154.070104
1.674630, 1.400637, 154.070104
1.676604, 1.398088, 153.789721
1.678618, 1.400637, 154.070104
1.680594, 1.398088, 153.789721
1.682411, 1.400637, 154.070104
1.684185, 1.400637, 154.070104
1.686015, 1.400637, 154.070104
1.687809, 1.400637, 154.070104
1.689641, 1.400637, 154.070104
1.691387, 1.400637, 154.070104
1.693154, 1.398088, 153.789721
1.694909, 1.398088, 153.789721
1.696600, 1.400637, 154.070104
1.698246, 1.400637, 154.070104
1.699901, 1.398088, 153.789721
1.701690, 1.400637, 154.070104
1.703446, 1.400637, 154.070104
1.705071, 1.400637, 154.070104
1.707188, 1.398088, 153.789721
1.709252, 1.398088, 153.789721
1.711050, 1.400637, 154.070104
1.712860, 1.400637, 154.070104
1.714408, 1.400637, 154.070104
1.715980, 1.400637, 154.070104
1.717662, 1.400637, 154.070104
1.719427, 1.400637, 154.070104
1.720962, 1.400637, 154.070104
1.722486, 1.398088, 153.789721
1.723994, 1.398088, 153.789721
1.725617, 1.398088, 153.789721
1.727193, 1.400637, 154.070104
1.728739, 1.400637, 154.070104
1.730420, 1.400637, 154.070104
1.732198, 1.398088, 153.789721
1.733738, 1.400637, 154.070104
1.735269, 1.398088, 153.789721
1.736913, 1.400637, 154.070104
1.738463, 1.400637, 154.070104
1.740249, 1.398088, 153.789721
1.741925, 1.400637, 154.070104
1.743633, 1.400637, 154.070104
1.745465, 1.400637, 154.070104
1.747435, 1.400637, 154.070104
1.749122, 1.400637, 154.070104
1.750884, 1.398088, 153.789721
1.752421, 1.400637, 154.070104
1.753923, 1.398088, 153.789721
1.755446, 1.400637, 154.070104
1.757052, 1.400637, 154.070104
1.758657, 1.400637, 154.070104
1.760217, 1.400637, 154.070104
1.762039, 1.398088, 153.789721
1.763599, 1.400637, 154.070104
1.765251, 1.398088, 153.789721
1.767086, 1.400637, 154.070104
1.768771, 1.400637, 154.070104
1.770663, 1.398088, 153.789721
1.772665, 1.398088, 153.789721
1.790152, 1.400637, 154.070104
1.792758, 1.398088, 153.789721
1.795049, 1.400637, 154.070104
1.797011, 1.400637, 154.070104
1.799613, 1.400637, 154.070104
1.802488, 1.400637, 154.070104
1.805452, 1.400637, 154.070104
1.809209, 1.400637, 154.070104
1.812399, 1.400637, 154.070104
1.815869, 1.398088, 153.789721
1.818585, 1.398088, 153.789721
1.820849, 1.398088, 153.789721
1.822990, 1.400637, 154.070104
1.825569, 1.400637, 154.070104
1.828651, 1.400637, 154.070104
1.832433, 1.400637, 154.070104
1.835344, 1.400637, 154.070104
1.837744, 1.400637, 154.070104
1.839900, 1.400637, 154.070104
1.842034, 1.400637, 154.070104
1.844105, 1.400637, 154.070104
1.846023, 1.398088, 153.789721
1.848078, 1.400637, 154.070104
1.849928, 1.400637, 154.070104
1.851730, 1.400637, 154.070104
1.853499, 1.400637, 154.070104
1.855222, 1.400637, 154.070104
1.856938, 1.400637, 154.070104
1.859338, 1.400637, 154.070104
1.861209, 1.400637, 154.070104
1.862952, 1.400637, 154.070104
1.864635, 1.400637, 154.070104
1.866335, 1.400637, 154.070104
1.868147, 1.400637, 154.070104
1.869801, 1.400637, 154.070104
1.871368, 1.398088, 153.789721
1.872915, 1.398088, 153.789721
1.874481, 1.398088, 153.789721
1.876032, 1.398088, 153.789721
1.877564, 1.400637, 154.070104
1.879340, 1.398088, 153.789721
1.881082, 1.398088, 153.789721
1.882729, 1.398088, 153.789721
1.884409, 1.400637, 154.070104
1.886161, 1.398088, 153.789721
1.887947, 1.400637, 154.070104
1.891401, 1.400637, 154.070104
1.895439, 1.400637, 154.070104
1.899211, 1.400637, 154.070104
1.902687, 1.400637, 154.070104
1.906128, 1.400637, 154.070104
1.909362, 1.400637, 154.070104
1.912522, 1.398088, 153.789721
1.914863, 1.400637, 154.070104
1.917042, 1.400637, 154.070104
1.919014, 1.400637, 154.070104
1.921041, 1.400637, 154.070104
1.923262, 1.400637, 154.070104
1.925700, 1.400637, 154.070104
1.928194, 1.400637, 154.070104
1.930289, 1.398088, 153.789721
1.932198, 1.398088, 153.789721
1.934089, 1.398088, 153.789721
1.936108, 1.400637, 154.070104
1.938188, 1.398088, 153.789721
1.940811, 1.400637, 154.070104
1.943234, 1.398088, 153.789721
1.945334, 1.400637, 154.070104
1.947480, 1.400637, 154.070104
1.949713, 1.398088, 153.789721
1.951623, 1.400637, 154.070104
1.953504, 1.400637, 154.070104
1.955649, 1.398088, 153.789721
1.958514, 1.400637, 154.070104
1.961009, 1.400637, 154.070104
1.962988, 1.400637, 154.070104
1.964706, 1.398088, 153.789721
1.967575, 1.398088, 153.789721
1.970331, 1.398088, 153.789721
1.972701, 1.400637, 154.070104
1.975215, 1.398088, 153.789721
1.977918, 1.400637, 154.070104
1.980105, 1.400637, 154.070104
1.982168, 1.400637, 154.070104
1.984179, 1.398088, 153.789721
1.986312, 1.400637, 154.070104
1.988415, 1.400637, 154.070104
1.990249, 1.400637, 154.070104
1.992112, 1.398088, 153.789721
1.993956, 1.400637, 154.070104
1.996259, 1.400637, 154.070104
1.998953, 1.398088, 153.789721
2.001904, 1.400637, 154.070104
2.004210, 1.400637, 154.070104
2.006141, 1.400637, 154.070104
2.008246, 1.400637, 154.070104
2.010179, 1.400637, 154.070104
2.012391, 1.400637, 154.070104
2.014966, 1.400637, 154.070104
2.017019, 1.398088, 153.789721
2.019588, 1.400637, 154.070104
2.021682, 1.398088, 153.789721
2.023835, 1.400637, 154.070104
2.027031, 1.398088, 153.789721
