Time (s),Voltage (V),Pressure
0.632744, 1.400637, 154.070104
0.677118, 1.398088, 153.789721
0.703067, 1.400637, 154.070104
0.724033, 1.400637, 154.070104
0.772391, 1.398088, 153.789721
0.784758, 1.400637, 154.070104
0.787105, 1.400637, 154.070104
0.789328, 1.400637, 154.070104
0.792249, 1.398088, 153.789721
0.793979, 1.398088, 153.789721
0.795650, 1.398088, 153.789721
0.797411, 1.400637, 154.070104
0.799211, 1.400637, 154.070104
0.800798, 1.400637, 154.070104
0.802435, 1.398088, 153.789721
0.804406, 1.400637, 154.070104
0.807230, 1.400637, 154.070104
0.812189, 1.398088, 153.789721
0.814382, 1.398088, 153.789721
0.816363, 1.400637, 154.070104
0.818245, 1.400637, 154.070104
0.820478, 1.400637, 154.070104
0.822362, 1.400637, 154.070104
0.824104, 1.398088, 153.789721
0.825807, 1.400637, 154.070104
0.827666, 1.400637, 154.070104
0.829365, 1.398088, 153.789721
0.830921, 1.398088, 153.789721
0.832474, 1.398088, 153.789721
0.834009, 1.400637, 154.070104
0.836125, 1.398088, 153.789721
0.838128, 1.398088, 153.789721
0.839921, 1.400637, 154.070104
0.841702, 1.400637, 154.070104
0.843412, 1.400637, 154.070104
0.845502, 1.400637, 154.070104
0.847419, 1.400637, 154.070104
0.849334, 1.398088, 153.789721
0.851438, 1.398088, 153.789721
0.853458, 1.400637, 154.070104
0.855344, 1.400637, 154.070104
0.857160, 1.398088, 153.789721
0.859059, 1.400637, 154.070104
0.860916, 1.400637, 154.070104
0.862994, 1.400637, 154.070104
0.864846, 1.400637, 154.070104
0.867135, 1.400637, 154.070104
0.869052, 1.400637, 154.070104
0.870850, 1.398088, 153.789721
0.872824, 1.400637, 154.070104
0.874892, 1.398088, 153.789721
0.877139, 1.398088, 153.789721
0.879138, 1.400637, 154.070104
0.881436, 1.398088, 153.789721
0.884433, 1.400637, 154.070104
0.887098, 1.398088, 153.789721
0.889219, 1.400637, 154.070104
0.891142, 1.398088, 153.789721
0.893381, 1.398088, 153.789721
0.895355, 1.400637, 154.070104
0.897163, 1.400637, 154.070104
0.898937, 1.400637, 154.070104
0.900686, 1.400637, 154.070104
0.902584, 1.398088, 153.789721
0.904732, 1.400637, 154.070104
0.906716, 1.398088, 153.789721
0.908671, 1.400637, 154.070104
0.910524, 1.400637, 154.070104
0.912296, 1.400637, 154.070104
0.914107, 1.400637, 154.070104
0.915844, 1.400637, 154.070104
0.917553, 1.398088, 153.789721
0.919315, 1.400637, 154.070104
0.921008, 1.400637, 154.070104
0.922683, 1.400637, 154.070104
0.924533, 1.398088, 153.789721
0.926283, 1.400637, 154.070104
0.928017, 1.398088, 153.789721
0.929730, 1.400637, 154.070104
0.931500, 1.400637, 154.070104
0.933304, 1.400637, 154.070104
0.935105, 1.398088, 153.789721
0.936831, 1.400637, 154.070104
0.938536, 1.398088, 153.789721
0.940286, 1.398088, 153.789721
0.941942, 1.400637, 154.070104
0.943597, 1.400637, 154.070104
0.945528, 1.400637, 154.070104
0.947212, 1.398088, 153.789721
0.948902, 1.398088, 153.789721
0.950469, 1.398088, 153.789721
0.952057, 1.398088, 153.789721
0.953700, 1.400637, 154.070104
0.955508, 1.400637, 154.070104
0.957074, 1.398088, 153.789721
0.958606, 1.398088, 153.789721
0.960131, 1.400637, 154.070104
0.961803, 1.400637, 154.070104
0.964648, 1.398088, 153.789721
0.969429, 1.400637, 154.070104
1.042091, 1.400637, 154.070104
1.044396, 1.398088, 153.789721
1.046387, 1.398088, 153.789721
1.048140, 1.398088, 153.789721
1.050012, 1.400637, 154.070104
1.051578, 1.400637, 154.070104
1.053163, 1.400637, 154.070104
1.054865, 1.400637, 154.070104
1.056746, 1.400637, 154.070104
1.058487, 1.400637, 154.070104
1.060287, 1.400637, 154.070104
1.061904, 1.400637, 154.070104
1.063488, 1.398088, 153.789721
1.065076, 1.398088, 153.789721
1.066807, 1.400637, 154.070104
1.068645, 1.398088, 153.789721
1.070438, 1.400637, 154.070104
1.071997, 1.398088, 153.789721
1.073567, 1.398088, 153.789721
1.075121, 1.400637, 154.070104
1.076798, 1.398088, 153.789721
1.078475, 1.398088, 153.789721
1.080237, 1.398088, 153.789721
1.081778, 1.400637, 154.070104
1.083311, 1.398088, 153.789721
1.084854, 1.400637, 154.070104
1.087039, 1.398088, 153.789721
1.088853, 1.400637, 154.070104
1.090528, 1.400637, 154.070104
1.092353, 1.400637, 154.070104
1.093894, 1.398088, 153.789721
1.095415, 1.400637, 154.070104
1.097086, 1.398088, 153.789721
1.098724, 1.400637, 154.070104
1.100569, 1.400637, 154.070104
1.102158, 1.400637, 154.070104
1.103800, 1.400637, 154.070104
1.105626, 1.400637, 154.070104
1.107285, 1.400637, 154.070104
1.108966, 1.400637, 154.070104
1.110754, 1.398088, 153.789721
1.112291, 1.400637, 154.070104
1.113827, 1.400637, 154.070104
1.115339, 1.400637, 154.070104
1.116999, 1.398088, 153.789721
1.118585, 1.400637, 154.070104
1.120151, 1.398088, 153.789721
1.122010, 1.400637, 154.070104
1.123536, 1.398088, 153.789721
1.125079, 1.400637, 154.070104
1.126659, 1.400637, 154.070104
1.128235, 1.398088, 153.789721
1.130043, 1.400637, 154.070104
1.131639, 1.398088, 153.789721
1.133181, 1.398088, 153.789721
1.134739, 1.398088, 153.789721
1.136420, 1.400637, 154.070104
1.140321, 1.398088, 153.789721
1.142175, 1.400637, 154.070104
1.143889, 1.400637, 154.070104
1.145387, 1.398088, 153.789721
1.146884, 1.400637, 154.070104
1.148356, 1.398088, 153.789721
1.149845, 1.400637, 154.070104
1.151400, 1.400637, 154.070104
1.153791, 1.398088, 153.789721
1.155655, 1.398088, 153.789721
1.157365, 1.400637, 154.070104
1.159062, 1.400637, 154.070104
1.160734, 1.400637, 154.070104
1.162448, 1.400637, 154.070104
1.164100, 1.398088, 153.789721
1.165742, 1.400637, 154.070104
1.167363, 1.398088, 153.789721
1.169526, 1.400637, 154.070104
1.171263, 1.400637, 154.070104
1.172829, 1.398088, 153.789721
1.174385, 1.398088, 153.789721
1.175929, 1.400637, 154.070104
1.177487, 1.400637, 154.070104
1.179049, 1.400637, 154.070104
1.180603, 1.400637, 154.070104
1.182135, 1.398088, 153.789721
1.183783, 1.400637, 154.070104
1.185382, 1.400637, 154.070104
1.186997, 1.400637, 154.070104
1.188602, 1.398088, 153.789721
1.190330, 1.400637, 154.070104
1.192147, 1.400637, 154.070104
1.193844, 1.400637, 154.070104
1.195437, 1.400637, 154.070104
1.197063, 1.400637, 154.070104
1.198692, 1.398088, 153.789721
1.200392, 1.400637, 154.070104
1.201978, 1.400637, 154.070104
1.203630, 1.400637, 154.070104
1.205360, 1.400637, 154.070104
1.207266, 1.400637, 154.070104
1.208971, 1.398088, 153.789721
1.211142, 1.400637, 154.070104
1.213826, 1.398088, 153.789721
1.215425, 1.398088, 153.789721
1.217069, 1.400637, 154.070104
1.218660, 1.400637, 154.070104
1.220288, 1.400637, 154.070104
1.222043, 1.398088, 153.789721
1.223679, 1.400637, 154.070104
1.225230, 1.398088, 153.789721
1.226868, 1.400637, 154.070104
1.228419, 1.400637, 154.070104
1.229957, 1.398088, 153.789721
1.231498, 1.398088, 153.789721
1.233039, 1.400637, 154.070104
1.234579, 1.400637, 154.070104
1.236196, 1.398088, 153.789721
1.238007, 1.400637, 154.070104
1.239661, 1.400637, 154.070104
1.241320, 1.400637, 154.070104
1.242808, 1.400637, 154.070104
1.244287, 1.400637, 154.070104
1.245799, 1.398088, 153.789721
1.247419, 1.400637, 154.070104
1.249024, 1.398088, 153.789721
1.250631, 1.400637, 154.070104
1.252433, 1.400637, 154.070104
1.254030, 1.400637, 154.070104
1.255548, 1.400637, 154.070104
1.257267, 1.400637, 154.070104
1.258836, 1.398088, 153.789721
1.260452, 1.400637, 154.070104
1.262181, 1.398088, 153.789721
1.263708, 1.398088, 153.789721
1.265241, 1.400637, 154.070104
1.266752, 1.398088, 153.789721
1.268938, 1.398088, 153.789721
1.270604, 1.400637, 154.070104
1.272368, 1.400637, 154.070104
1.273921, 1.398088, 153.789721
1.275461, 1.398088, 153.789721
1.276988, 1.398088, 153.789721
1.280026, 1.400637, 154.070104
1.281572, 1.400637, 154.070104
1.283079, 1.400637, 154.070104
1.284611, 1.400637, 154.070104
1.286321, 1.398088, 153.789721
1.288081, 1.398088, 153.789721
1.289918, 1.400637, 154.070104
1.291570, 1.400637, 154.070104
1.293152, 1.400637, 154.070104
1.294817, 1.400637, 154.070104
1.296399, 1.400637, 154.070104
1.298574, 1.400637, 154.070104
1.301797, 1.398088, 153.789721
1.303710, 1.400637, 154.070104
1.305538, 1.398088, 153.789721
1.307303, 1.400637, 154.070104
1.310124, 1.398088, 153.789721
1.312835, 1.400637, 154.070104
1.315262, 1.400637, 154.070104
1.317703, 1.400637, 154.070104
1.319779, 1.400637, 154.070104
1.321490, 1.400637, 154.070104
1.323266, 1.398088, 153.789721
1.324908, 1.398088, 153.789721
1.326613, 1.400637, 154.070104
1.328277, 1.400637, 154.070104
1.329898, 1.398088, 153.789721
1.331493, 1.398088, 153.789721
1.333076, 1.400637, 154.070104
1.334659, 1.398088, 153.789721
1.336377, 1.398088, 153.789721
1.337987, 1.398088, 153.789721
1.339780, 1.400637, 154.070104
1.341455, 1.400637, 154.070104
1.343048, 1.398088, 153.789721
1.344610, 1.400637, 154.070104
1.346179, 1.398088, 153.789721
1.347755, 1.400637, 154.070104
1.349374, 1.398088, 153.789721
