Time (s),Voltage (V),Pressure
0.499960, -0.355422, -39.096388
0.545378, -0.357972, -39.376884
0.573059, -0.357972, -39.376884
0.594257, -0.357972, -39.376884
0.639899, -0.357972, -39.376884
0.652429, -0.357972, -39.376884
0.654833, -0.357972, -39.376884
0.656926, -0.357972, -39.376884
0.658951, -0.357972, -39.376884
0.661223, -0.357972, -39.376884
0.663232, -0.357972, -39.376884
0.665159, -0.357972, -39.376884
0.667040, -0.357972, -39.376884
0.668916, -0.357972, -39.376884
0.671215, -0.357972, -39.376884
0.673404, -0.355422, -39.096388
0.676881, -0.355422, -39.096388
0.678945, -0.357972, -39.376884
0.680818, -0.357972, -39.376884
0.682913, -0.357972, -39.376884
0.684942, -0.357972, -39.376884
0.686860, -0.357972, -39.376884
0.688789, -0.357972, -39.376884
0.690656, -0.357972, -39.376884
0.692668, -0.357972, -39.376884
0.694586, -0.357972, -39.376884
0.696446, -0.357972, -39.376884
0.698275, -0.357972, -39.376884
0.700112, -0.357972, -39.376884
0.702098, -0.357972, -39.376884
0.704042, -0.357972, -39.376884
0.705928, -0.357972, -39.376884
0.707775, -0.357972, -39.376884
0.709586, -0.357972, -39.376884
0.711373, -0.357972, -39.376884
0.713360, -0.357972, -39.376884
0.715161, -0.357972, -39.376884
0.716967, -0.357972, -39.376884
0.718912, -0.357972, -39.376884
0.720801, -0.357972, -39.376884
0.722731, -0.357972, -39.376884
0.724609, -0.357972, -39.376884
0.726417, -0.357972, -39.376884
0.728196, -0.355422, -39.096388
0.730282, -0.357972, -39.376884
0.732020, -0.355422, -39.096388
0.733737, -0.357972, -39.376884
0.735446, -0.357972, -39.376884
0.737210, -0.357972, -39.376884
0.739266, -0.355422, -39.096388
0.741296, -0.357972, -39.376884
0.743392, -0.357972, -39.376884
0.745288, -0.355422, -39.096388
0.747141, -0.357972, -39.376884
0.748967, -0.357972, -39.376884
0.750777, -0.357972, -39.376884
0.752705, -0.357972, -39.376884
0.755093, -0.355422, -39.096388
0.757167, -0.355422, -39.096388
0.759196, -0.357972, -39.376884
0.761143, -0.355422, -39.096388
0.763058, -0.357972, -39.376884
0.764771, -0.360522, -39.657380
0.766488, -0.357972, -39.376884
0.768187, -0.360522, -39.657380
0.770143, -0.357972, -39.376884
0.771905, -0.357972, -39.376884
0.773843, -0.355422, -39.096388
0.775845, -0.355422, -39.096388
0.777563, -0.357972, -39.376884
0.779247, -0.357972, -39.376884
0.781025, -0.357972, -39.376884
0.782813, -0.357972, -39.376884
0.784778, -0.355422, -39.096388
0.786707, -0.357972, -39.376884
0.788488, -0.357972, -39.376884
0.790394, -0.355422, -39.096388
0.792537, -0.355422, -39.096388
