Time (s),Voltage (V),Pressure
0.483252, 1.098056, 120.786166
0.524496, 1.098056, 120.786166
0.550497, 1.095506, 120.505671
0.570834, 1.095506, 120.505671
0.617010, 1.095506, 120.505671
0.628980, 1.095506, 120.505671
0.631434, 1.095506, 120.505671
0.633498, 1.095506, 120.505671
0.635501, 1.098056, 120.786166
0.637548, 1.098056, 120.786166
0.639547, 1.100606, 121.066662
0.641524, 1.100606, 121.066662
0.643438, 1.100606, 121.066662
0.645337, 1.098056, 120.786166
0.647485, 1.098056, 120.786166
0.649382, 1.098056, 120.786166
0.652987, 1.095506, 120.505671
0.655013, 1.095506, 120.505671
0.656795, 1.095506, 120.505671
0.658502, 1.095506, 120.505671
0.660212, 1.095506, 120.505671
0.662047, 1.095506, 120.505671
0.663760, 1.095506, 120.505671
0.665476, 1.095506, 120.505671
0.667179, 1.098056, 120.786166
0.668943, 1.098056, 120.786166
0.670669, 1.098056, 120.786166
0.673172, 1.098056, 120.786166
0.674996, 1.098056, 120.786166
0.676675, 1.098056, 120.786166
0.678345, 1.095506, 120.505671
0.680013, 1.095506, 120.505671
0.681681, 1.095506, 120.505671
0.683591, 1.095506, 120.505671
0.685322, 1.092956, 120.225175
0.687052, 1.095506, 120.505671
0.688774, 1.095506, 120.505671
0.690504, 1.095506, 120.505671
0.692222, 1.098056, 120.786166
0.694055, 1.095506, 120.505671
0.695781, 1.098056, 120.786166
0.697547, 1.098056, 120.786166
0.699274, 1.098056, 120.786166
0.701008, 1.098056, 120.786166
0.702846, 1.098056, 120.786166
0.704598, 1.095506, 120.505671
0.706385, 1.095506, 120.505671
0.708164, 1.095506, 120.505671
0.709945, 1.095506, 120.505671
0.711765, 1.095506, 120.505671
0.713614, 1.095506, 120.505671
0.715471, 1.095506, 120.505671
0.717251, 1.098056, 120.786166
0.719032, 1.098056, 120.786166
0.720857, 1.100606, 121.066662
0.722873, 1.100606, 121.066662
0.724883, 1.098056, 120.786166
0.726718, 1.098056, 120.786166
0.728570, 1.098056, 120.786166
0.730404, 1.098056, 120.786166
0.732181, 1.098056, 120.786166
0.734112, 1.095506, 120.505671
0.735862, 1.095506, 120.505671
0.737608, 1.095506, 120.505671
0.739380, 1.095506, 120.505671
0.741133, 1.095506, 120.505671
0.743228, 1.095506, 120.505671
0.744985, 1.095506, 120.505671
0.746678, 1.095506, 120.505671
0.748350, 1.098056, 120.786166
0.750005, 1.098056, 120.786166
0.751647, 1.098056, 120.786166
0.753414, 1.098056, 120.786166
0.755107, 1.098056, 120.786166
0.756787, 1.098056, 120.786166
0.758462, 1.095506, 120.505671
0.760198, 1.095506, 120.505671
0.761899, 1.095506, 120.505671
0.763700, 1.095506, 120.505671
0.765411, 1.095506, 120.505671
0.767114, 1.095506, 120.505671
0.768800, 1.095506, 120.505671
0.770477, 1.095506, 120.505671
0.772206, 1.095506, 120.505671
0.774431, 1.098056, 120.786166
0.776406, 1.098056, 120.786166
0.778327, 1.100606, 121.066662
0.780288, 1.098056, 120.786166
0.782121, 1.100606, 121.066662
0.783977, 1.098056, 120.786166
0.785775, 1.095506, 120.505671
0.787546, 1.095506, 120.505671
0.789486, 1.095506, 120.505671
0.791273, 1.095506, 120.505671
0.793130, 1.095506, 120.505671
0.794954, 1.095506, 120.505671
0.796712, 1.095506, 120.505671
0.798535, 1.095506, 120.505671
0.800838, 1.098056, 120.786166
0.804606, 1.098056, 120.786166
0.861752, 1.098056, 120.786166
0.864252, 1.098056, 120.786166
0.866276, 1.098056, 120.786166
0.868023, 1.098056, 120.786166
0.869755, 1.098056, 120.786166
0.871480, 1.098056, 120.786166
0.873425, 1.095506, 120.505671
0.875171, 1.095506, 120.505671
0.876896, 1.095506, 120.505671
0.878614, 1.095506, 120.505671
0.880425, 1.095506, 120.505671
0.882240, 1.095506, 120.505671
0.884087, 1.095506, 120.505671
0.885845, 1.095506, 120.505671
0.887601, 1.095506, 120.505671
0.889950, 1.098056, 120.786166
0.891969, 1.098056, 120.786166
0.893722, 1.098056, 120.786166
0.896696, 1.095506, 120.505671
0.898487, 1.098056, 120.786166
0.900276, 1.095506, 120.505671
0.901935, 1.098056, 120.786166
0.903574, 1.095506, 120.505671
0.905809, 1.095506, 120.505671
0.907877, 1.095506, 120.505671
0.909723, 1.095506, 120.505671
0.911428, 1.092956, 120.225175
0.913127, 1.095506, 120.505671
0.914903, 1.095506, 120.505671
0.916758, 1.095506, 120.505671
0.918633, 1.098056, 120.786166
0.920413, 1.098056, 120.786166
0.922312, 1.100606, 121.066662
0.924181, 1.098056, 120.786166
0.926274, 1.098056, 120.786166
0.928060, 1.098056, 120.786166
0.929843, 1.095506, 120.505671
0.931513, 1.095506, 120.505671
0.933170, 1.095506, 120.505671
0.934829, 1.095506, 120.505671
0.936571, 1.095506, 120.505671
0.938357, 1.095506, 120.505671
0.940270, 1.095506, 120.505671
0.942054, 1.095506, 120.505671
0.943908, 1.098056, 120.786166
0.945688, 1.098056, 120.786166
0.947498, 1.100606, 121.066662
0.949292, 1.098056, 120.786166
0.951151, 1.098056, 120.786166
0.952861, 1.098056, 120.786166
