Time (s),Voltage (V),Pressure
0.490631, 0.962908, 105.919894
0.529416, 0.962908, 105.919894
0.555304, 0.962908, 105.919894
0.576245, 0.962908, 105.919894
0.621576, 0.962908, 105.919894
0.633433, 0.962908, 105.919894
0.635686, 0.962908, 105.919894
0.637669, 0.962908, 105.919894
0.640016, 0.962908, 105.919894
0.642056, 0.962908, 105.919894
0.644201, 0.962908, 105.919894
0.646232, 0.962908, 105.919894
0.648257, 0.962908, 105.919894
0.650434, 0.962908, 105.919894
0.652278, 0.962908, 105.919894
0.656313, 0.962908, 105.919894
0.658026, 0.962908, 105.919894
0.659759, 0.962908, 105.919894
0.661670, 0.962908, 105.919894
0.663419, 0.962908, 105.919894
0.665179, 0.962908, 105.919894
0.666921, 0.962908, 105.919894
0.668641, 0.960358, 105.639398
0.670442, 0.960358, 105.639398
0.672250, 0.960358, 105.639398
0.674011, 0.960358, 105.639398
0.675786, 0.962908, 105.919894
0.677626, 0.962908, 105.919894
0.679372, 0.962908, 105.919894
0.681189, 0.962908, 105.919894
0.682993, 0.962908, 105.919894
0.684900, 0.962908, 105.919894
0.686700, 0.962908, 105.919894
0.688473, 0.962908, 105.919894
0.690224, 0.962908, 105.919894
0.692219, 0.962908, 105.919894
0.694279, 0.960358, 105.639398
0.696616, 0.960358, 105.639398
0.699326, 0.960358, 105.639398
0.701937, 0.962908, 105.919894
0.704358, 0.960358, 105.639398
0.706396, 0.962908, 105.919894
0.708388, 0.962908, 105.919894
0.710862, 0.965458, 106.200390
0.713003, 0.962908, 105.919894
0.715158, 0.962908, 105.919894
0.717713, 0.962908, 105.919894
0.720165, 0.962908, 105.919894
0.722520, 0.962908, 105.919894
0.724639, 0.962908, 105.919894
0.726617, 0.960358, 105.639398
0.728651, 0.960358, 105.639398
0.730874, 0.960358, 105.639398
0.732913, 0.962908, 105.919894
0.734954, 0.962908, 105.919894
0.737201, 0.962908, 105.919894
0.739206, 0.962908, 105.919894
0.741113, 0.962908, 105.919894
0.742956, 0.962908, 105.919894
0.744780, 0.962908, 105.919894
0.746727, 0.962908, 105.919894
0.748554, 0.962908, 105.919894
0.750355, 0.962908, 105.919894
0.752419, 0.962908, 105.919894
0.754790, 0.962908, 105.919894
0.756959, 0.962908, 105.919894
0.759235, 0.960358, 105.639398
0.761076, 0.962908, 105.919894
0.762846, 0.962908, 105.919894
0.764626, 0.962908, 105.919894
0.766613, 0.960358, 105.639398
0.768486, 0.960358, 105.639398
0.770214, 0.962908, 105.919894
0.771935, 0.962908, 105.919894
0.773880, 0.962908, 105.919894
0.775757, 0.962908, 105.919894
0.777752, 0.962908, 105.919894
0.779771, 0.962908, 105.919894
0.781535, 0.962908, 105.919894
0.783535, 0.962908, 105.919894
0.786785, 0.962908, 105.919894
0.789272, 0.962908, 105.919894
0.791654, 0.962908, 105.919894
0.793564, 0.962908, 105.919894
0.795661, 0.962908, 105.919894
0.797370, 0.962908, 105.919894
0.799237, 0.962908, 105.919894
0.801157, 0.962908, 105.919894
0.802848, 0.962908, 105.919894
0.804701, 0.962908, 105.919894
0.806441, 0.962908, 105.919894
0.808371, 0.962908, 105.919894
0.810211, 0.962908, 105.919894
0.811886, 0.962908, 105.919894
0.813603, 0.962908, 105.919894
0.815551, 0.960358, 105.639398
0.817565, 0.960358, 105.639398
0.819434, 0.960358, 105.639398
0.821545, 0.960358, 105.639398
0.825005, 0.962908, 105.919894
0.886805, 0.962908, 105.919894
0.889071, 0.962908, 105.919894
0.891384, 0.962908, 105.919894
0.893473, 0.962908, 105.919894
0.895216, 0.962908, 105.919894
0.897086, 0.962908, 105.919894
0.899128, 0.962908, 105.919894
0.901146, 0.962908, 105.919894
0.902879, 0.960358, 105.639398
0.904604, 0.962908, 105.919894
0.906543, 0.962908, 105.919894
0.908541, 0.962908, 105.919894
0.910519, 0.962908, 105.919894
0.912213, 0.960358, 105.639398
0.913978, 0.962908, 105.919894
0.915978, 0.960358, 105.639398
0.917895, 0.960358, 105.639398
0.919715, 0.962908, 105.919894
0.921619, 0.960358, 105.639398
0.923267, 0.962908, 105.919894
0.924920, 0.962908, 105.919894
0.926879, 0.962908, 105.919894
0.928851, 0.962908, 105.919894
0.930854, 0.962908, 105.919894
0.932941, 0.962908, 105.919894
0.934616, 0.962908, 105.919894
0.936461, 0.962908, 105.919894
0.938166, 0.962908, 105.919894
0.940183, 0.962908, 105.919894
0.941862, 0.962908, 105.919894
0.943508, 0.960358, 105.639398
0.945172, 0.962908, 105.919894
0.947197, 0.962908, 105.919894
0.949020, 0.962908, 105.919894
0.950971, 0.962908, 105.919894
0.952867, 0.962908, 105.919894
0.954521, 0.962908, 105.919894
0.956168, 0.962908, 105.919894
0.958084, 0.962908, 105.919894
0.959919, 0.962908, 105.919894
0.961795, 0.962908, 105.919894
0.963542, 0.962908, 105.919894
0.965435, 0.962908, 105.919894
0.967414, 0.962908, 105.919894
0.969234, 0.962908, 105.919894
0.971154, 0.962908, 105.919894
0.973032, 0.962908, 105.919894
0.974698, 0.962908, 105.919894
0.976340, 0.962908, 105.919894
0.978154, 0.962908, 105.919894
0.979902, 0.962908, 105.919894
0.981594, 0.962908, 105.919894
0.983485, 0.962908, 105.919894
0.985341, 0.962908, 105.919894
0.986996, 0.962908, 105.919894
0.988872, 0.962908, 105.919894
0.990856, 0.962908, 105.919894
0.992617, 0.962908, 105.919894
0.994257, 0.962908, 105.919894
0.995932, 0.962908, 105.919894
0.998028, 0.962908, 105.919894
0.999970, 0.962908, 105.919894
1.001945, 0.960358, 105.639398
1.003600, 0.960358, 105.639398
1.005255, 0.962908, 105.919894
1.006983, 0.960358, 105.639398
1.008987, 0.962908, 105.919894
1.011515, 0.962908, 105.919894
1.015642, 0.962908, 105.919894
1.018386, 0.962908, 105.919894
1.021244, 0.962908, 105.919894
1.023605, 0.962908, 105.919894
1.025481, 0.962908, 105.919894
1.027188, 0.962908, 105.919894
1.029427, 0.962908, 105.919894
1.031824, 0.962908, 105.919894
1.034557, 0.962908, 105.919894
1.036802, 0.962908, 105.919894
1.039264, 0.962908, 105.919894
1.042664, 0.962908, 105.919894
1.045356, 0.962908, 105.919894
1.048172, 0.962908, 105.919894
1.050902, 0.962908, 105.919894
1.053362, 0.962908, 105.919894
1.055682, 0.962908, 105.919894
1.057873, 0.962908, 105.919894
1.060262, 0.962908, 105.919894
1.062311, 0.962908, 105.919894
1.064701, 0.962908, 105.919894
1.066815, 0.962908, 105.919894
1.069132, 0.962908, 105.919894
1.071278, 0.962908, 105.919894
1.073464, 0.962908, 105.919894
1.075907, 0.962908, 105.919894
1.080102, 0.962908, 105.919894
1.082852, 0.962908, 105.919894
1.085242, 0.962908, 105.919894
1.087177, 0.962908, 105.919894
1.089254, 0.962908, 105.919894
1.091998, 0.962908, 105.919894
1.097458, 0.962908, 105.919894
1.101488, 0.962908, 105.919894
1.104067, 0.962908, 105.919894
1.106330, 0.962908, 105.919894
1.108424, 0.962908, 105.919894
1.110947, 0.962908, 105.919894
1.114075, 0.962908, 105.919894
1.116853, 0.962908, 105.919894
1.119366, 0.962908, 105.919894
1.121833, 0.962908, 105.919894
1.123986, 0.962908, 105.919894
1.126183, 0.960358, 105.639398
1.128208, 0.962908, 105.919894
1.130493, 0.960358, 105.639398
1.132630, 0.960358, 105.639398
1.134794, 0.962908, 105.919894
1.136745, 0.962908, 105.919894
1.138556, 0.962908, 105.919894
1.140326, 0.962908, 105.919894
1.142145, 0.962908, 105.919894
