Time (s),Voltage (V),Pressure
0.569414, -0.748116, -82.292728
0.617915, -0.750666, -82.573224
0.645241, -0.750666, -82.573224
0.670895, -0.750666, -82.573224
0.717989, -0.750666, -82.573224
0.730448, -0.753216, -82.853719
0.732975, -0.750666, -82.573224
0.735081, -0.750666, -82.573224
0.737330, -0.750666, -82.573224
0.739948, -0.750666, -82.573224
0.742272, -0.750666, -82.573224
0.744408, -0.750666, -82.573224
0.746490, -0.750666, -82.573224
0.748545, -0.748116, -82.292728
0.750629, -0.748116, -82.292728
0.757818, -0.750666, -82.573224
0.760243, -0.750666, -82.573224
0.762361, -0.750666, -82.573224
0.764504, -0.750666, -82.573224
0.766495, -0.750666, -82.573224
0.768251, -0.753216, -82.853719
0.770141, -0.753216, -82.853719
0.772303, -0.753216, -82.853719
0.774280, -0.750666, -82.573224
0.776374, -0.750666, -82.573224
0.778316, -0.750666, -82.573224
0.780524, -0.748116, -82.292728
0.782631, -0.748116, -82.292728
0.784605, -0.748116, -82.292728
0.786503, -0.750666, -82.573224
0.788413, -0.750666, -82.573224
0.790566, -0.750666, -82.573224
0.792462, -0.750666, -82.573224
0.794456, -0.753216, -82.853719
0.796401, -0.753216, -82.853719
0.798207, -0.753216, -82.853719
0.800012, -0.750666, -82.573224
0.801960, -0.750666, -82.573224
0.803855, -0.750666, -82.573224
0.805833, -0.750666, -82.573224
0.807690, -0.750666, -82.573224
0.809678, -0.748116, -82.292728
0.811668, -0.748116, -82.292728
0.813489, -0.748116, -82.292728
0.815268, -0.750666, -82.573224
0.817033, -0.750666, -82.573224
0.818794, -0.750666, -82.573224
0.820562, -0.750666, -82.573224
0.822725, -0.750666, -82.573224
0.824694, -0.750666, -82.573224
0.826542, -0.750666, -82.573224
0.829731, -0.750666, -82.573224
0.832499, -0.750666, -82.573224
0.835228, -0.750666, -82.573224
0.837329, -0.750666, -82.573224
0.839397, -0.750666, -82.573224
0.841572, -0.750666, -82.573224
0.843631, -0.748116, -82.292728
0.845768, -0.748116, -82.292728
0.848255, -0.748116, -82.292728
0.851786, -0.748116, -82.292728
0.853798, -0.748116, -82.292728
0.855735, -0.750666, -82.573224
0.857498, -0.750666, -82.573224
0.859453, -0.750666, -82.573224
0.861237, -0.753216, -82.853719
0.863185, -0.753216, -82.853719
0.865050, -0.753216, -82.853719
0.866982, -0.753216, -82.853719
0.868884, -0.750666, -82.573224
0.870635, -0.750666, -82.573224
0.872537, -0.750666, -82.573224
0.874396, -0.748116, -82.292728
0.876297, -0.748116, -82.292728
0.878148, -0.748116, -82.292728
0.879890, -0.748116, -82.292728
0.881644, -0.750666, -82.573224
0.884359, -0.750666, -82.573224
0.886425, -0.750666, -82.573224
0.888343, -0.753216, -82.853719
0.890286, -0.753216, -82.853719
0.892291, -0.753216, -82.853719
0.896292, -0.750666, -82.573224
0.898313, -0.750666, -82.573224
0.900090, -0.750666, -82.573224
0.901857, -0.748116, -82.292728
0.904027, -0.748116, -82.292728
0.906100, -0.748116, -82.292728
0.908032, -0.748116, -82.292728
0.910146, -0.748116, -82.292728
0.911990, -0.748116, -82.292728
0.913905, -0.750666, -82.573224
0.915755, -0.750666, -82.573224
0.917702, -0.750666, -82.573224
0.919466, -0.753216, -82.853719
0.921225, -0.753216, -82.853719
0.923127, -0.753216, -82.853719
0.925262, -0.750666, -82.573224
0.927631, -0.750666, -82.573224
0.931386, -0.750666, -82.573224
1.014151, -0.750666, -82.573224
1.017622, -0.750666, -82.573224
1.020155, -0.748116, -82.292728
1.022470, -0.748116, -82.292728
1.024535, -0.748116, -82.292728
1.027357, -0.748116, -82.292728
1.030020, -0.750666, -82.573224
1.032525, -0.750666, -82.573224
1.034939, -0.750666, -82.573224
1.037207, -0.753216, -82.853719
1.039508, -0.753216, -82.853719
1.041770, -0.753216, -82.853719
1.043894, -0.753216, -82.853719
1.045888, -0.750666, -82.573224
1.047843, -0.750666, -82.573224
1.050816, -0.750666, -82.573224
1.052799, -0.750666, -82.573224
1.054751, -0.748116, -82.292728
1.056715, -0.748116, -82.292728
1.059122, -0.748116, -82.292728
1.061824, -0.750666, -82.573224
1.064332, -0.750666, -82.573224
1.066771, -0.750666, -82.573224
1.069168, -0.753216, -82.853719
1.071336, -0.753216, -82.853719
1.073531, -0.753216, -82.853719
1.075540, -0.753216, -82.853719
1.077591, -0.750666, -82.573224
1.079509, -0.750666, -82.573224
1.081751, -0.750666, -82.573224
1.083663, -0.748116, -82.292728
1.085536, -0.748116, -82.292728
1.087463, -0.748116, -82.292728
1.089983, -0.748116, -82.292728
1.092039, -0.748116, -82.292728
1.094051, -0.750666, -82.573224
1.096035, -0.750666, -82.573224
1.098149, -0.750666, -82.573224
1.100166, -0.750666, -82.573224
1.102188, -0.753216, -82.853719
1.104172, -0.750666, -82.573224
1.106255, -0.753216, -82.853719
1.108303, -0.750666, -82.573224
1.110310, -0.750666, -82.573224
1.112163, -0.750666, -82.573224
1.113995, -0.750666, -82.573224
1.116073, -0.750666, -82.573224
1.118164, -0.748116, -82.292728
1.120148, -0.748116, -82.292728
1.121940, -0.750666, -82.573224
1.123757, -0.748116, -82.292728
1.125812, -0.750666, -82.573224
1.127872, -0.750666, -82.573224
1.129848, -0.750666, -82.573224
1.131683, -0.750666, -82.573224
1.133429, -0.753216, -82.853719
1.135184, -0.753216, -82.853719
1.137048, -0.750666, -82.573224
1.138952, -0.750666, -82.573224
1.140966, -0.750666, -82.573224
1.143011, -0.750666, -82.573224
1.144783, -0.750666, -82.573224
1.146767, -0.748116, -82.292728
1.148832, -0.748116, -82.292728
1.150726, -0.748116, -82.292728
1.152851, -0.748116, -82.292728
1.155364, -0.750666, -82.573224
1.157506, -0.750666, -82.573224
1.159447, -0.753216, -82.853719
1.161299, -0.753216, -82.853719
1.163142, -0.753216, -82.853719
1.164945, -0.753216, -82.853719
1.166928, -0.750666, -82.573224
1.168816, -0.750666, -82.573224
1.170656, -0.750666, -82.573224
1.172644, -0.750666, -82.573224
1.174699, -0.748116, -82.292728
1.176630, -0.748116, -82.292728
1.178530, -0.748116, -82.292728
1.180393, -0.748116, -82.292728
1.182940, -0.748116, -82.292728
1.185669, -0.750666, -82.573224
1.187454, -0.748116, -82.292728
1.189277, -0.750666, -82.573224
1.191087, -0.750666, -82.573224
1.192876, -0.750666, -82.573224
1.194720, -0.750666, -82.573224
1.196622, -0.750666, -82.573224
1.198726, -0.750666, -82.573224
1.200682, -0.750666, -82.573224
1.202665, -0.750666, -82.573224
1.204438, -0.750666, -82.573224
1.206273, -0.748116, -82.292728
1.208198, -0.748116, -82.292728
1.210157, -0.748116, -82.292728
1.211920, -0.748116, -82.292728
1.213673, -0.750666, -82.573224
1.215559, -0.750666, -82.573224
1.217514, -0.750666, -82.573224
1.220225, -0.753216, -82.853719
1.224457, -0.753216, -82.853719
1.227613, -0.753216, -82.853719
1.230710, -0.753216, -82.853719
1.233088, -0.750666, -82.573224
1.235034, -0.750666, -82.573224
1.236959, -0.748116, -82.292728
1.238906, -0.748116, -82.292728
1.240908, -0.748116, -82.292728
1.242921, -0.745566, -82.012232
1.244754, -0.748116, -82.292728
1.246632, -0.748116, -82.292728
1.248580, -0.748116, -82.292728
1.250481, -0.750666, -82.573224
1.252247, -0.750666, -82.573224
1.254010, -0.753216, -82.853719
1.256085, -0.753216, -82.853719
1.259450, -0.753216, -82.853719
1.261191, -0.750666, -82.573224
1.262862, -0.750666, -82.573224
1.264594, -0.750666, -82.573224
1.266482, -0.750666, -82.573224
1.268271, -0.748116, -82.292728
1.270150, -0.748116, -82.292728
1.271950, -0.748116, -82.292728
1.275653, -0.748116, -82.292728
1.277892, -0.750666, -82.573224
1.279789, -0.750666, -82.573224
1.281571, -0.750666, -82.573224
1.283256, -0.750666, -82.573224
1.284938, -0.750666, -82.573224
1.287001, -0.753216, -82.853719
1.289157, -0.750666, -82.573224
1.291142, -0.750666, -82.573224
1.292994, -0.750666, -82.573224
1.294968, -0.750666, -82.573224
1.296874, -0.750666, -82.573224
1.299017, -0.748116, -82.292728
1.302290, -0.748116, -82.292728
1.304627, -0.748116, -82.292728
1.307970, -0.748116, -82.292728
1.310207, -0.750666, -82.573224
1.313007, -0.750666, -82.573224
1.315328, -0.750666, -82.573224
1.317248, -0.750666, -82.573224
1.319197, -0.750666, -82.573224
1.323348, -0.753216, -82.853719
1.328670, -0.753216, -82.853719
1.330835, -0.750666, -82.573224
1.333379, -0.750666, -82.573224
1.335637, -0.750666, -82.573224
1.338121, -0.748116, -82.292728
1.340145, -0.748116, -82.292728
1.342064, -0.748116, -82.292728
1.343901, -0.748116, -82.292728
1.345664, -0.748116, -82.292728
1.347517, -0.750666, -82.573224
1.349398, -0.750666, -82.573224
1.351229, -0.750666, -82.573224
1.353764, -0.753216, -82.853719
1.356710, -0.753216, -82.853719
1.359646, -0.753216, -82.853719
1.362564, -0.750666, -82.573224
1.365391, -0.750666, -82.573224
1.367356, -0.750666, -82.573224
1.369226, -0.750666, -82.573224
1.371002, -0.748116, -82.292728
1.372776, -0.748116, -82.292728
1.374524, -0.745566, -82.012232
1.376371, -0.748116, -82.292728
1.378153, -0.748116, -82.292728
1.380012, -0.748116, -82.292728
1.383441, -0.750666, -82.573224
1.386563, -0.750666, -82.573224
1.388891, -0.750666, -82.573224
1.390823, -0.753216, -82.853719
1.392740, -0.753216, -82.853719
1.394752, -0.750666, -82.573224
1.396507, -0.750666, -82.573224
1.398497, -0.750666, -82.573224
1.400354, -0.750666, -82.573224
1.402365, -0.750666, -82.573224
1.404307, -0.748116, -82.292728
1.406203, -0.748116, -82.292728
1.408168, -0.748116, -82.292728
1.410321, -0.748116, -82.292728
1.412095, -0.748116, -82.292728
1.414023, -0.750666, -82.573224
1.415969, -0.750666, -82.573224
1.417978, -0.750666, -82.573224
1.419798, -0.750666, -82.573224
1.421644, -0.750666, -82.573224
1.423639, -0.750666, -82.573224
1.425605, -0.750666, -82.573224
1.427659, -0.750666, -82.573224
1.429415, -0.750666, -82.573224
1.431228, -0.748116, -82.292728
1.433087, -0.748116, -82.292728
1.435178, -0.748116, -82.292728
1.436994, -0.748116, -82.292728
1.438863, -0.748116, -82.292728
1.442281, -0.748116, -82.292728
1.444432, -0.750666, -82.573224
1.446417, -0.750666, -82.573224
1.448587, -0.753216, -82.853719
1.450828, -0.753216, -82.853719
1.453265, -0.753216, -82.853719
1.456701, -0.753216, -82.853719
1.459410, -0.750666, -82.573224
1.461923, -0.750666, -82.573224
1.463929, -0.750666, -82.573224
1.465735, -0.748116, -82.292728
1.467535, -0.748116, -82.292728
1.469565, -0.748116, -82.292728
1.471601, -0.748116, -82.292728
1.473860, -0.750666, -82.573224
1.475772, -0.748116, -82.292728
1.477787, -0.750666, -82.573224
1.479565, -0.750666, -82.573224
1.481324, -0.750666, -82.573224
1.483082, -0.750666, -82.573224
1.485093, -0.750666, -82.573224
1.487034, -0.750666, -82.573224
1.489132, -0.750666, -82.573224
1.491056, -0.750666, -82.573224
1.493143, -0.748116, -82.292728
1.494909, -0.748116, -82.292728
1.496659, -0.748116, -82.292728
1.498502, -0.748116, -82.292728
1.500389, -0.748116, -82.292728
1.502329, -0.748116, -82.292728
1.504268, -0.748116, -82.292728
1.506436, -0.750666, -82.573224
1.509285, -0.750666, -82.573224
1.512062, -0.753216, -82.853719
1.515111, -0.750666, -82.573224
1.517814, -0.753216, -82.853719
1.520929, -0.750666, -82.573224
1.523662, -0.750666, -82.573224
1.526312, -0.750666, -82.573224
1.528995, -0.750666, -82.573224
1.532366, -0.748116, -82.292728
1.535597, -0.748116, -82.292728
1.537833, -0.748116, -82.292728
1.540797, -0.748116, -82.292728
1.543294, -0.748116, -82.292728
1.545715, -0.750666, -82.573224
1.548140, -0.750666, -82.573224
1.550747, -0.750666, -82.573224
1.553222, -0.753216, -82.853719
1.555117, -0.750666, -82.573224
1.556978, -0.753216, -82.853719
1.558811, -0.753216, -82.853719
1.561608, -0.750666, -82.573224
1.563900, -0.748116, -82.292728
1.566341, -0.748116, -82.292728
1.568831, -0.748116, -82.292728
1.571428, -0.745566, -82.012232
1.574586, -0.745566, -82.012232
1.577863, -0.748116, -82.292728
1.581538, -0.748116, -82.292728
1.584742, -0.750666, -82.573224
1.586914, -0.750666, -82.573224
1.588906, -0.750666, -82.573224
1.591150, -0.750666, -82.573224
1.593207, -0.753216, -82.853719
1.595187, -0.750666, -82.573224
1.597117, -0.753216, -82.853719
1.599026, -0.750666, -82.573224
1.601114, -0.750666, -82.573224
1.603127, -0.750666, -82.573224
1.605079, -0.748116, -82.292728
1.607095, -0.748116, -82.292728
1.609055, -0.748116, -82.292728
1.611358, -0.748116, -82.292728
1.614777, -0.748116, -82.292728
1.618152, -0.748116, -82.292728
1.621184, -0.750666, -82.573224
1.623661, -0.750666, -82.573224
1.625785, -0.750666, -82.573224
1.627902, -0.750666, -82.573224
1.630145, -0.750666, -82.573224
1.632531, -0.753216, -82.853719
1.634842, -0.750666, -82.573224
1.636961, -0.750666, -82.573224
1.639186, -0.750666, -82.573224
1.641192, -0.748116, -82.292728
1.643399, -0.748116, -82.292728
1.645738, -0.745566, -82.012232
1.647618, -0.745566, -82.012232
1.649723, -0.748116, -82.292728
1.651609, -0.748116, -82.292728
1.653529, -0.750666, -82.573224
1.655418, -0.750666, -82.573224
