Time (s),Voltage (V),Pressure
0.489883, 0.103571, 11.392839
0.529384, 0.101021, 11.112344
0.554698, 0.101021, 11.112344
0.575913, 0.103571, 11.392839
0.620023, 0.103571, 11.392839
0.632298, 0.103571, 11.392839
0.634581, 0.103571, 11.392839
0.636624, 0.103571, 11.392839
0.638789, 0.101021, 11.112344
0.640870, 0.103571, 11.392839
0.643037, 0.101021, 11.112344
0.645069, 0.103571, 11.392839
0.647259, 0.103571, 11.392839
0.649004, 0.103571, 11.392839
0.650743, 0.103571, 11.392839
0.652654, 0.103571, 11.392839
0.657263, 0.103571, 11.392839
0.659333, 0.103571, 11.392839
0.660996, 0.103571, 11.392839
0.662849, 0.103571, 11.392839
0.664691, 0.103571, 11.392839
0.666389, 0.103571, 11.392839
0.668100, 0.103571, 11.392839
0.669878, 0.103571, 11.392839
0.671690, 0.103571, 11.392839
0.673600, 0.103571, 11.392839
0.675477, 0.103571, 11.392839
0.677241, 0.103571, 11.392839
0.678930, 0.103571, 11.392839
0.680612, 0.103571, 11.392839
0.682313, 0.103571, 11.392839
0.684064, 0.103571, 11.392839
0.685879, 0.103571, 11.392839
0.687737, 0.103571, 11.392839
0.689527, 0.103571, 11.392839
0.691227, 0.103571, 11.392839
0.692934, 0.103571, 11.392839
0.694787, 0.103571, 11.392839
0.696508, 0.103571, 11.392839
0.698199, 0.103571, 11.392839
0.699873, 0.103571, 11.392839
0.701587, 0.103571, 11.392839
0.703428, 0.103571, 11.392839
0.705421, 0.103571, 11.392839
0.707467, 0.103571, 11.392839
0.709234, 0.103571, 11.392839
0.710939, 0.101021, 11.112344
0.712633, 0.103571, 11.392839
0.714327, 0.103571, 11.392839
0.716302, 0.103571, 11.392839
0.718295, 0.103571, 11.392839
0.720385, 0.103571, 11.392839
0.722108, 0.103571, 11.392839
0.723849, 0.103571, 11.392839
0.725735, 0.103571, 11.392839
0.727546, 0.103571, 11.392839
0.729436, 0.103571, 11.392839
0.731355, 0.103571, 11.392839
0.733065, 0.101021, 11.112344
0.734812, 0.103571, 11.392839
0.736708, 0.103571, 11.392839
0.738519, 0.103571, 11.392839
0.740593, 0.103571, 11.392839
0.742300, 0.103571, 11.392839
0.743997, 0.103571, 11.392839
0.745838, 0.101021, 11.112344
0.747581, 0.103571, 11.392839
0.749507, 0.103571, 11.392839
0.751284, 0.103571, 11.392839
0.753124, 0.103571, 11.392839
0.755053, 0.103571, 11.392839
0.757033, 0.103571, 11.392839
0.758876, 0.103571, 11.392839
0.760783, 0.103571, 11.392839
0.762476, 0.103571, 11.392839
0.764154, 0.101021, 11.112344
0.765965, 0.103571, 11.392839
0.767772, 0.103571, 11.392839
0.769824, 0.103571, 11.392839
0.771808, 0.103571, 11.392839
0.773657, 0.101021, 11.112344
0.775364, 0.103571, 11.392839
0.777203, 0.103571, 11.392839
0.779129, 0.103571, 11.392839
0.780919, 0.103571, 11.392839
0.782670, 0.103571, 11.392839
0.784399, 0.103571, 11.392839
0.786186, 0.103571, 11.392839
0.788060, 0.103571, 11.392839
0.789797, 0.103571, 11.392839
0.791522, 0.103571, 11.392839
0.793241, 0.103571, 11.392839
0.794947, 0.103571, 11.392839
0.796730, 0.101021, 11.112344
0.798500, 0.103571, 11.392839
0.800196, 0.103571, 11.392839
0.801929, 0.103571, 11.392839
0.803659, 0.103571, 11.392839
0.805828, 0.103571, 11.392839
0.809274, 0.103571, 11.392839
0.867973, 0.103571, 11.392839
0.870752, 0.103571, 11.392839
0.873131, 0.103571, 11.392839
0.874889, 0.103571, 11.392839
0.876942, 0.103571, 11.392839
0.878664, 0.103571, 11.392839
0.880383, 0.103571, 11.392839
0.882081, 0.103571, 11.392839
