Time (s),Voltage (V),Pressure
0.489707, -0.911248, -100.237317
0.527877, -0.911248, -100.237317
0.554682, -0.911248, -100.237317
0.575167, -0.911248, -100.237317
0.618498, -0.911248, -100.237317
0.634452, -0.911248, -100.237317
0.638674, -0.911248, -100.237317
0.641644, -0.911248, -100.237317
0.643840, -0.911248, -100.237317
0.645885, -0.911248, -100.237317
0.647927, -0.911248, -100.237317
0.650018, -0.911248, -100.237317
0.651979, -0.911248, -100.237317
0.653933, -0.911248, -100.237317
0.656167, -0.911248, -100.237317
0.661367, -0.911248, -100.237317
0.664348, -0.911248, -100.237317
0.667716, -0.911248, -100.237317
0.670124, -0.911248, -100.237317
0.672543, -0.911248, -100.237317
0.674627, -0.911248, -100.237317
0.676655, -0.911248, -100.237317
0.678642, -0.911248, -100.237317
0.680690, -0.911248, -100.237317
0.683337, -0.911248, -100.237317
0.685643, -0.911248, -100.237317
0.687695, -0.911248, -100.237317
0.689661, -0.911248, -100.237317
0.691609, -0.911248, -100.237317
0.693502, -0.911248, -100.237317
0.695392, -0.911248, -100.237317
0.697261, -0.911248, -100.237317
0.699210, -0.911248, -100.237317
0.701298, -0.911248, -100.237317
0.703653, -0.911248, -100.237317
0.705658, -0.911248, -100.237317
0.707652, -0.911248, -100.237317
0.709646, -0.911248, -100.237317
0.711544, -0.911248, -100.237317
0.713487, -0.911248, -100.237317
0.715437, -0.911248, -100.237317
0.717342, -0.911248, -100.237317
0.719310, -0.911248, -100.237317
0.721289, -0.911248, -100.237317
0.723143, -0.911248, -100.237317
0.724900, -0.911248, -100.237317
0.726663, -0.911248, -100.237317
0.728533, -0.911248, -100.237317
0.730355, -0.911248, -100.237317
0.732481, -0.911248, -100.237317
0.734391, -0.911248, -100.237317
0.736523, -0.911248, -100.237317
0.738355, -0.911248, -100.237317
0.740215, -0.911248, -100.237317
0.742006, -0.911248, -100.237317
0.744557, -0.911248, -100.237317
0.746581, -0.911248, -100.237317
0.748567, -0.911248, -100.237317
0.750407, -0.911248, -100.237317
0.752140, -0.911248, -100.237317
0.753886, -0.911248, -100.237317
0.755624, -0.911248, -100.237317
0.757363, -0.911248, -100.237317
0.759269, -0.911248, -100.237317
0.761075, -0.911248, -100.237317
0.762959, -0.911248, -100.237317
0.764929, -0.911248, -100.237317
0.766732, -0.911248, -100.237317
0.768605, -0.911248, -100.237317
0.770564, -0.913797, -100.517700
0.772284, -0.911248, -100.237317
0.774011, -0.911248, -100.237317
0.775741, -0.911248, -100.237317
0.777467, -0.911248, -100.237317
0.779333, -0.911248, -100.237317
0.781401, -0.911248, -100.237317
0.783415, -0.911248, -100.237317
0.785412, -0.911248, -100.237317
0.787343, -0.911248, -100.237317
0.789089, -0.911248, -100.237317
0.790825, -0.911248, -100.237317
0.792554, -0.911248, -100.237317
0.794272, -0.911248, -100.237317
0.796259, -0.911248, -100.237317
0.798123, -0.911248, -100.237317
0.799914, -0.911248, -100.237317
0.801801, -0.911248, -100.237317
0.803741, -0.913797, -100.517700
0.805480, -0.911248, -100.237317
0.807214, -0.911248, -100.237317
0.808949, -0.911248, -100.237317
0.810775, -0.911248, -100.237317
0.812649, -0.911248, -100.237317
0.814628, -0.911248, -100.237317
0.816433, -0.911248, -100.237317
0.818318, -0.911248, -100.237317
0.820190, -0.911248, -100.237317
0.821922, -0.911248, -100.237317
0.824080, -0.911248, -100.237317
0.827769, -0.911248, -100.237317
0.887638, -0.911248, -100.237317
0.889993, -0.911248, -100.237317
0.892031, -0.911248, -100.237317
0.894031, -0.911248, -100.237317
0.896347, -0.911248, -100.237317
0.898457, -0.911248, -100.237317
0.901105, -0.911248, -100.237317
0.902991, -0.911248, -100.237317
0.904918, -0.911248, -100.237317
0.906682, -0.911248, -100.237317
0.908434, -0.911248, -100.237317
0.910123, -0.913797, -100.517700
0.911785, -0.911248, -100.237317
0.913438, -0.913797, -100.517700
0.915104, -0.911248, -100.237317
0.916868, -0.911248, -100.237317
0.918756, -0.911248, -100.237317
0.920619, -0.911248, -100.237317
0.922278, -0.911248, -100.237317
0.924213, -0.911248, -100.237317
0.925879, -0.911248, -100.237317
0.927535, -0.911248, -100.237317
0.929328, -0.911248, -100.237317
0.931219, -0.911248, -100.237317
0.933136, -0.911248, -100.237317
0.934960, -0.911248, -100.237317
0.936839, -0.911248, -100.237317
0.938850, -0.911248, -100.237317
0.940680, -0.911248, -100.237317
0.942353, -0.911248, -100.237317
0.944007, -0.911248, -100.237317
0.945654, -0.911248, -100.237317
0.947302, -0.911248, -100.237317
0.949512, -0.911248, -100.237317
0.951530, -0.911248, -100.237317
0.953548, -0.911248, -100.237317
0.955345, -0.911248, -100.237317
0.956991, -0.911248, -100.237317
0.958683, -0.911248, -100.237317
0.960364, -0.913797, -100.517700
0.962020, -0.911248, -100.237317
0.963750, -0.911248, -100.237317
