Time (s),Voltage (V),Pressure
0.536261, 0.974965, 107.246136
0.581849, 0.974965, 107.246136
0.612047, 0.974965, 107.246136
0.636010, 0.974965, 107.246136
0.681892, 0.974965, 107.246136
0.694238, 0.974965, 107.246136
0.696767, 0.974965, 107.246136
0.699132, 0.974965, 107.246136
0.701449, 0.974965, 107.246136
0.703504, 0.974965, 107.246136
0.705486, 0.974965, 107.246136
0.707644, 0.974965, 107.246136
0.710104, 0.974965, 107.246136
0.712048, 0.974965, 107.246136
0.714012, 0.972416, 106.965753
0.715921, 0.974965, 107.246136
0.719198, 0.974965, 107.246136
0.721181, 0.972416, 106.965753
0.722920, 0.974965, 107.246136
0.725717, 0.974965, 107.246136
0.727704, 0.974965, 107.246136
0.729647, 0.974965, 107.246136
0.731504, 0.974965, 107.246136
0.733222, 0.974965, 107.246136
0.734904, 0.974965, 107.246136
0.736624, 0.974965, 107.246136
0.738830, 0.974965, 107.246136
0.740868, 0.974965, 107.246136
0.743674, 0.974965, 107.246136
0.745897, 0.974965, 107.246136
0.747679, 0.974965, 107.246136
0.749412, 0.974965, 107.246136
0.751440, 0.974965, 107.246136
0.753278, 0.974965, 107.246136
0.755014, 0.974965, 107.246136
0.756852, 0.974965, 107.246136
0.759483, 0.974965, 107.246136
0.761501, 0.974965, 107.246136
0.763296, 0.974965, 107.246136
0.765203, 0.974965, 107.246136
0.767414, 0.972416, 106.965753
0.769471, 0.974965, 107.246136
0.771415, 0.974965, 107.246136
0.773510, 0.974965, 107.246136
0.775920, 0.974965, 107.246136
0.778228, 0.974965, 107.246136
0.780265, 0.974965, 107.246136
0.782536, 0.974965, 107.246136
0.784488, 0.972416, 106.965753
0.786382, 0.974965, 107.246136
0.788327, 0.974965, 107.246136
0.790604, 0.974965, 107.246136
0.795588, 0.974965, 107.246136
0.798105, 0.974965, 107.246136
0.800178, 0.974965, 107.246136
0.802630, 0.974965, 107.246136
0.804587, 0.974965, 107.246136
0.806361, 0.977514, 107.526519
0.808373, 0.974965, 107.246136
0.810210, 0.974965, 107.246136
0.812121, 0.974965, 107.246136
0.814104, 0.974965, 107.246136
0.816027, 0.974965, 107.246136
0.817768, 0.974965, 107.246136
0.819459, 0.974965, 107.246136
0.821147, 0.974965, 107.246136
0.823295, 0.974965, 107.246136
0.825284, 0.972416, 106.965753
0.827343, 0.974965, 107.246136
0.829144, 0.974965, 107.246136
0.831357, 0.972416, 106.965753
0.833230, 0.974965, 107.246136
0.835034, 0.974965, 107.246136
0.836880, 0.974965, 107.246136
0.838651, 0.974965, 107.246136
0.840478, 0.972416, 106.965753
0.842422, 0.974965, 107.246136
0.845249, 0.974965, 107.246136
0.847170, 0.974965, 107.246136
0.848959, 0.974965, 107.246136
0.850658, 0.972416, 106.965753
0.852531, 0.974965, 107.246136
0.854626, 0.974965, 107.246136
0.856438, 0.974965, 107.246136
0.858980, 0.972416, 106.965753
0.860867, 0.972416, 106.965753
0.862637, 0.972416, 106.965753
0.865813, 0.972416, 106.965753
0.867970, 0.974965, 107.246136
0.869937, 0.974965, 107.246136
0.871775, 0.972416, 106.965753
0.874300, 0.974965, 107.246136
0.877664, 0.972416, 106.965753
0.880183, 0.974965, 107.246136
0.882479, 0.974965, 107.246136
0.885212, 0.974965, 107.246136
0.887521, 0.972416, 106.965753
0.889421, 0.974965, 107.246136
0.892189, 0.974965, 107.246136
0.896404, 0.972416, 106.965753
0.958765, 0.974965, 107.246136
0.961085, 0.974965, 107.246136
0.963110, 0.972416, 106.965753
0.965343, 0.974965, 107.246136
0.968497, 0.974965, 107.246136
0.970401, 0.974965, 107.246136
0.972283, 0.974965, 107.246136
0.974913, 0.974965, 107.246136
0.977547, 0.974965, 107.246136
0.979365, 0.974965, 107.246136
0.981175, 0.974965, 107.246136
0.982987, 0.974965, 107.246136
0.984695, 0.974965, 107.246136
0.986511, 0.974965, 107.246136
0.988881, 0.974965, 107.246136
0.991559, 0.974965, 107.246136
0.993727, 0.974965, 107.246136
0.995667, 0.974965, 107.246136
0.997533, 0.972416, 106.965753
0.999318, 0.972416, 106.965753
1.001135, 0.974965, 107.246136
1.002884, 0.974965, 107.246136
1.004601, 0.974965, 107.246136
1.006289, 0.974965, 107.246136
1.008620, 0.974965, 107.246136
1.010627, 0.972416, 106.965753
1.012495, 0.974965, 107.246136
1.014226, 0.974965, 107.246136
1.015975, 0.974965, 107.246136
1.017693, 0.974965, 107.246136
1.019523, 0.974965, 107.246136
1.021290, 0.974965, 107.246136
1.023204, 0.974965, 107.246136
1.025327, 0.974965, 107.246136
1.027170, 0.972416, 106.965753
1.029129, 0.974965, 107.246136
1.031037, 0.974965, 107.246136
1.032781, 0.972416, 106.965753
1.034538, 0.974965, 107.246136
1.036241, 0.972416, 106.965753
1.037924, 0.974965, 107.246136
1.039922, 0.974965, 107.246136
1.041702, 0.974965, 107.246136
1.043424, 0.972416, 106.965753
1.045220, 0.974965, 107.246136
1.047062, 0.974965, 107.246136
1.048857, 0.972416, 106.965753
1.050673, 0.974965, 107.246136
1.052532, 0.974965, 107.246136
1.054379, 0.972416, 106.965753
1.056105, 0.974965, 107.246136
1.058096, 0.972416, 106.965753
1.060467, 0.974965, 107.246136
1.062304, 0.972416, 106.965753
1.064104, 0.972416, 106.965753
1.065977, 0.972416, 106.965753
1.067674, 0.974965, 107.246136
1.069461, 0.974965, 107.246136
1.071235, 0.972416, 106.965753
1.072935, 0.974965, 107.246136
1.074850, 0.974965, 107.246136
1.076662, 0.974965, 107.246136
1.078426, 0.974965, 107.246136
1.081165, 0.974965, 107.246136
1.082883, 0.972416, 106.965753
1.084610, 0.972416, 106.965753
1.086392, 0.972416, 106.965753
1.088131, 0.974965, 107.246136
1.091150, 0.974965, 107.246136
1.093498, 0.972416, 106.965753
1.095447, 0.974965, 107.246136
1.097237, 0.972416, 106.965753
1.099012, 0.974965, 107.246136
1.101043, 0.974965, 107.246136
1.102794, 0.972416, 106.965753
1.104554, 0.972416, 106.965753
1.106301, 0.972416, 106.965753
1.109062, 0.974965, 107.246136
1.111224, 0.974965, 107.246136
1.112963, 0.974965, 107.246136
1.114670, 0.972416, 106.965753
1.116421, 0.974965, 107.246136
1.118087, 0.974965, 107.246136
1.119744, 0.974965, 107.246136
1.121898, 0.972416, 106.965753
1.123732, 0.972416, 106.965753
1.125735, 0.972416, 106.965753
