Time (s),Voltage (V),Pressure
0.501820, 0.167320, 18.405232
0.554856, 0.164770, 18.124736
0.586920, 0.162220, 17.844241
0.614781, 0.164770, 18.124736
0.663334, 0.164770, 18.124736
0.676785, 0.164770, 18.124736
0.679137, 0.164770, 18.124736
0.681059, 0.164770, 18.124736
0.682851, 0.164770, 18.124736
0.684649, 0.164770, 18.124736
0.686695, 0.164770, 18.124736
0.690023, 0.164770, 18.124736
0.693277, 0.164770, 18.124736
0.695968, 0.167320, 18.405232
0.699158, 0.164770, 18.124736
0.701735, 0.167320, 18.405232
0.704117, 0.164770, 18.124736
0.706268, 0.164770, 18.124736
0.708377, 0.164770, 18.124736
0.710409, 0.164770, 18.124736
0.712489, 0.167320, 18.405232
0.714555, 0.167320, 18.405232
0.716963, 0.167320, 18.405232
0.719488, 0.167320, 18.405232
0.721749, 0.167320, 18.405232
0.723817, 0.167320, 18.405232
0.725793, 0.167320, 18.405232
0.728433, 0.167320, 18.405232
0.730555, 0.164770, 18.124736
0.732530, 0.164770, 18.124736
0.734892, 0.164770, 18.124736
0.737015, 0.164770, 18.124736
0.738996, 0.164770, 18.124736
0.741061, 0.164770, 18.124736
0.743331, 0.164770, 18.124736
0.745362, 0.167320, 18.405232
0.747648, 0.164770, 18.124736
0.749887, 0.164770, 18.124736
0.751850, 0.164770, 18.124736
0.753797, 0.164770, 18.124736
0.755793, 0.164770, 18.124736
0.757740, 0.164770, 18.124736
0.759621, 0.164770, 18.124736
0.761541, 0.162220, 17.844241
0.763465, 0.164770, 18.124736
0.765366, 0.164770, 18.124736
0.767239, 0.164770, 18.124736
0.769324, 0.164770, 18.124736
0.771215, 0.164770, 18.124736
0.773055, 0.167320, 18.405232
0.774882, 0.164770, 18.124736
0.776805, 0.167320, 18.405232
0.779271, 0.164770, 18.124736
0.781421, 0.164770, 18.124736
0.783518, 0.164770, 18.124736
0.785497, 0.164770, 18.124736
0.787508, 0.164770, 18.124736
0.789488, 0.167320, 18.405232
0.791383, 0.164770, 18.124736
0.793235, 0.164770, 18.124736
0.795105, 0.167320, 18.405232
0.797003, 0.167320, 18.405232
0.798900, 0.167320, 18.405232
0.800722, 0.167320, 18.405232
0.802514, 0.167320, 18.405232
0.804313, 0.164770, 18.124736
0.806116, 0.167320, 18.405232
0.807929, 0.167320, 18.405232
0.809964, 0.167320, 18.405232
0.811899, 0.164770, 18.124736
0.813745, 0.164770, 18.124736
0.815551, 0.164770, 18.124736
0.817345, 0.164770, 18.124736
0.819176, 0.164770, 18.124736
0.820961, 0.164770, 18.124736
0.822754, 0.164770, 18.124736
0.824530, 0.164770, 18.124736
0.826308, 0.164770, 18.124736
0.828131, 0.164770, 18.124736
0.830042, 0.164770, 18.124736
0.831843, 0.164770, 18.124736
0.833621, 0.164770, 18.124736
0.835391, 0.164770, 18.124736
0.837152, 0.164770, 18.124736
0.839055, 0.164770, 18.124736
0.840914, 0.164770, 18.124736
0.842695, 0.164770, 18.124736
0.844481, 0.164770, 18.124736
0.846308, 0.164770, 18.124736
0.848116, 0.164770, 18.124736
0.849972, 0.164770, 18.124736
0.851754, 0.164770, 18.124736
0.853589, 0.164770, 18.124736
0.855480, 0.164770, 18.124736
0.857343, 0.164770, 18.124736
0.859129, 0.164770, 18.124736
0.861103, 0.164770, 18.124736
0.863013, 0.164770, 18.124736
0.865294, 0.167320, 18.405232
0.868876, 0.167320, 18.405232
0.928931, 0.167320, 18.405232
0.931432, 0.167320, 18.405232
0.933584, 0.167320, 18.405232
0.935625, 0.164770, 18.124736
0.937615, 0.164770, 18.124736
0.939565, 0.164770, 18.124736
0.941802, 0.167320, 18.405232
0.944105, 0.164770, 18.124736
0.946227, 0.164770, 18.124736
0.948242, 0.164770, 18.124736
0.950233, 0.164770, 18.124736
0.952591, 0.164770, 18.124736
0.954569, 0.164770, 18.124736
0.956479, 0.164770, 18.124736
0.958359, 0.164770, 18.124736
0.960215, 0.164770, 18.124736
0.962167, 0.164770, 18.124736
0.964064, 0.164770, 18.124736
0.965933, 0.164770, 18.124736
0.967763, 0.164770, 18.124736
0.969595, 0.162220, 17.844241
0.971447, 0.162220, 17.844241
0.973290, 0.164770, 18.124736
0.975103, 0.164770, 18.124736
0.976907, 0.164770, 18.124736
0.978744, 0.164770, 18.124736
0.980555, 0.164770, 18.124736
0.982388, 0.167320, 18.405232
0.984367, 0.164770, 18.124736
0.986290, 0.164770, 18.124736
0.988178, 0.164770, 18.124736
0.990054, 0.164770, 18.124736
0.991954, 0.164770, 18.124736
0.993912, 0.164770, 18.124736
0.995835, 0.167320, 18.405232
