Time (s),Voltage (V),Pressure
0.493179, 0.072641, 7.990538
0.533782, 0.072641, 7.990538
0.560024, 0.072641, 7.990538
0.581202, 0.072641, 7.990538
0.627020, 0.072641, 7.990538
0.638834, 0.072641, 7.990538
0.641181, 0.072641, 7.990538
0.643209, 0.072641, 7.990538
0.645195, 0.072641, 7.990538
0.647159, 0.070092, 7.710155
0.649159, 0.072641, 7.990538
0.651142, 0.072641, 7.990538
0.653080, 0.072641, 7.990538
0.655001, 0.070092, 7.710155
0.656904, 0.072641, 7.990538
0.659195, 0.072641, 7.990538
0.662879, 0.072641, 7.990538
0.665214, 0.072641, 7.990538
0.667196, 0.072641, 7.990538
0.669609, 0.070092, 7.710155
0.671654, 0.072641, 7.990538
0.673933, 0.072641, 7.990538
0.675714, 0.072641, 7.990538
0.677489, 0.072641, 7.990538
0.679306, 0.072641, 7.990538
0.681325, 0.072641, 7.990538
0.683346, 0.072641, 7.990538
0.685356, 0.072641, 7.990538
0.687353, 0.072641, 7.990538
0.689269, 0.072641, 7.990538
0.691171, 0.072641, 7.990538
0.693025, 0.072641, 7.990538
0.694909, 0.072641, 7.990538
0.696753, 0.072641, 7.990538
0.698634, 0.072641, 7.990538
0.700500, 0.072641, 7.990538
0.702358, 0.072641, 7.990538
0.704575, 0.072641, 7.990538
0.706427, 0.072641, 7.990538
0.708181, 0.072641, 7.990538
0.710036, 0.072641, 7.990538
0.711906, 0.072641, 7.990538
0.713685, 0.072641, 7.990538
0.715501, 0.072641, 7.990538
0.717268, 0.072641, 7.990538
0.719081, 0.072641, 7.990538
0.720876, 0.072641, 7.990538
0.723118, 0.072641, 7.990538
0.725009, 0.072641, 7.990538
0.726737, 0.072641, 7.990538
0.728453, 0.072641, 7.990538
0.730405, 0.072641, 7.990538
0.732352, 0.072641, 7.990538
0.734246, 0.072641, 7.990538
0.736056, 0.072641, 7.990538
0.737923, 0.072641, 7.990538
0.740209, 0.072641, 7.990538
0.742460, 0.070092, 7.710155
0.744246, 0.072641, 7.990538
0.745936, 0.072641, 7.990538
0.747671, 0.072641, 7.990538
0.749542, 0.072641, 7.990538
0.751343, 0.072641, 7.990538
0.753244, 0.070092, 7.710155
0.755111, 0.072641, 7.990538
0.756833, 0.072641, 7.990538
0.758537, 0.072641, 7.990538
0.760388, 0.070092, 7.710155
0.762174, 0.072641, 7.990538
0.764032, 0.072641, 7.990538
0.765935, 0.072641, 7.990538
0.767856, 0.072641, 7.990538
0.769730, 0.072641, 7.990538
0.771763, 0.072641, 7.990538
0.773671, 0.072641, 7.990538
0.775581, 0.072641, 7.990538
0.777309, 0.072641, 7.990538
0.779084, 0.072641, 7.990538
0.780957, 0.072641, 7.990538
0.782826, 0.072641, 7.990538
0.784732, 0.072641, 7.990538
0.786572, 0.072641, 7.990538
0.788300, 0.072641, 7.990538
0.790013, 0.072641, 7.990538
0.792795, 0.072641, 7.990538
0.794716, 0.072641, 7.990538
0.796456, 0.072641, 7.990538
0.798125, 0.072641, 7.990538
0.799939, 0.070092, 7.710155
0.801961, 0.072641, 7.990538
0.803864, 0.072641, 7.990538
0.805779, 0.072641, 7.990538
0.807570, 0.072641, 7.990538
0.809279, 0.072641, 7.990538
0.811329, 0.072641, 7.990538
0.813089, 0.072641, 7.990538
0.814823, 0.072641, 7.990538
0.816775, 0.072641, 7.990538
0.819006, 0.072641, 7.990538
0.823142, 0.072641, 7.990538
0.885546, 0.072641, 7.990538
0.888160, 0.072641, 7.990538
0.890248, 0.072641, 7.990538
0.892166, 0.072641, 7.990538
0.894094, 0.072641, 7.990538
0.895820, 0.072641, 7.990538
0.897524, 0.072641, 7.990538
0.900684, 0.072641, 7.990538
0.902864, 0.072641, 7.990538
0.904820, 0.072641, 7.990538
0.906876, 0.072641, 7.990538
0.908669, 0.072641, 7.990538
0.910418, 0.072641, 7.990538
0.912164, 0.072641, 7.990538
0.914133, 0.072641, 7.990538
0.916945, 0.072641, 7.990538
0.918990, 0.072641, 7.990538
0.920983, 0.072641, 7.990538
0.922775, 0.070092, 7.710155
0.924546, 0.072641, 7.990538
0.926298, 0.070092, 7.710155
0.928068, 0.072641, 7.990538
0.929922, 0.072641, 7.990538
0.931902, 0.072641, 7.990538
0.933816, 0.072641, 7.990538
0.935774, 0.072641, 7.990538
0.937682, 0.070092, 7.710155
0.939464, 0.072641, 7.990538
0.941231, 0.072641, 7.990538
0.942971, 0.072641, 7.990538
0.945253, 0.072641, 7.990538
0.947956, 0.072641, 7.990538
0.949881, 0.072641, 7.990538
0.951835, 0.072641, 7.990538
0.953791, 0.070092, 7.710155
0.955729, 0.072641, 7.990538
0.957541, 0.072641, 7.990538
0.959391, 0.072641, 7.990538
0.961224, 0.070092, 7.710155
0.963260, 0.072641, 7.990538
0.965124, 0.072641, 7.990538
0.967183, 0.072641, 7.990538
0.969496, 0.072641, 7.990538
0.971426, 0.072641, 7.990538
0.973168, 0.072641, 7.990538
0.974841, 0.072641, 7.990538
0.976528, 0.072641, 7.990538
0.978237, 0.072641, 7.990538
0.980145, 0.072641, 7.990538
0.982068, 0.072641, 7.990538
0.984098, 0.072641, 7.990538
0.986080, 0.072641, 7.990538
0.987858, 0.072641, 7.990538
0.989727, 0.072641, 7.990538
0.991483, 0.072641, 7.990538
0.993216, 0.072641, 7.990538
0.994933, 0.072641, 7.990538
0.996638, 0.072641, 7.990538
0.998389, 0.072641, 7.990538
1.000375, 0.072641, 7.990538
1.002285, 0.072641, 7.990538
1.004223, 0.072641, 7.990538
1.005963, 0.072641, 7.990538
1.007690, 0.072641, 7.990538
1.009586, 0.072641, 7.990538
1.011493, 0.072641, 7.990538
1.013262, 0.072641, 7.990538
1.015088, 0.072641, 7.990538
1.018795, 0.072641, 7.990538
1.021116, 0.072641, 7.990538
1.023061, 0.072641, 7.990538
1.024947, 0.072641, 7.990538
1.026808, 0.070092, 7.710155
1.028645, 0.070092, 7.710155
1.030592, 0.072641, 7.990538
1.032521, 0.070092, 7.710155
1.034380, 0.070092, 7.710155
1.036219, 0.072641, 7.990538
1.038023, 0.072641, 7.990538
1.039798, 0.070092, 7.710155
1.042766, 0.072641, 7.990538
1.045439, 0.072641, 7.990538
1.048061, 0.072641, 7.990538
1.050770, 0.072641, 7.990538
1.052815, 0.072641, 7.990538
1.054726, 0.072641, 7.990538
1.056582, 0.072641, 7.990538
1.058407, 0.072641, 7.990538
1.060875, 0.072641, 7.990538
1.062653, 0.072641, 7.990538
1.064385, 0.072641, 7.990538
1.066195, 0.072641, 7.990538
1.068052, 0.072641, 7.990538
1.069876, 0.072641, 7.990538
1.071800, 0.072641, 7.990538
1.073640, 0.072641, 7.990538
1.075538, 0.070092, 7.710155
1.077250, 0.072641, 7.990538
1.078974, 0.072641, 7.990538
1.081181, 0.070092, 7.710155
1.084615, 0.072641, 7.990538
1.086566, 0.072641, 7.990538
1.088350, 0.072641, 7.990538
1.090158, 0.072641, 7.990538
1.092142, 0.072641, 7.990538
1.094013, 0.070092, 7.710155
1.095934, 0.072641, 7.990538
1.097676, 0.072641, 7.990538
1.099511, 0.072641, 7.990538
1.101399, 0.072641, 7.990538
1.103439, 0.072641, 7.990538
1.105266, 0.072641, 7.990538
1.107201, 0.072641, 7.990538
1.108928, 0.072641, 7.990538
1.110643, 0.072641, 7.990538
1.112425, 0.070092, 7.710155
1.114279, 0.072641, 7.990538
1.116296, 0.072641, 7.990538
1.118275, 0.072641, 7.990538
1.120197, 0.072641, 7.990538
1.122127, 0.072641, 7.990538
1.124139, 0.072641, 7.990538
1.126028, 0.072641, 7.990538
1.127831, 0.072641, 7.990538
1.129622, 0.072641, 7.990538
1.131418, 0.072641, 7.990538
1.133695, 0.072641, 7.990538
1.135539, 0.072641, 7.990538
1.137370, 0.072641, 7.990538
1.139177, 0.072641, 7.990538
1.140965, 0.072641, 7.990538
1.142893, 0.070092, 7.710155
1.144713, 0.072641, 7.990538
1.146498, 0.072641, 7.990538
1.148291, 0.072641, 7.990538
1.150160, 0.072641, 7.990538
1.151978, 0.072641, 7.990538
1.154151, 0.072641, 7.990538
1.156252, 0.072641, 7.990538
1.158090, 0.072641, 7.990538
1.159821, 0.072641, 7.990538
1.161573, 0.070092, 7.710155
1.163409, 0.070092, 7.710155
1.165186, 0.072641, 7.990538
1.167276, 0.070092, 7.710155
1.169133, 0.072641, 7.990538
1.171044, 0.072641, 7.990538
