Time (s),Voltage (V),Pressure
0.478374, -0.115725, -12.729792
0.518079, -0.118275, -13.010287
0.543380, -0.118275, -13.010287
0.566417, -0.118275, -13.010287
0.610797, -0.118275, -13.010287
0.623961, -0.118275, -13.010287
0.626694, -0.115725, -12.729792
0.628956, -0.115725, -12.729792
0.631093, -0.115725, -12.729792
0.633147, -0.118275, -13.010287
0.635150, -0.118275, -13.010287
0.637107, -0.118275, -13.010287
0.639118, -0.118275, -13.010287
0.641036, -0.118275, -13.010287
0.642942, -0.120825, -13.290783
0.647663, -0.120825, -13.290783
0.649928, -0.120825, -13.290783
0.651723, -0.118275, -13.010287
0.653432, -0.118275, -13.010287
0.655114, -0.118275, -13.010287
0.656801, -0.118275, -13.010287
0.658602, -0.118275, -13.010287
0.660302, -0.118275, -13.010287
0.661971, -0.118275, -13.010287
0.663694, -0.120825, -13.290783
0.665409, -0.118275, -13.010287
0.667237, -0.118275, -13.010287
0.669276, -0.118275, -13.010287
0.671138, -0.118275, -13.010287
0.673002, -0.118275, -13.010287
0.674714, -0.118275, -13.010287
0.676415, -0.118275, -13.010287
0.678242, -0.118275, -13.010287
0.679991, -0.118275, -13.010287
0.681775, -0.118275, -13.010287
0.683581, -0.118275, -13.010287
0.685463, -0.118275, -13.010287
0.687166, -0.118275, -13.010287
0.689000, -0.118275, -13.010287
0.690742, -0.118275, -13.010287
0.692663, -0.115725, -12.729792
0.694394, -0.115725, -12.729792
0.696184, -0.115725, -12.729792
0.698059, -0.115725, -12.729792
0.699898, -0.115725, -12.729792
0.701725, -0.118275, -13.010287
0.703598, -0.118275, -13.010287
0.705305, -0.118275, -13.010287
0.707010, -0.118275, -13.010287
0.708843, -0.118275, -13.010287
0.710674, -0.118275, -13.010287
0.712575, -0.118275, -13.010287
0.714359, -0.118275, -13.010287
0.716142, -0.118275, -13.010287
0.717904, -0.118275, -13.010287
0.719962, -0.118275, -13.010287
0.721955, -0.118275, -13.010287
0.723907, -0.118275, -13.010287
0.725647, -0.118275, -13.010287
0.727379, -0.118275, -13.010287
0.729273, -0.120825, -13.290783
0.731052, -0.120825, -13.290783
0.732924, -0.120825, -13.290783
0.734823, -0.120825, -13.290783
0.736535, -0.120825, -13.290783
0.738261, -0.120825, -13.290783
0.740117, -0.118275, -13.010287
0.741837, -0.118275, -13.010287
0.743545, -0.118275, -13.010287
0.745264, -0.118275, -13.010287
0.747031, -0.118275, -13.010287
0.748857, -0.118275, -13.010287
0.750784, -0.118275, -13.010287
0.752770, -0.118275, -13.010287
0.754575, -0.118275, -13.010287
0.756289, -0.118275, -13.010287
0.758005, -0.115725, -12.729792
0.760055, -0.115725, -12.729792
