Time (s),Voltage (V),Pressure
0.485748, 0.325418, 35.795966
0.526875, 0.325418, 35.795966
0.552541, 0.325418, 35.795966
0.573918, 0.325418, 35.795966
0.618575, 0.325418, 35.795966
0.631661, 0.325418, 35.795966
0.634532, 0.325418, 35.795966
0.636998, 0.325418, 35.795966
0.639184, 0.322868, 35.515471
0.641307, 0.325418, 35.795966
0.643386, 0.325418, 35.795966
0.645476, 0.325418, 35.795966
0.647502, 0.325418, 35.795966
0.649478, 0.325418, 35.795966
0.651443, 0.325418, 35.795966
0.653440, 0.325418, 35.795966
0.656965, 0.327968, 36.076462
0.659076, 0.325418, 35.795966
0.661137, 0.325418, 35.795966
0.662861, 0.325418, 35.795966
0.664607, 0.325418, 35.795966
0.666392, 0.325418, 35.795966
0.668281, 0.325418, 35.795966
0.670153, 0.325418, 35.795966
0.672137, 0.325418, 35.795966
0.674007, 0.325418, 35.795966
0.675758, 0.325418, 35.795966
0.677559, 0.325418, 35.795966
0.679306, 0.325418, 35.795966
0.681034, 0.325418, 35.795966
0.682742, 0.325418, 35.795966
0.684516, 0.325418, 35.795966
0.686372, 0.325418, 35.795966
0.688480, 0.325418, 35.795966
0.690948, 0.325418, 35.795966
0.692989, 0.325418, 35.795966
0.694726, 0.325418, 35.795966
0.696448, 0.325418, 35.795966
0.698246, 0.325418, 35.795966
0.700223, 0.325418, 35.795966
0.702248, 0.325418, 35.795966
0.704105, 0.325418, 35.795966
0.706213, 0.325418, 35.795966
0.708024, 0.325418, 35.795966
0.709983, 0.325418, 35.795966
0.711965, 0.325418, 35.795966
0.713688, 0.325418, 35.795966
0.715469, 0.325418, 35.795966
0.717225, 0.325418, 35.795966
0.719059, 0.325418, 35.795966
0.721019, 0.327968, 36.076462
0.723189, 0.325418, 35.795966
0.724934, 0.325418, 35.795966
0.726704, 0.325418, 35.795966
0.728692, 0.325418, 35.795966
0.730649, 0.325418, 35.795966
0.732465, 0.325418, 35.795966
0.734676, 0.325418, 35.795966
0.736463, 0.325418, 35.795966
0.738493, 0.325418, 35.795966
0.740614, 0.325418, 35.795966
0.742441, 0.325418, 35.795966
0.744212, 0.327968, 36.076462
0.745965, 0.325418, 35.795966
0.747720, 0.325418, 35.795966
0.749536, 0.325418, 35.795966
0.751578, 0.325418, 35.795966
0.753616, 0.325418, 35.795966
0.755835, 0.325418, 35.795966
0.757577, 0.325418, 35.795966
0.759356, 0.325418, 35.795966
0.761161, 0.325418, 35.795966
0.763163, 0.325418, 35.795966
0.765038, 0.325418, 35.795966
0.766756, 0.325418, 35.795966
0.768547, 0.325418, 35.795966
0.770448, 0.325418, 35.795966
0.772545, 0.325418, 35.795966
0.774439, 0.325418, 35.795966
0.776177, 0.325418, 35.795966
0.777899, 0.325418, 35.795966
0.779692, 0.325418, 35.795966
0.781446, 0.325418, 35.795966
0.783155, 0.325418, 35.795966
0.784911, 0.325418, 35.795966
0.786744, 0.325418, 35.795966
0.788740, 0.325418, 35.795966
0.790928, 0.325418, 35.795966
0.792712, 0.325418, 35.795966
0.794459, 0.325418, 35.795966
0.796240, 0.325418, 35.795966
0.798009, 0.325418, 35.795966
0.799928, 0.325418, 35.795966
0.801790, 0.325418, 35.795966
