Time (s),Voltage (V),Pressure
1.196939, 0.773599, 85.095875
1.270874, 0.773599, 85.095875
1.299906, 0.773599, 85.095875
1.324091, 0.773599, 85.095875
1.379478, 0.773599, 85.095875
1.394174, 0.773599, 85.095875
1.397553, 0.773599, 85.095875
1.400226, 0.773599, 85.095875
1.403682, 0.773599, 85.095875
1.406106, 0.773599, 85.095875
1.408437, 0.773599, 85.095875
1.411054, 0.776148, 85.376259
1.413367, 0.776148, 85.376259
1.415617, 0.773599, 85.095875
1.417861, 0.773599, 85.095875
1.420044, 0.771050, 84.815492
1.422222, 0.771050, 84.815492
1.424545, 0.771050, 84.815492
1.427723, 0.771050, 84.815492
1.430119, 0.773599, 85.095875
1.432337, 0.771050, 84.815492
1.434549, 0.773599, 85.095875
1.436952, 0.773599, 85.095875
1.439494, 0.773599, 85.095875
1.441959, 0.773599, 85.095875
1.444824, 0.776148, 85.376259
1.447469, 0.773599, 85.095875
1.449808, 0.773599, 85.095875
1.452284, 0.773599, 85.095875
1.455123, 0.773599, 85.095875
1.458679, 0.773599, 85.095875
1.461762, 0.773599, 85.095875
1.464263, 0.771050, 84.815492
1.466549, 0.771050, 84.815492
1.468801, 0.771050, 84.815492
1.470980, 0.773599, 85.095875
1.473124, 0.773599, 85.095875
1.475264, 0.773599, 85.095875
1.477469, 0.771050, 84.815492
1.479651, 0.771050, 84.815492
1.481746, 0.773599, 85.095875
1.484055, 0.771050, 84.815492
1.486166, 0.771050, 84.815492
1.488278, 0.771050, 84.815492
1.490358, 0.773599, 85.095875
1.492430, 0.773599, 85.095875
1.494555, 0.773599, 85.095875
1.496606, 0.773599, 85.095875
1.498745, 0.773599, 85.095875
1.500789, 0.776148, 85.376259
1.502821, 0.776148, 85.376259
1.505071, 0.776148, 85.376259
1.507621, 0.776148, 85.376259
1.510290, 0.773599, 85.095875
1.512669, 0.773599, 85.095875
1.514982, 0.773599, 85.095875
1.517140, 0.773599, 85.095875
1.519225, 0.773599, 85.095875
1.521561, 0.773599, 85.095875
1.523998, 0.773599, 85.095875
1.526340, 0.773599, 85.095875
1.528530, 0.776148, 85.376259
1.530555, 0.776148, 85.376259
