Time (s),Voltage (V),Pressure
0.500675, 0.044922, 4.941438
0.542449, 0.044922, 4.941438
0.568449, 0.044922, 4.941438
0.588549, 0.044922, 4.941438
0.633719, 0.044922, 4.941438
0.646427, 0.044922, 4.941438
0.648917, 0.044922, 4.941438
0.651293, 0.044922, 4.941438
0.653761, 0.044922, 4.941438
0.656050, 0.044922, 4.941438
0.658375, 0.044922, 4.941438
0.660904, 0.044922, 4.941438
0.663177, 0.044922, 4.941438
0.665542, 0.044922, 4.941438
0.667548, 0.044922, 4.941438
0.669542, 0.044922, 4.941438
0.671580, 0.044922, 4.941438
0.673805, 0.044922, 4.941438
0.678095, 0.044922, 4.941438
0.680364, 0.044922, 4.941438
0.682546, 0.044922, 4.941438
0.684744, 0.044922, 4.941438
0.686754, 0.044922, 4.941438
0.688769, 0.044922, 4.941438
0.691013, 0.044922, 4.941438
0.693304, 0.044922, 4.941438
0.695523, 0.044922, 4.941438
0.697452, 0.044922, 4.941438
0.699387, 0.044922, 4.941438
0.701324, 0.044922, 4.941438
0.703341, 0.044922, 4.941438
0.705613, 0.044922, 4.941438
0.707949, 0.044922, 4.941438
0.710185, 0.044922, 4.941438
0.712202, 0.044922, 4.941438
0.714166, 0.044922, 4.941438
0.716110, 0.044922, 4.941438
0.718062, 0.044922, 4.941438
0.720000, 0.044922, 4.941438
0.722157, 0.044922, 4.941438
0.724266, 0.044922, 4.941438
0.726542, 0.044922, 4.941438
0.728490, 0.044922, 4.941438
0.730433, 0.044922, 4.941438
0.732435, 0.044922, 4.941438
0.734606, 0.044922, 4.941438
0.736763, 0.044922, 4.941438
0.738998, 0.044922, 4.941438
0.741135, 0.044922, 4.941438
0.743963, 0.044922, 4.941438
0.746194, 0.044922, 4.941438
0.748563, 0.044922, 4.941438
0.750714, 0.044922, 4.941438
0.753046, 0.044922, 4.941438
0.756613, 0.044922, 4.941438
0.758805, 0.044922, 4.941438
0.760967, 0.044922, 4.941438
0.763428, 0.044922, 4.941438
0.766163, 0.044922, 4.941438
0.768281, 0.044922, 4.941438
0.770472, 0.044922, 4.941438
0.772680, 0.044922, 4.941438
0.774932, 0.044922, 4.941438
0.776983, 0.044922, 4.941438
0.779024, 0.044922, 4.941438
0.781197, 0.044922, 4.941438
0.783389, 0.044922, 4.941438
0.785365, 0.044922, 4.941438
0.787560, 0.044922, 4.941438
0.789880, 0.044922, 4.941438
0.791956, 0.044922, 4.941438
0.794626, 0.044922, 4.941438
0.796722, 0.044922, 4.941438
0.798773, 0.042372, 4.660942
0.800797, 0.044922, 4.941438
0.802817, 0.044922, 4.941438
0.804911, 0.044922, 4.941438
0.806937, 0.044922, 4.941438
0.808949, 0.044922, 4.941438
0.810936, 0.044922, 4.941438
0.813064, 0.044922, 4.941438
0.815069, 0.044922, 4.941438
0.817106, 0.044922, 4.941438
0.819258, 0.044922, 4.941438
0.821312, 0.044922, 4.941438
0.823317, 0.044922, 4.941438
0.825779, 0.044922, 4.941438
0.828037, 0.044922, 4.941438
0.830062, 0.044922, 4.941438
0.832323, 0.044922, 4.941438
0.834422, 0.044922, 4.941438
0.836713, 0.044922, 4.941438
0.838870, 0.044922, 4.941438
0.841251, 0.044922, 4.941438
0.843316, 0.044922, 4.941438
0.845464, 0.044922, 4.941438
0.847426, 0.044922, 4.941438
0.849380, 0.044922, 4.941438
0.851772, 0.044922, 4.941438
0.856653, 0.044922, 4.941438
0.920017, 0.044922, 4.941438
0.922793, 0.044922, 4.941438
0.924821, 0.044922, 4.941438
0.926922, 0.044922, 4.941438
0.928880, 0.044922, 4.941438
0.930773, 0.044922, 4.941438
0.932663, 0.044922, 4.941438
0.934549, 0.044922, 4.941438
0.936462, 0.044922, 4.941438
0.938448, 0.044922, 4.941438
0.940529, 0.044922, 4.941438
0.942654, 0.044922, 4.941438
0.944667, 0.044922, 4.941438
0.946568, 0.044922, 4.941438
0.948480, 0.044922, 4.941438
0.950579, 0.044922, 4.941438
0.952738, 0.044922, 4.941438
0.954703, 0.044922, 4.941438
0.956711, 0.044922, 4.941438
0.958907, 0.044922, 4.941438
0.960994, 0.044922, 4.941438
0.963068, 0.044922, 4.941438
0.965211, 0.044922, 4.941438
0.967134, 0.044922, 4.941438
0.969115, 0.044922, 4.941438
0.971165, 0.044922, 4.941438
0.973183, 0.044922, 4.941438
