Time (s),Voltage (V),Pressure
0.736229, 0.067543, 6.141037
0.799175, 0.067543, 6.141037
0.846224, 0.064994, 5.909310
0.881721, 0.067543, 6.141037
0.965961, 0.067543, 6.141037
0.986269, 0.067543, 6.141037
0.990417, 0.067543, 6.141037
0.993934, 0.067543, 6.141037
0.997308, 0.067543, 6.141037
1.000661, 0.064994, 5.909310
1.003904, 0.064994, 5.909310
1.007149, 0.067543, 6.141037
1.011577, 0.067543, 6.141037
1.014533, 0.067543, 6.141037
1.017402, 0.067543, 6.141037
1.020898, 0.064994, 5.909310
1.026726, 0.067543, 6.141037
1.030389, 0.064994, 5.909310
1.033955, 0.067543, 6.141037
1.037378, 0.067543, 6.141037
1.040772, 0.067543, 6.141037
1.044606, 0.067543, 6.141037
1.048351, 0.067543, 6.141037
1.051502, 0.067543, 6.141037
1.055256, 0.067543, 6.141037
1.058879, 0.067543, 6.141037
1.061373, 0.067543, 6.141037
1.063837, 0.067543, 6.141037
1.067261, 0.067543, 6.141037
1.070943, 0.067543, 6.141037
1.074203, 0.067543, 6.141037
1.076890, 0.067543, 6.141037
1.080299, 0.064994, 5.909310
1.082738, 0.067543, 6.141037
1.085497, 0.064994, 5.909310
1.088554, 0.067543, 6.141037
1.092009, 0.064994, 5.909310
1.095923, 0.064994, 5.909310
1.099160, 0.067543, 6.141037
1.102454, 0.064994, 5.909310
1.106871, 0.064994, 5.909310
1.109893, 0.067543, 6.141037
1.114692, 0.067543, 6.141037
1.120159, 0.064994, 5.909310
1.126098, 0.064994, 5.909310
1.131310, 0.067543, 6.141037
1.136064, 0.064994, 5.909310
1.140902, 0.067543, 6.141037
1.143550, 0.067543, 6.141037
1.148041, 0.067543, 6.141037
1.153392, 0.067543, 6.141037
1.158510, 0.067543, 6.141037
1.161175, 0.067543, 6.141037
1.163844, 0.064994, 5.909310
1.167272, 0.067543, 6.141037
1.170645, 0.067543, 6.141037
1.174235, 0.064994, 5.909310
1.179611, 0.067543, 6.141037
1.185731, 0.067543, 6.141037
1.190356, 0.067543, 6.141037
1.195141, 0.064994, 5.909310
1.200348, 0.067543, 6.141037
1.204229, 0.064994, 5.909310
1.207316, 0.067543, 6.141037
1.210237, 0.067543, 6.141037
1.213248, 0.067543, 6.141037
1.216365, 0.067543, 6.141037
1.220057, 0.067543, 6.141037
1.222843, 0.067543, 6.141037
1.226497, 0.067543, 6.141037
1.229477, 0.067543, 6.141037
