Time (s),Voltage (V),Pressure
0.488992, -0.006077, -0.552183
0.535342, -0.003527, -0.320359
0.561709, -0.006077, -0.552183
0.583727, -0.008627, -0.784008
0.628363, -0.011177, -1.015833
0.641339, -0.016277, -1.479482
0.644114, -0.018827, -1.711306
0.646269, -0.018827, -1.711306
0.648331, -0.011177, -1.015833
0.650325, -0.008627, -0.784008
0.652288, -0.008627, -0.784008
0.654632, -0.006077, -0.552183
0.656815, -0.008627, -0.784008
0.659088, -0.011177, -1.015833
0.661087, -0.013727, -1.247657
0.664672, -0.013727, -1.247657
0.666728, -0.008627, -0.784008
0.668702, -0.006077, -0.552183
0.670763, -0.008627, -0.784008
0.672840, -0.011177, -1.015833
0.674982, -0.013727, -1.247657
0.676907, -0.011177, -1.015833
0.678778, -0.011177, -1.015833
0.680647, -0.011177, -1.015833
0.682499, -0.011177, -1.015833
0.684480, -0.008627, -0.784008
0.686367, -0.008627, -0.784008
0.688225, -0.006077, -0.552183
0.690116, -0.006077, -0.552183
0.691964, -0.008627, -0.784008
0.694055, -0.011177, -1.015833
0.695928, -0.011177, -1.015833
0.697760, -0.013727, -1.247657
0.699587, -0.013727, -1.247657
0.701392, -0.013727, -1.247657
0.703187, -0.011177, -1.015833
0.705394, -0.013727, -1.247657
0.707276, -0.011177, -1.015833
0.709074, -0.008627, -0.784008
0.710855, -0.008627, -0.784008
0.712622, -0.008627, -0.784008
0.714513, -0.013727, -1.247657
0.716295, -0.013727, -1.247657
0.718068, -0.013727, -1.247657
0.719826, -0.016277, -1.479482
0.721633, -0.016277, -1.479482
0.723414, -0.013727, -1.247657
0.725413, -0.008627, -0.784008
0.727237, -0.011177, -1.015833
0.729027, -0.008627, -0.784008
0.730819, -0.008627, -0.784008
0.732710, -0.011177, -1.015833
0.734934, -0.008627, -0.784008
0.736965, -0.008627, -0.784008
0.739181, -0.011177, -1.015833
0.741362, -0.011177, -1.015833
0.743383, -0.008627, -0.784008
0.745657, -0.008627, -0.784008
0.747641, -0.011177, -1.015833
0.749565, -0.013727, -1.247657
0.751384, -0.016277, -1.479482
0.753176, -0.016277, -1.479482
0.755089, -0.016277, -1.479482
0.756948, -0.011177, -1.015833
0.758874, -0.013727, -1.247657
0.760733, -0.013727, -1.247657
0.762547, -0.013727, -1.247657
0.764453, -0.011177, -1.015833
0.766307, -0.013727, -1.247657
0.768183, -0.013727, -1.247657
0.769993, -0.013727, -1.247657
0.771836, -0.011177, -1.015833
0.773671, -0.008627, -0.784008
0.775742, -0.011177, -1.015833
0.777711, -0.011177, -1.015833
0.779505, -0.016277, -1.479482
0.781355, -0.016277, -1.479482
0.783169, -0.011177, -1.015833
