Time (s),Voltage (V),Pressure
0.494443, 0.029309, 2.665141
0.533219, 0.029309, 2.665141
0.564425, 0.029309, 2.665141
0.588443, 0.029309, 2.665141
0.637171, 0.029309, 2.665141
0.649562, 0.029309, 2.665141
0.652039, 0.026760, 2.433414
0.654307, 0.024211, 2.201688
0.656380, 0.029309, 2.665141
0.658365, 0.029309, 2.665141
0.660291, 0.029309, 2.665141
0.662763, 0.029309, 2.665141
0.665210, 0.029309, 2.665141
0.667710, 0.029309, 2.665141
0.670249, 0.029309, 2.665141
0.672963, 0.029309, 2.665141
0.677678, 0.029309, 2.665141
0.680535, 0.029309, 2.665141
0.682950, 0.029309, 2.665141
0.685191, 0.029309, 2.665141
0.687366, 0.029309, 2.665141
0.689404, 0.029309, 2.665141
0.691393, 0.029309, 2.665141
0.693389, 0.029309, 2.665141
0.695358, 0.029309, 2.665141
0.697309, 0.029309, 2.665141
0.699345, 0.029309, 2.665141
0.701486, 0.029309, 2.665141
0.703698, 0.031858, 2.896867
0.705781, 0.029309, 2.665141
0.707702, 0.029309, 2.665141
0.709590, 0.026760, 2.433414
0.711489, 0.029309, 2.665141
0.713750, 0.029309, 2.665141
0.715718, 0.029309, 2.665141
0.717518, 0.029309, 2.665141
0.719464, 0.026760, 2.433414
0.721392, 0.029309, 2.665141
0.723274, 0.029309, 2.665141
0.725229, 0.029309, 2.665141
0.727116, 0.029309, 2.665141
0.729020, 0.029309, 2.665141
0.730871, 0.029309, 2.665141
0.732716, 0.029309, 2.665141
0.734632, 0.029309, 2.665141
0.736599, 0.029309, 2.665141
0.738439, 0.029309, 2.665141
0.740265, 0.029309, 2.665141
0.742047, 0.029309, 2.665141
0.743842, 0.031858, 2.896867
0.745657, 0.026760, 2.433414
0.747600, 0.024211, 2.201688
0.749812, 0.026760, 2.433414
0.751986, 0.026760, 2.433414
0.754340, 0.029309, 2.665141
0.756541, 0.029309, 2.665141
0.758616, 0.029309, 2.665141
0.760660, 0.026760, 2.433414
0.762699, 0.031858, 2.896867
0.764805, 0.034407, 3.128594
0.766937, 0.031858, 2.896867
0.768936, 0.029309, 2.665141
0.771189, 0.026760, 2.433414
0.773245, 0.029309, 2.665141
0.775374, 0.029309, 2.665141
0.777506, 0.029309, 2.665141
0.779332, 0.029309, 2.665141
0.781127, 0.026760, 2.433414
0.782902, 0.029309, 2.665141
0.784666, 0.029309, 2.665141
0.786811, 0.029309, 2.665141
0.788790, 0.026760, 2.433414
0.790648, 0.026760, 2.433414
0.792503, 0.026760, 2.433414
0.794337, 0.029309, 2.665141
0.796177, 0.029309, 2.665141
0.798006, 0.029309, 2.665141
0.799804, 0.029309, 2.665141
0.801586, 0.029309, 2.665141
0.803406, 0.029309, 2.665141
0.805205, 0.029309, 2.665141
0.807084, 0.029309, 2.665141
0.808880, 0.026760, 2.433414
0.810651, 0.029309, 2.665141
0.812403, 0.031858, 2.896867
0.814160, 0.029309, 2.665141
0.815950, 0.029309, 2.665141
0.817767, 0.029309, 2.665141
0.819548, 0.029309, 2.665141
0.821354, 0.029309, 2.665141
0.823111, 0.029309, 2.665141
0.824865, 0.029309, 2.665141
0.826652, 0.029309, 2.665141
0.828431, 0.029309, 2.665141
0.830179, 0.029309, 2.665141
